RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-031-03-001,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0032,Scope Item SOW-0032 — PKG-031 Transformer TXP-8500-1,GATE-07 SCOPE_LEDGER.csv row 33,This deliverable implements the construction work package node for PKG-031 under scope item SOW-0032.,Datasheet.md,Datasheet.md > Identification table,"Covers scope items: SOW-0032",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0032 explicitly listed as scope item in DELIVERABLE_REGISTER and SCOPE_LEDGER.
v3.1,DEP-031-03-002,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,OBJ-001 — Provide 04-25 Deepcut facility scope,GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-001 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-001",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-001 listed in OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER for DEL-031-03.
v3.1,DEP-031-03-003,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-004,OBJ-004 — Execute each electrical/mechanical equipment package as vendor-owned,GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-004 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-004",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-004 listed in DELIVERABLE_REGISTER for DEL-031-03.
v3.1,DEP-031-03-004,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,OBJ-005 — Provide and integrate facility electrical power basis,GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-005 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-005",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-005 listed in DELIVERABLE_REGISTER for DEL-031-03.
v3.1,DEP-031-03-005,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-006,OBJ-006 — (Facility support objective),GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-006 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-006",EXPLICIT,ACCEPTED,ACCEPTED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-006 listed in DELIVERABLE_REGISTER for DEL-031-03. OBJ-006 label resolved from decomposition to MEDIUM confidence (full label not retrieved in this run).
v3.1,DEP-031-03-006,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,OBJ-008 — (Facility support objective),GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-008 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-008",EXPLICIT,ACCEPTED,ACCEPTED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-008 listed in DELIVERABLE_REGISTER for DEL-031-03. Full OBJ-008 label not retrieved in this run.
v3.1,DEP-031-03-007,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-009,OBJ-009 — (Facility support objective),GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-009 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-009",EXPLICIT,ACCEPTED,ACCEPTED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-009 listed in DELIVERABLE_REGISTER for DEL-031-03. Full OBJ-009 label not retrieved in this run.
v3.1,DEP-031-03-008,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,OBJ-010 — (Facility support objective),GATE-07 OBJECTIVE_SCOPE_MAP.csv,This deliverable supports OBJ-010 per objective-deliverable mapping.,Datasheet.md,Datasheet.md > Identification table,"Supports objectives: OBJ-010",EXPLICIT,ACCEPTED,ACCEPTED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-010 listed in DELIVERABLE_REGISTER for DEL-031-03. Full OBJ-010 label not retrieved in this run.
v3.1,DEP-031-03-009,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-031,DEL-031-01_scope-of-work,,Scope of Work — PKG-031,PKG-031/1_Working/DEL-031-01_scope-of-work_Scope-of-Work,The CWP requires the companion Scope of Work (DEL-031-01) as an upstream input per EPC anchor-deliverable convention for PKG-031.,Procedure.md,Procedure.md > Prerequisites,"Companion DEL-031-01 (Scope of Work) and DEL-031-02 ... declared upstream dependencies",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure.md explicitly lists DEL-031-01 as prerequisite. Note: Procedure also notes "none declared in _DEPENDENCIES.md; ASSUMPTION based on EPC anchor-deliverable convention" — treated as EXPLICIT given document statement.
v3.1,DEP-031-03-010,PKG-031,DEL-031-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-031,DEL-031-02_package-datasheet,,Package Datasheet — PKG-031,PKG-031/1_Working/DEL-031-02_package-datasheet_Package-Datasheet,The CWP requires the companion Package Datasheet (DEL-031-02) as an upstream input per EPC anchor-deliverable convention for PKG-031.,Procedure.md,Procedure.md > Prerequisites,"Companion DEL-031-01 (Scope of Work) and DEL-031-02 (Package Datasheet) for PKG-031",EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure.md explicitly lists DEL-031-02 as prerequisite.
