LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"Deliverable DEL-08-04 'Result export format' belongs to package PKG-08 (Reporting, Audit, and Reproducibility).","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L6|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0004",47b278d3e467,IN,SEC-ED053-0004,UNIT-ED053-0001,,
2,DEL-08-04 deliverable type is API_CONTRACT under scope item SOW-046.,"@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L11|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0004",b9ddb9744144,IN,SEC-ED053-0004,UNIT-ED053-0001,,
3,DEL-08-04 supports objectives OBJ-007 and OBJ-009.,"@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0004",37eeff43eb88,IN,SEC-ED053-0004,UNIT-ED053-0001,,
4,"DEL-08-04 is a draft setup artifact, not an implementation.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L14|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0004",8440691ff917,IN,SEC-ED053-0004,UNIT-ED053-0001,,
5,"The primary artifact is a machine-readable result export contract for review, regression comparison, and downstream tooling.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",7d6f18ac0a3d,IN,SEC-ED053-0005,UNIT-ED053-0001,,
6,The baseline export format is schema-first JSON result envelopes.,"@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",eb06f4329f36,IN,SEC-ED053-0005,UNIT-ED053-0001,,
7,"Additional export formats (CSV, HDF5, neutral-file, spreadsheet, external tool formats) are TBD and not chosen as final by this setup deliverable.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",9587082b88c7,IN,SEC-ED053-0005,UNIT-ED053-0001,,
8,"Anticipated implementation artifacts are schemas/results.schema.yaml, exporter source, and tests, not created in this setup session.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",3a33757b6002,IN,SEC-ED053-0005,UNIT-ED053-0001,,
9,"Envelope content categories: result identity, model/run references, unit-aware value arrays, diagnostics, provenance, analysis status, warnings, and reproducibility references.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",13246fdc356d,IN,SEC-ED053-0005,UNIT-ED053-0001,,
10,"Exports support review and comparison; they do not certify, seal, approve, authenticate, or declare code compliance.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",96afe74881d2,IN,SEC-ED053-0005,UNIT-ED053-0001,,
11,"Exported values must be unit-aware and dimensionally traceable; missing units are findings, not silent defaults.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",8aa052f57600,IN,SEC-ED053-0005,UNIT-ED053-0001,,
12,"Public export contracts must not embed protected standards text, copied standards tables, proprietary formulas, private rule-pack payloads, or private project data by default.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0005",b1bbc8f6e2dd,IN,SEC-ED053-0005,UNIT-ED053-0001,,
13,"This session is setup/document production only; no schema file, exporter source, tests, or repository-level artifacts are modified.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0006",bb65312595f5,IN,SEC-ED053-0006,UNIT-ED053-0001,,
14,The export baseline is a JSON result envelope contract; any additional export format remains TBD until a later bounded decision or implementation brief.,"@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0006",cc6342735757,IN,SEC-ED053-0006,UNIT-ED053-0001,,
15,"Result exports must preserve the PKG-00 no-bypass baseline: adapters and downstream tools cannot bypass unit checks, diagnostics, provenance, data boundaries, or professional-responsibility notices.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L33|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0006",e2ce048f7684,IN,SEC-ED053-0006,UNIT-ED053-0001,,
16,"Mechanics results, user-rule-check results, and human review/approval states must remain distinguishable in exported data.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L34|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0006",8de482600ae1,IN,SEC-ED053-0006,UNIT-ED053-0001,,
17,Exported diagnostics must carry enough structured information for review and regression triage without relying on prose-only warnings.,"@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0006",e8704fdfb737,IN,SEC-ED053-0006,UNIT-ED053-0001,,
18,"Result envelope header identifies export schema version, result set ID, model/run reference, solver version reference, and creation context, without implying validation or certification.","@repo/execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format/Datasheet.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-08-04-RESULT-EXPORT-FORMAT.html#SEC-ED053-0007",23afa73bc7ee,IN,SEC-ED053-0007,UNIT-ED053-0001,,
