ResidualID,DeliverableID,RawSource,Recommendation,Reason,Selectability,SelectedEvidence
DEL-00-02-REM-001,DEL-00-02,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv,ELIGIBLE_FOR_LATER_EXACT_APPLICATION_PROPOSAL,"Accepted product/evidence obligation; scope, source and frozen-candidate gates still apply.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv
DEL-00-02-REM-002,DEL-00-02,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv,ELIGIBLE_FOR_LATER_EXACT_APPLICATION_PROPOSAL,"Accepted product/evidence obligation; scope, source and frozen-candidate gates still apply.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv
DEL-00-02-REM-003,DEL-00-02,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv,HELD_ROUTING_ONLY,"OI-009 remains a separate owner decision, not blanket local-first blocker.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv
DEL-00-02-REM-004,DEL-00-02,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv,HELD_ROUTING_ONLY,TM-PEC-023 dedicated held mapping; no automatic Remaining mirror or unrelated gate.,NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-02/RESIDUALS.csv
DEL-00-03-REM-001,DEL-00-03,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-03/RESIDUALS.csv,HELD_ROUTING_ONLY,C-06 deliberate no-edge posture; owner decides whether any executable deliverable obligation exists.,NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-00-03/RESIDUALS.csv
DEL-01-05-REM-001,DEL-01-05,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv,ELIGIBLE_FOR_LATER_EXACT_APPLICATION_PROPOSAL,"Accepted product/evidence obligation; scope, source and frozen-candidate gates still apply.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv
DEL-01-05-REM-002,DEL-01-05,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv,ELIGIBLE_FOR_LATER_EXACT_APPLICATION_PROPOSAL,"Accepted product/evidence obligation; scope, source and frozen-candidate gates still apply.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv
DEL-01-05-REM-003,DEL-01-05,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv,ELIGIBLE_FOR_LATER_EXACT_APPLICATION_PROPOSAL,"Accepted product/evidence obligation; scope, source and frozen-candidate gates still apply.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv
DEL-01-05-REM-004,DEL-01-05,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv,HELD_ROUTING_ONLY,Frozen dated wording requires owner interpretation; no automatic currency repair.,NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv
DEL-01-05-REM-005,DEL-01-05,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv,HELD_ROUTING_ONLY,Route newly verified evidence to owner/REVIEW; lifecycle act is separate and current CHECKING preserved.,NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-05/RESIDUALS.csv
DEL-01-06-REM-001,DEL-01-06,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-06/RESIDUALS.csv,CONDITIONAL_INTERPRETATION,Lexical normalization probe reproduced; owner confirms guarantee interpretation. No containment escape claimed.,NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-06/REVISION_V001/RESIDUALS.csv
DEL-01-06-REM-002,DEL-01-06,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-06/RESIDUALS.csv,HELD_ROUTING_ONLY,"Existing Gate5 HOLD is a separately scheduled owner acceptance path, not automatically a new executable item.",NON_SELECTABLE_PENDING_OWNER_APPLICATION,projects/pec/execution/_Reconciliation/DeliverableConcordance/PEC_REMAINING_CONCORDANCE_2026-09-05/R0_CALIBRATION/DEL-01-06/REVISION_V001/RESIDUALS.csv
