CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Normative,Type 1,"Agent posture that defines constraints: data boundary, solver architecture, validation, professional responsibility.",@repo/AGENTS.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0003,agent posture row
Operative,Type 2,"Agent posture that executes bounded deliverables: code, tests, schemas, GUI slices, docs, reports.",@repo/AGENTS.md:L26|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0003,agent posture row
Evaluative,,"Agent posture that reviews, reconciles, audits, and decides whether outputs are acceptable for the next stage.",@repo/AGENTS.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0003,agent posture row
REPO_ROOT,,Repository root resolved with `git rev-parse --show-toplevel`.,@repo/AGENTS.md:L16|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,path anchor
WORKING_ROOT,,{REPO_ROOT}/projects/chirality-piping.,@repo/AGENTS.md:L17|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0002,path anchor
SOFTWARE_DECOMP,,"Type 1 agent maintaining the decomposition, scope ledger, packages, deliverables, context budget, and open issues.",@repo/AGENTS.md:L33|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
PREPARATION,,Type 2 agent that scaffolds package and deliverable folders from the decomposition.,@repo/AGENTS.md:L34|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
TASK,,Type 2 agent that executes one sealed deliverable using an appropriate skill/profile.,@repo/AGENTS.md:L35|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
REVIEW,,"Type 1 agent that reviews deliverables against scope, tests, data boundary, and acceptance criteria.",@repo/AGENTS.md:L36|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
RECONCILIATION,,"Type 1 agent that detects cross-package conflicts, overlaps, stale assumptions, and inconsistent terminology.",@repo/AGENTS.md:L37|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
CHANGE,,Type 1 agent that performs final Git/file-state closeout for validated tranches.,@repo/AGENTS.md:L38|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004;@repo/AGENTS.md:L61|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0006,primary agent
RESEARCH,,"Type 1 agent performing evidence-grounded, read-only inquiry returning cited findings without changing project state.",@repo/AGENTS.md:L39|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
AUDIT_*,,"Type 2 agent running bounded checks for decomposition coverage, governance conformance, dependency closure, and epistemic integrity.",@repo/AGENTS.md:L40|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0004,primary agent
WORKING_ITEMS,,Parent agent that may orchestrate parallel TASK fan-out and hands off to CHANGE for closeout.,@repo/AGENTS.md:L45|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0005;@repo/AGENTS.md:L61|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0006,orchestrating agent
tranche,,,@repo/AGENTS.md:L44|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0005;@repo/AGENTS.md:L61|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0006,unit of bounded work
DeliverableID,,,@repo/AGENTS.md:L116|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0009,dispatch requirement
PackageID,,,@repo/AGENTS.md:L119|domains/chirality-piping/_Decomposition/source_review_html/SRC-AGENTS.html#SEC-RT001-0009,dispatch requirement
