LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"Deliverable DEL-15-01 is named Canonical handoff package schema and manifest, sourced from _CONTEXT.md and Deliverables.csv.",@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L7|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,d93d6f90dd4a,IN,SEC-ED085-0004,UNIT-ED085-0001,,
2,DEL-15-01 belongs to PKG-15 Handoff and External Prover Workflow.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,d517e10ae100,IN,SEC-ED085-0004,UNIT-ED085-0001,,
3,DEL-15-01 is of type API_CONTRACT per docs/TYPES.md#3-software-deliverable-types.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L10|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,a75ad5dbe47d,IN,SEC-ED085-0004,UNIT-ED085-0001,,
4,DEL-15-01 maps to scope item SOW-074.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L11|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,dc08fb7a8dce,IN,SEC-ED085-0004,UNIT-ED085-0001,,
5,DEL-15-01 maps to objective OBJ-017.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,31d1ff2e9909,IN,SEC-ED085-0004,UNIT-ED085-0001,,
6,Anticipated artifacts for DEL-15-01 are schemas/handoff_package.schema.json and a handoff manifest schema.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,75cd8cc81895,IN,SEC-ED085-0004,UNIT-ED085-0001,,
7,DEL-15-01 lifecycle input state is IN_PROGRESS at review-readiness intake.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L14|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0004,58baf218aabd,IN,SEC-ED085-0004,UNIT-ED085-0001,,
8,The DEL-15-01 contract surface is a schema-compliant handoff package plus manifest.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0005,19d7ed18103e,IN,SEC-ED085-0005,UNIT-ED085-0001,,
9,The schema baseline for DEL-15-01 is JSON Schema 2020-12 contracts.,@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0005,207109c78900,IN,SEC-ED085-0005,UNIT-ED085-0001,,
10,"The hash baseline uses a canonical JSON/JCS-compatible hash basis where JSON payloads are hashed, with manifest hashes for non-JSON/binary assets.",@repo/execution/PKG-15_Handoff and External Prover Workflow/1_Working/DEL-15-01_Canonical handoff package schema and manifest/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-15-01-CANONICAL-HANDOFF-PACKAGE-SCHEMA-AND-MANIFEST.html#SEC-ED085-0005,7774a4df0763,IN,SEC-ED085-0005,UNIT-ED085-0001,,
