LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"DEL-10-01 is an API_CONTRACT deliverable under package PKG-10 (Build, Packaging, API, and Interoperability), covering scope item SOW-030 and objective OBJ-009.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0004",23bd21d50d63,IN,SEC-ED061-0004,UNIT-ED061-0001,,
2,DEL-10-01 anticipated artifacts are `api/openapi.yaml` or equivalent plus a plugin boundary doc; the current artifact form is a deliverable-local contract kit because repository-level `api/openapi.yaml` is outside this write scope.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0004",42ee1e921a52,IN,SEC-ED061-0004,UNIT-ED061-0001,,
3,DEL-10-01 lifecycle target for setup is `SEMANTIC_READY` after the setup sequence passes.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0004",d8a52771bc84,IN,SEC-ED061-0004,UNIT-ED061-0001,,
4,The external transport decision for DEL-10-01 is TBD; no final external transport is selected here.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0004",587319d6caeb,TBD,SEC-ED061-0004,UNIT-ED061-0001,,Explicit TBD in source
5,"The boundary purpose is to define public API/plugin boundaries for model import/export, solver invocation, results, and rule-pack hooks.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",b51bc83a351f,IN,SEC-ED061-0005,UNIT-ED061-0001,,
6,"Public API capability families are model creation/import/export, load-case definition, solve execution, result extraction, rule-pack evaluation, report generation, and validation-test execution.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",e281c6e95f43,IN,SEC-ED061-0005,UNIT-ED061-0001,,
7,The contract baseline is schema-first command/query/job/result envelopes with JSON Schema 2020-12 as the public schema/interchange basis.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L33|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",869ef38d531a,IN,SEC-ED061-0005,UNIT-ED061-0001,,
8,"The adapter/plugin baseline is a deny-bypass boundary: adapters/plugins may translate or extend but cannot bypass units, provenance, diagnostics, rule sandboxing, public/private data controls, or report controls.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L34|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",3c2665b38be7,IN,SEC-ED061-0005,UNIT-ED061-0001,,
9,"The professional boundary allows API results to expose mechanics status and user-rule-check status, but not software-declared code compliance or professional approval.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",3b4973b0d123,IN,SEC-ED061-0005,UNIT-ED061-0001,,
10,"The protected-data boundary prohibits public API/plugin contracts from bundling protected standards text, tables, code-derived formulas, allowables, SIF/flexibility tables, proprietary catalogs, or private project/rule data.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0005",0d109fd60f0e,IN,SEC-ED061-0005,UNIT-ED061-0001,,
11,"On missing units for dimensional data, the boundary must reject, block, or emit a diagnostic and must not silently default.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",8d5a02fc8719,IN,SEC-ED061-0006,UNIT-ED061-0001,,
12,"On missing provenance or redistribution status, the boundary must emit provenance/data-boundary diagnostics and block public contribution paths when needed.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",b6b2e6a33323,IN,SEC-ED061-0006,UNIT-ED061-0001,,
13,"When protected or proprietary data is suspected, ingestion must stop, the data must be quarantined/escalated, and it must not be imported into public artifacts.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L44|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",9ac6f79ed4c6,IN,SEC-ED061-0006,UNIT-ED061-0001,,
14,"A rule-pack-facing hook must preserve sandboxed, deterministic, unit-aware evaluation and must not expose arbitrary code execution.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L45|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",b6c1a403e3af,IN,SEC-ED061-0006,UNIT-ED061-0001,,
15,Result publication/export must use result/diagnostic envelopes and preserve report controls and professional-responsibility notices.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L46|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",6ea6fb111e20,IN,SEC-ED061-0006,UNIT-ED061-0001,,
16,Private data exposure is local-first by default; no telemetry or external transmission of private project/rule/component/material data occurs by default.,"@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L47|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0006",d41f3dfe26aa,IN,SEC-ED061-0006,UNIT-ED061-0001,,
17,"DEL-10-01 records a contract boundary, not an implementation, organized around a set of contract surfaces.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L51|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0007",23ffd4fa01ae,IN,SEC-ED061-0007,UNIT-ED061-0001,,
18,"The public API envelope surface is a common schema-first wrapper for commands, queries, jobs, diagnostics, provenance, and result metadata; its baseline is defined but concrete schema file layout is TBD.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L55|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0007",8ab60decffab,IN,SEC-ED061-0007,UNIT-ED061-0001,,
19,"The model import/export boundary surface allows external data exchange only through schema, unit, provenance, redistribution, and private/public data checks; external formats are TBD.","@repo/execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-01_Public API and plugin boundary/Datasheet.md:L56|_Decomposition/source_review_html/SRC-DEL-DEL-10-01-PUBLIC-API-AND-PLUGIN-BOUNDARY.html#SEC-ED061-0007",2ee8f908628c,IN,SEC-ED061-0007,UNIT-ED061-0001,,
