AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-DG005-00001,1,The PRD is derived from repository-local sources only.,@repo/docs/PRD_CANDIDATE.md:L0013|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0002,a6e649a13b92,IN,SEC-DG005-0002,UNIT-DG005-0001,,
HBA-DG005-00002,2,"When documents and implementation disagree, the PRD states the product requirement and records the implementation note under Known Gaps and Risks.",@repo/docs/PRD_CANDIDATE.md:L0032|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0002,e1a2a4c37a0f,IN,SEC-DG005-0002,UNIT-DG005-0001,,
HBA-DG005-00003,3,Chirality is a desktop harness for running governed AI agents against a user-selected local filesystem workspace.,@repo/docs/PRD_CANDIDATE.md:L0038|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,e7dd1710f140,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00004,4,"The desktop app packages a release-managed instruction root containing AGENTS.md, agents, docs, and framework files.",@repo/docs/PRD_CANDIDATE.md:L0038|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,adb22bbf2c1b,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00005,5,All project execution state remains in a user-selected working root named projectRoot.,@repo/docs/PRD_CANDIDATE.md:L0038|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,349bc7f88ca7,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00006,6,"The product accelerates deliverable-heavy professional work while preserving human authority, provenance, auditability, and filesystem-native state.",@repo/docs/PRD_CANDIDATE.md:L0040|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,15f0a33f5aff,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00007,7,"Agents support scope decomposition, scaffolding, document drafting, dependency extraction, semantic analysis, reconciliation, estimating, scheduling, and change management.",@repo/docs/PRD_CANDIDATE.md:L0040|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,2d299ac34fdc,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00008,8,Agent outputs remain drafts or decision support until accepted by an accountable human.,@repo/docs/PRD_CANDIDATE.md:L0040|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,2c66f77ce038,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00009,9,Project truth lives in git-tracked plain files.,@repo/docs/PRD_CANDIDATE.md:L0044|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,16d320eacd4d,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00010,10,A decision that is not in a versioned file does not exist for purposes of reliance.,@repo/docs/PRD_CANDIDATE.md:L0044|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0003,c1eaba6ae39f,IN,SEC-DG005-0003,UNIT-DG005-0001,,
HBA-DG005-00011,11,The product shall provide a local desktop application that runs agent workflows against a selected working root without requiring an external database.,@repo/docs/PRD_CANDIDATE.md:L0052|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-PRD-CANDIDATE.html#SEC-DG005-0005,d0cb6ff71ffb,IN,SEC-DG005-0005,UNIT-DG005-0001,,
