ResidualID,DeliverableID,Route,ClaimIDs,ProposedText,Depends,ItemGate,PacketApplicationGate,PreparationState,ClosureEvidence
DEL-00-02-REM-001,DEL-00-02,EVIDENCE,DEL-00-02::SCOPE-001;DEL-00-02::SCOPE-002;DEL-00-02::SCOPE-003;DEL-00-02::SCOPE-004;DEL-00-02::SCOPE-005;DEL-00-02::SCOPE-006;DEL-00-02::SCOPE-007;DEL-00-02::SCOPE-008,"Inspect and map existing source-state-bound evidence for SOW-034 event-schema/versioned daemon, hooks CLI and adapter types, local schema and pinned mirrors, additive evolution, contract tests and versioning note; distinguish the capability API schema and historical PEC code from this event-contract obligation. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-00_Architecture_Runway_Contracts/1_Working/DEL-00-02_Event_contract_schema_v1/_run_records/REMAINING_EVIDENCE_DEL-00-02-REM-001/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-00-02-REM-002,DEL-00-02,EVIDENCE,DEL-00-02::SCOPE-009,"Inspect and map existing source-state-bound evidence for the PKG-00 versioned event-contract publication and dependency handoff evidence ahead of P3 DEL-07-01 and DEL-07-03 consumers. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-00_Architecture_Runway_Contracts/1_Working/DEL-00-02_Event_contract_schema_v1/_run_records/REMAINING_EVIDENCE_DEL-00-02-REM-002/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-01-REM-001,DEL-01-01,EVIDENCE,DEL-01-01::OUT-001;DEL-01-01::OUT-002;DEL-01-01::OUT-003;DEL-01-01::REQ-001;DEL-01-01::REQ-002;DEL-01-01::REQ-003;DEL-01-01::REQ-004;DEL-01-01::REQ-005;DEL-01-01::REQ-006;DEL-01-01::REQ-007;DEL-01-01::REQ-008;DEL-01-01::REQ-009;DEL-01-01::REQ-010;DEL-01-01::REQ-011;DEL-01-01::REQ-012;DEL-01-01::REQ-013;DEL-01-01::AC-001;DEL-01-01::AC-002;DEL-01-01::AC-003;DEL-01-01::AC-004;DEL-01-01::AC-005;DEL-01-01::AC-006;DEL-01-01::AC-007;DEL-01-01::AC-008;DEL-01-01::AC-009;DEL-01-01::AC-010;DEL-01-01::AC-011;DEL-01-01::AC-012,"Inspect and map existing source-state-bound evidence for the accepted record-tier schema, fourteen entity types and linked model requirements/criteria; preserve exact accepted obligation and D75 O-A selection of DEL-01-06 only. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-01_Record_tier_schema_entity_model/_run_records/REMAINING_EVIDENCE_DEL-01-01-REM-001/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-01-REM-002,DEL-01-01,EVIDENCE,DEL-01-01::VER-001;DEL-01-01::VER-002;DEL-01-01::VER-003;DEL-01-01::VER-004;DEL-01-01::VER-005;DEL-01-01::VER-006;DEL-01-01::VER-007;DEL-01-01::VER-008;DEL-01-01::VER-009;DEL-01-01::VER-010;DEL-01-01::VER-011;DEL-01-01::VER-012,"Inspect and map existing source-state-bound evidence for VER-001 through VER-012 execution records for the selected record model and their AC mapping; distinguish contract-format checks from model tests. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-01_Record_tier_schema_entity_model/_run_records/REMAINING_EVIDENCE_DEL-01-01-REM-002/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-02-REM-001,DEL-01-02,EVIDENCE,DEL-01-02::MAP-SESSION;DEL-01-02::MAP-WORKTREE-GITREF;DEL-01-02::MAP-PRESENCE-RECORD;DEL-01-02::MAP-HIERARCHY-EDGE;DEL-01-02::MAP-SCOPE-CLAIM;DEL-01-02::MAP-LOSS-ON-REBUILD;DEL-01-02::MAP-OPERATIONAL;DEL-01-02::MAP-TTL;DEL-01-02::MAP-NEVER-CITABLE;DEL-01-02::MAP-MODEL-TESTS,"Inspect and map existing source-state-bound evidence for the accepted presence entity model, expected loss on rebuild and model-test evidence; preserve operational, TTL and never-citable boundaries. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-02_Presence_tier_schema_entity_model/_run_records/REMAINING_EVIDENCE_DEL-01-02-REM-001/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-03-REM-001,DEL-01-03,EVIDENCE,DEL-01-03::OUT-001;DEL-01-03::REQ-001;DEL-01-03::REQ-002;DEL-01-03::REQ-007;DEL-01-03::REQ-008;DEL-01-03::AC-001;DEL-01-03::AC-002;DEL-01-03::AC-007;DEL-01-03::AC-008;DEL-01-03::VER-001;DEL-01-03::VER-002;DEL-01-03::VER-007,"Inspect and map existing source-state-bound evidence for OUT-001 and REQ-001/002/007/008 store lifecycle/interface evidence and criteria; distinguish store-local delete/recreate from DEL-10-02 system kill testing. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-03_Store_bootstrap_content_minimal_guard/_run_records/REMAINING_EVIDENCE_DEL-01-03-REM-001/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-03-REM-002,DEL-01-03,EVIDENCE,DEL-01-03::OUT-002;DEL-01-03::REQ-003;DEL-01-03::REQ-004;DEL-01-03::REQ-005;DEL-01-03::REQ-006;DEL-01-03::AC-003;DEL-01-03::AC-004;DEL-01-03::AC-005;DEL-01-03::AC-006;DEL-01-03::VER-003;DEL-01-03::VER-004;DEL-01-03::VER-005;DEL-01-03::VER-006,"Inspect and map existing source-state-bound evidence for single-boundary content-minimal guard behavior, admitted field classes, located rejection, no silent loss and uniform ingest. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-03_Store_bootstrap_content_minimal_guard/_run_records/REMAINING_EVIDENCE_DEL-01-03-REM-002/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-03-REM-003,DEL-01-03,EVIDENCE,DEL-01-03::OUT-003;DEL-01-03::REQ-010;DEL-01-03::AC-010;DEL-01-03::VER-009;DEL-01-03::CURRENT-REMAINING,"Inspect and map existing source-state-bound evidence for each declared store/guard VER method and existing executing-test evidence; distinguish SOW format checks and system kill-test evidence. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-03_Store_bootstrap_content_minimal_guard/_run_records/REMAINING_EVIDENCE_DEL-01-03-REM-003/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-04-REM-001,DEL-01-04,EVIDENCE,DEL-01-04::OUT-001;DEL-01-04::OUT-002;DEL-01-04::OUT-003;DEL-01-04::REQ-001;DEL-01-04::REQ-002;DEL-01-04::REQ-003;DEL-01-04::REQ-004;DEL-01-04::REQ-005;DEL-01-04::REQ-006;DEL-01-04::REQ-007;DEL-01-04::REQ-008;DEL-01-04::AC-001;DEL-01-04::AC-002;DEL-01-04::AC-003;DEL-01-04::AC-004;DEL-01-04::AC-005;DEL-01-04::AC-006;DEL-01-04::AC-007;DEL-01-04::VER-001;DEL-01-04::VER-002;DEL-01-04::VER-003;DEL-01-04::VER-004;DEL-01-04::VER-005;DEL-01-04::VER-006;DEL-01-04::VER-007,"Inspect and map existing source-state-bound evidence for SOW-057 logging module, inspection command and tests, content minimality, append-only behavior and graceful absence. Cover the exact linked claims; distinguish observed implementation, bounded local absence, missing/unmapped evidence, finite method execution and historical acceptance. Retain UNKNOWN where evidence is unavailable and return exact unresolved obligations for owner disposition. This item is read-only inquiry and a derivative evidence report; any new contract, implementation, test, measurement run, acceptance or production act requires a separate ruling.",NONE,(gated: owner authorizes the exact linked evidence-only read scope and creation of the derivative report/evidence manifest under projects/pec/execution/PKG-01_Service_Core_Store/1_Working/DEL-01-04_Self_observability_logging/_run_records/REMAINING_EVIDENCE_DEL-01-04-REM-001/; current exact-target reliance preflight),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CANDIDATE_PENDING_APPLICATION,"Dated derivative map covers every linked claim with exact source/hash, evidence strength and unresolved-owner routes; no manufactured production result."
DEL-01-05-REM-001,DEL-01-05,CONFIRMED_SCANNER_REPAIR,DEL-01-05::OUT-001;DEL-01-05::REQ-001;DEL-01-05::REQ-004;DEL-01-05::AC-001,"Repair the demonstrated importlib.import_module callable-alias detector false negative using exact R0 dynamic_import_alias bytes; retain static stdlib/workspace exceptions and the current conservative BLOCK policy for recognized dynamic imports, with failing-before/passing-after regression and exact-byte acceptance.",NONE,(gated: separately accepted exact owner PEC source/test fence-opening packet and owning REVIEW/CHECKING change path before any mutation; fresh independent verification and exact artifact acceptance remain separate acts),NOT_SELECTABLE_UNTIL: owner separately approves and applies the exact status application manifest; this preparation is not authority,CONDITIONAL_FROZEN_PREVIEW,Current exact-byte checker rerun returns dependency BLOCK with importer and location for probe dynamic_import_alias; admitted/local controls and existing suite pass; new repair accepted at exact hashes.
