LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,design_workspace/engine.py provides deterministic design-authoring and comparison workspace records for DEL-07-08.,@repo/core/gui/design_workspace/engine.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,1f5d55213f47,IN,SEC-CC001-0013,UNIT-CC001-0002,,
2,"The design workspace is a GUI-facing composition layer that consumes already-available contract records and returns inspectable panel state; it does not mutate accepted model state, execute solvers, or turn comparison output into professional acceptance.",@repo/core/gui/design_workspace/engine.py:L3|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,e50f52fffeb7,IN,SEC-CC001-0013,UNIT-CC001-0002,,
3,WORKSPACE_VERSION constant is '0.1.0' for the design workspace schema.,@repo/core/gui/design_workspace/engine.py:L25|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,9d0c5372e0b0,IN,SEC-CC001-0013,UNIT-CC001-0002,,
4,"PROFESSIONAL_BOUNDARY requires human review and disclaims software compliance, certification, sealing, approval, and authentication claims.",@repo/core/gui/design_workspace/engine.py:L27|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,0dcc6f0deccf,IN,SEC-CC001-0013,UNIT-CC001-0002,,
5,DATA_BOUNDARY policy: public examples use invented or cleared data only; no bundled protected owner/standards data; private data by references and redacted metadata only; unit-bearing values require explicit unit metadata.,@repo/core/gui/design_workspace/engine.py:L36|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,2beda606be38,IN,SEC-CC001-0013,UNIT-CC001-0002,,
6,"build_design_authoring_comparison_workspace builds a deterministic GUI workspace record from upstream contracts keyed by workspace_id with optional design knowledge, constraint validation, warnings, model states, analysis runs, comparisons, tolerance profile, operation preview/audit, and selected refs.",@repo/core/gui/design_workspace/engine.py:L55|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,7315b42dceab,IN,SEC-CC001-0013,UNIT-CC001-0002,,
7,"The workspace record carries deliverable_id DEL-07-08, package_id PKG-07, scope_item SOW-076, and objectives OBJ-015 and OBJ-016.",@repo/core/gui/design_workspace/engine.py:L92|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,5a7720b39bcb,IN,SEC-CC001-0013,UNIT-CC001-0002,,
8,"Workspace mutation_boundary asserts the workspace does not mutate accepted model state, has no hidden mutation, routes GUI-originated changes only through structured operation or application-service command intents, and requires an explicit user acceptance record for accepted operations.",@repo/core/gui/design_workspace/engine.py:L106|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,b2a638787359,IN,SEC-CC001-0013,UNIT-CC001-0002,,
9,build_design_authoring_comparison_workspace computes a workspace_hash over composition panels via _hash_payload.,@repo/core/gui/design_workspace/engine.py:L132|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,97ee0bc4ba92,IN,SEC-CC001-0013,UNIT-CC001-0002,,
10,"canonical_json serializes workspace records with stable key ordering using sorted keys, compact separators, and ASCII escaping.",@repo/core/gui/design_workspace/engine.py:L150|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,ba7d161a5384,IN,SEC-CC001-0013,UNIT-CC001-0002,,
11,"_design_knowledge_panel composes the design knowledge panel, emitting a WORKSPACE-DESIGN-KNOWLEDGE-MISSING warning and unavailable_missing_input panel when input is absent.",@repo/core/gui/design_workspace/engine.py:L156|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,6881e8678f24,IN,SEC-CC001-0013,UNIT-CC001-0002,,
12,"_design_record normalizes a design knowledge record, emitting WORKSPACE-DESIGN-RECORD-NOT-OBJECT (blocking) when the record is not a structured object.",@repo/core/gui/design_workspace/engine.py:L221|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,92c159dc13cd,IN,SEC-CC001-0013,UNIT-CC001-0002,,
13,A design record's unresolved_assumption_ids are assumption ids whose status is 'unresolved' or 'TBD'.,@repo/core/gui/design_workspace/engine.py:L248|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,39b643edb11f,IN,SEC-CC001-0013,UNIT-CC001-0002,,
14,"_constraint_warning_panel composes constraint validation and warning UX contract output, emitting warnings when either input is unavailable.",@repo/core/gui/design_workspace/engine.py:L268|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,43162b6b9ac7,IN,SEC-CC001-0013,UNIT-CC001-0002,,
15,The constraint warning panel marks has_blocking when validation reports has_blocking_findings or any diagnostic/warning has blocking severity.,@repo/core/gui/design_workspace/engine.py:L300|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,ace5e4422e99,IN,SEC-CC001-0013,UNIT-CC001-0002,,
16,_state_run_browser builds model-state and analysis-run browser rows and emits WORKSPACE-MODEL-STATES-MISSING / WORKSPACE-ANALYSIS-RUNS-MISSING warnings when empty.,@repo/core/gui/design_workspace/engine.py:L327|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,0c5196904384,IN,SEC-CC001-0013,UNIT-CC001-0002,,
17,"_model_state_browser_row builds a deterministic model-state browser row capturing state ref, kind, analysis status, hashes, hash boundary, immutability, and review/privacy classification.",@repo/core/gui/design_workspace/engine.py:L370|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,6c42cda19508,IN,SEC-CC001-0013,UNIT-CC001-0002,,
18,Model-state immutability defaults to snapshot_is_read_only True with mutation_policy 'changes_create_new_model_state'.,@repo/core/gui/design_workspace/engine.py:L406|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,8bfab6dc50fe,IN,SEC-CC001-0013,UNIT-CC001-0002,,
19,"_analysis_run_browser_row builds a deterministic analysis-run browser row capturing run ref, kind, model-state ref, result refs, analysis status, diagnostics, and hash boundary.",@repo/core/gui/design_workspace/engine.py:L414|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,fe356bc252b4,IN,SEC-CC001-0013,UNIT-CC001-0002,,
20,_state_run_hash_boundary records DEL-02-05 hash evidence per state/run row and emits WORKSPACE-MODEL-STATE-HASH-MISSING / WORKSPACE-ANALYSIS-RUN-HASH-MISSING warnings for rows lacking hashes.,@repo/core/gui/design_workspace/engine.py:L458|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,c3dcd61b4009,IN,SEC-CC001-0013,UNIT-CC001-0002,,
21,Human acceptance is invalidated because hash-bound external records do not survive a payload-hash change; workspace hash scope is ui_composition_review_state_only.,@repo/core/gui/design_workspace/engine.py:L489|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,ca9f451d87e9,IN,SEC-CC001-0013,UNIT-CC001-0002,,
22,State/run browser inherits PKG-14 model state and analysis run records and PKG-16 operation audit records.,@repo/core/gui/design_workspace/engine.py:L491|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,372d0e5ee4b8,IN,SEC-CC001-0013,UNIT-CC001-0002,,
23,_comparison_tables composes model-state and analysis-run comparison tables plus mapping-contract and tolerance-profile summaries.,@repo/core/gui/design_workspace/engine.py:L495|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,c7d5c1c44b50,IN,SEC-CC001-0013,UNIT-CC001-0002,,
24,"_model_comparison_table builds comparison rows and an unmatched_rows subset for added, removed, unresolved, or unresolved-mapping classifications.",@repo/core/gui/design_workspace/engine.py:L521|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0013,4955be701600,IN,SEC-CC001-0013,UNIT-CC001-0002,,
