RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-106-05-001,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0011,Scope decision SOW-0011 — Yard Lighting (Electrical vendor package),_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-106-05 implements SOW-0011: carry the workbook-defined vendor-responsible Electrical package Yard Lighting as a distinct flat project package for WBS TBD; the Package Vendor owns engineering/design/equipment/documentation and the EPC Integrator owns facility integration.,Datasheet.md,Datasheet.md > Identification table > Covers Scope Items row; SCOPE_LEDGER.csv row SOW-0011,"Carry the workbook-defined vendor-responsible Electrical package 'Yard Lighting' as a distinct flat project package for WBS TBD",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0011 is the parent scope decision node for PKG-106 per Gate 7 SCOPE_LEDGER.csv. DEL-106-05 listed in SOW-0011 Deliverables column. Confirmed in DELIVERABLE_REGISTER.csv DEL-106-05 row (Covers Scope Items = SOW-0011).
v3.1,DEP-106-05-002,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Project Objective OBJ-001 — 04-25 Deepcut facility scope,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-106-05 traces to OBJ-001 per Gate 7 DELIVERABLE_REGISTER and OBJECTIVE_DELIVERABLE_MAP.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv — DEL-106-05 Supports Objectives column,"OBJ-001; OBJ-004; OBJ-005; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-001 listed in DELIVERABLE_REGISTER.csv for DEL-106-05 row. Also in Datasheet.md Identification table (Supports Objectives) and SCOPE_LEDGER.csv SOW-0011 Objectives column. Note in Datasheet.md: objective association is ASSUMPTION via package-grouping heuristic.
v3.1,DEP-106-05-003,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-004,Project Objective OBJ-004 — Vendor-owned electrical/mechanical package execution,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-106-05 traces to OBJ-004: vendor-document turnover is a direct deliverable artifact of the vendor-owned execution model.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv — DEL-106-05 Supports Objectives column,"OBJ-001; OBJ-004; OBJ-005; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-004 listed in DELIVERABLE_REGISTER.csv DEL-106-05 row. OBJ-004 directly governs vendor documentation responsibility split (Package Vendor produces; EPC Integrator reviews). ASSUMPTION flag from Datasheet.md package-grouping heuristic preserved.
v3.1,DEP-106-05-004,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,Project Objective OBJ-005 — Facility electrical power basis and interface integration,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-106-05 traces to OBJ-005: vendor documentation for Yard Lighting supports the electrical lighting and power interface objective.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv — DEL-106-05 Supports Objectives column,"OBJ-001; OBJ-004; OBJ-005; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-005 listed in DELIVERABLE_REGISTER.csv DEL-106-05 row. PKG-106 interfaces include Electrical Power; Grounding/Bonding; Area/Exterior Lighting per PACKAGE_REGISTER.csv. ASSUMPTION flag from package-grouping heuristic preserved.
v3.1,DEP-106-05-005,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-009,Project Objective OBJ-009 — Safety/regulatory requirements into package scopes,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-106-05 traces to OBJ-009 per Gate 7 DELIVERABLE_REGISTER.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv — DEL-106-05 Supports Objectives column,"OBJ-001; OBJ-004; OBJ-005; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-009 listed in DELIVERABLE_REGISTER.csv DEL-106-05 row. Confidence MEDIUM: Yard Lighting is an electrical support package; OBJ-009 safety/sour-service linkage is less direct than OBJ-004/005 for this deliverable. ASSUMPTION flag from package-grouping heuristic preserved.
v3.1,DEP-106-05-006,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,Project Objective OBJ-010 — Vendor documentation and turnover handoff readiness,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-106-05 traces to OBJ-010: vendor document turnover package is a direct evidence artifact for handoff readiness per OBJ-010 scope.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv — DEL-106-05 Supports Objectives column,"OBJ-001; OBJ-004; OBJ-005; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-010 listed in DELIVERABLE_REGISTER.csv DEL-106-05 row. OBJ-010 explicitly names vendor-document turnover deliverables as success evidence. ASSUMPTION flag from package-grouping heuristic preserved; OBJ-010 linkage is independently strong for this deliverable type.
v3.1,DEP-106-05-007,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-106,DEL-106-01_scope-of-work_Scope-of-Work,,Scope of Work (DEL-106-01),projects/west-doe-combined/PKG-106_Yard-Lighting/1_Working/DEL-106-01_scope-of-work_Scope-of-Work,DEL-106-05 requires DEL-106-01 (EPC Scope of Work) as prerequisite input: the Scope of Work defines what the vendor must document against (tagged equipment and package function).,Procedure.md,Procedure.md > Prerequisites section — sibling deliverable inputs,"DEL-106-01 EPC Scope of Work (defines what vendor must document against)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md explicitly lists DEL-106-01 as a required prerequisite input with rationale. Specification.md §Scope Excludes confirms SOW/Datasheet/CWP are separate. DELIVERABLE_REGISTER.csv confirms DEL-106-01 identity and parent PKG-106.
v3.1,DEP-106-05-008,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-106,DEL-106-02_package-datasheet_Package-Datasheet,,Package Datasheet (DEL-106-02),projects/west-doe-combined/PKG-106_Yard-Lighting/1_Working/DEL-106-02_package-datasheet_Package-Datasheet,DEL-106-05 requires DEL-106-02 (Package Datasheet) as prerequisite input: it carries interface facts and handoff basis required for vendor documentation alignment and verification against PKG-106 interface declarations.,Procedure.md,Procedure.md > Prerequisites section — sibling deliverable inputs,"DEL-106-02 EPC Package Datasheet (carries interface facts and handoff basis)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md explicitly lists DEL-106-02 as a required prerequisite. Procedure.md Step 3 cross-check and Specification.md REQ-106-05-06 both require verification against interface facts in DEL-106-02. Interface IDs IFC-6FCF1B30D6/IFC-DA0D60681B/IFC-ED86F51087 carried in DEL-106-02.
v3.1,DEP-106-05-009,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-106,DEL-106-04_vendor-engineered-equipment-package_Vendor-Engineered-Equipment-Package,,Vendor Engineered Equipment Package (DEL-106-04),projects/west-doe-combined/PKG-106_Yard-Lighting/1_Working/DEL-106-04_vendor-engineered-equipment-package_Vendor-Engineered-Equipment-Package,DEL-106-05 requires DEL-106-04 (Vendor Engineered Equipment Package) as upstream technical basis: this deliverable documents the engineering output of DEL-106-04; the document register and submittals are produced from the same vendor engineering effort.,Procedure.md,Procedure.md > Prerequisites section — sibling deliverable inputs,"DEL-106-04 Vendor Engineered Equipment Package (technical basis being documented)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md explicitly lists DEL-106-04 as a required prerequisite input. The Vendor Document Turnover Package is the documentation artifact set that corresponds to the engineered equipment package. Guidance.md confirms this relationship (documentation backbone for lifecycle handoff).
v3.1,DEP-106-05-010,PKG-106,DEL-106-05_vendor-document-turnover-package,Vendor Document Turnover Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-106,DEL-106-06_epc-vendor-package-review-and-acceptance_EPC-Vendor-Package-Review-and-Acceptance,,EPC Vendor Package Review and Acceptance (DEL-106-06),projects/west-doe-combined/PKG-106_Yard-Lighting/1_Working/DEL-106-06_epc-vendor-package-review-and-acceptance_EPC-Vendor-Package-Review-and-Acceptance,DEL-106-05 produces and submits the vendor document register and submittals to DEL-106-06 (EPC Vendor Package Review and Acceptance) for review; DEL-106-06 consumes this package as its primary input.,Procedure.md,Procedure.md > Step 7 — hand off to EPC Integrator review,"Submit the register, submittals, source-row artifacts, and turnover records to the EPC Integrator for review under DEL-106-06.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Step 7 explicitly states hand-off to DEL-106-06. Specification.md REQ-106-05-05 and DELIVERABLE_REGISTER.csv DEL-106-06 row confirm the review/acceptance is performed by the EPC Integrator under DEL-106-06. Artifact ART-DE7811332B (vendor document review log) lives in DEL-106-06.
