RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-074-06-001,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-074,,PKG-074,Caustic Treating (NGL Mercaptan Removal),/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,This deliverable implements the EPC Vendor Package Review and Acceptance node for PKG-074 (Caustic Treating NGL Mercaptan Removal).,Datasheet.md,Datasheet.md > Identification table,ParentPackageID: PKG-074; Package Name: Caustic Treating (NGL Mercaptan Removal),EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: confirmed in DELIVERABLE_REGISTER.csv and PACKAGE_REGISTER.csv Gate 7 snapshot.
v3.1,DEP-074-06-002,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0059,Carry caustic treating package as distinct flat project package for WBS 01,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,Deliverable covers scope item SOW-0059 per DELIVERABLE_REGISTER.csv.,Datasheet.md,Datasheet.md > Identification table,"Covers Scope Items: SOW-0059, SOW-0060, SOW-0061, SOW-0062",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0059 confirmed in DELIVERABLE_REGISTER.csv and SCOPE_LEDGER.csv.
v3.1,DEP-074-06-003,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0060,Caustic Treating — Basic scope: complete caustic treating system for NGL/C3+ mercaptan removal immediately downstream of deethanizer,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,Deliverable covers scope item SOW-0060 per DELIVERABLE_REGISTER.csv.,Datasheet.md,Datasheet.md > Identification table,"Covers Scope Items: SOW-0059, SOW-0060, SOW-0061, SOW-0062",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0060 confirmed in DELIVERABLE_REGISTER.csv and SCOPE_LEDGER.csv.
v3.1,DEP-074-06-004,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0061,Caustic Treating — Major included equipment: caustic contactor/mixer; filtration; water wash; regeneration; heaters/exchangers; pumps; drain drum; DSO handling; instrumentation and controls,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,Deliverable covers scope item SOW-0061 per DELIVERABLE_REGISTER.csv.,Datasheet.md,Datasheet.md > Identification table,"Covers Scope Items: SOW-0059, SOW-0060, SOW-0061, SOW-0062",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0061 confirmed in DELIVERABLE_REGISTER.csv and SCOPE_LEDGER.csv.
v3.1,DEP-074-06-005,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0062,Caustic Treating — Scope notes and open items: process basis conflict (regenerative vs. non-regenerative); thirteen tagged items,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,Deliverable covers scope item SOW-0062 per DELIVERABLE_REGISTER.csv.,Datasheet.md,Datasheet.md > Identification table,"Covers Scope Items: SOW-0059, SOW-0060, SOW-0061, SOW-0062",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0062 confirmed in DELIVERABLE_REGISTER.csv and SCOPE_LEDGER.csv.
v3.1,DEP-074-06-006,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-074,DEL-074-02_package-datasheet,,Package Datasheet DEL-074-02,location TBD — in-project deliverable folder PKG-074/1_Working/DEL-074-02_package-datasheet,The acceptance basis for this deliverable is the Package Datasheet (DEL-074-02); vendor document review and acceptance checklist shall be aligned against it.,Datasheet.md,Datasheet.md > Attributes table,"Acceptance basis: EPC Scope of Work, Package Datasheet (DEL-074-02), and Construction Work Package (DEL-074-03).",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: stated as acceptance basis in Datasheet Attributes and Specification REQ-074-06-001. Note: DEL-074-02 status per its own _STATUS.md (HRR-074-06-003).
v3.1,DEP-074-06-007,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-074,DEL-074-03_construction-work-package,,Construction Work Package DEL-074-03,location TBD — in-project deliverable folder PKG-074/1_Working/DEL-074-03_construction-work-package,The turnover acceptance criteria for this deliverable shall be aligned against the Construction Work Package (DEL-074-03).,Datasheet.md,Datasheet.md > Attributes table,"Acceptance basis: EPC Scope of Work, Package Datasheet (DEL-074-02), and Construction Work Package (DEL-074-03).",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: stated as acceptance basis in Datasheet Attributes and Specification REQ-074-06-006. Note: CWP accessibility gap per HRR-074-06-002; criteria remain TBD until CWP is accepted.
v3.1,DEP-074-06-008,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-074,DEL-074-01_scope-of-work,,Scope of Work DEL-074-01,location TBD — in-project deliverable folder PKG-074/1_Working/DEL-074-01_scope-of-work,The EPC Scope of Work for PKG-074 (DEL-074-01) is the authoritative acceptance authority; all acceptance criteria should reference it.,Specification.md,Specification.md > Scope section; Standards table,"EPC Scope of Work for PKG-074 — Authoritative acceptance basis for vendor-package integration.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: stated in Specification Standards and Guidance Principles. Confidence MEDIUM because DEL-074-01 is in-project and not yet confirmed as accessible at acceptance-criteria fidelity (HRR-074-06-001).
v3.1,DEP-074-06-009,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-074,DEL-074-04_vendor-engineered-equipment-package,,Vendor Engineered Equipment Package DEL-074-04,location TBD — in-project deliverable folder PKG-074/1_Working/DEL-074-04_vendor-engineered-equipment-package,This deliverable reviews and accepts the vendor documentation produced by DEL-074-04; it receives vendor engineering and documentation artifacts as the subject of its review.,Procedure.md,Procedure.md > Prerequisites; Steps 5-11,"Companion deliverables: DEL-074-04_vendor-engineered-equipment-package ... each in its current state.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DEL-074-04 is the Package Vendor production unit; this deliverable is the EPC-integrator review of it. Explicit in Procedure prerequisites and Specification scope.
v3.1,DEP-074-06-010,PKG-074,DEL-074-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-074,DEL-074-05_vendor-document-turnover-package,,Vendor Document Turnover Package DEL-074-05,location TBD — in-project deliverable folder PKG-074/1_Working/DEL-074-05_vendor-document-turnover-package,This deliverable reviews vendor document submittals and turnover records produced by DEL-074-05 as part of the acceptance checklist and turnover evidence collection.,Procedure.md,Procedure.md > Prerequisites; Steps 11d,"Companion deliverables: ... DEL-074-05_vendor-document-turnover-package ... each in its current state.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DEL-074-05 is the vendor document turnover package; this deliverable reviews and accepts those documents. Explicit in Procedure prerequisites and Specification Documentation section.
