CandidateTerm,Synonyms,Definition,SourceRefs,Notes
code-neutral architecture,,Mechanics in the public core with code-specific values in user/private rule packs.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L571|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-001
rule pack,rule packs,User/private packs carrying code-specific values and user-supplied code checks.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L571|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036;@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L608|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,
canonical JSON,JCS; canonical JSON/JCS,Canonical JSON with JCS-compatible hashing; domain truth per DEC-017.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L580|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036;@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L587|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,
Software Architecture Runway,PKG-00,First workflow gate before remaining package-level drafting or implementation planning.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L577|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-007
typed expression AST,in-repo typed expression AST,The frozen canonical rule-pack grammar; no text parser.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L592|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036;@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L607|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-022/DEC-037
sparse skyline/banded direct solver,skyline (profile) solver,Hand-rolled in-repo direct solver with profile factorization and zero new numerical dependencies.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L593|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-023
governed value,governed values,"A value placed under governance (e.g., conversion constants, tolerances).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L588|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036;@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L596|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,
five-surface local evidence sweep,,"One deterministic sequential entrypoint (cargo, pytest, Vitest, Playwright, desktop build) emitting a commit-bound summary artifact, required as the merge gate.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L595|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-025
Cycle-Driven Resolution Doctrine,,"Project posture where the SCC condensation is the unique objective dependency skeleton, each SCC resolved by one recorded move.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L610|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-040
multi-member archive package,,"The native project package/public transport form (zip/directory) per PKG-17 with member inventory, manifest, and per-member JCS hashes.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L598|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-028
Working Desktop Application Standard,,The standard whose current target stage is advanced from PRD R2 to PRD R3 exit by DEC-035.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L599|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036;@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L605|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,
library_value_ref,,Reference-only rule-pack schema member resolved at run time from the local private-library store; never embedded.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L608|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0036,DEC-038
