InstanceID,Role,SourcePackage,Engine,Provider,Model,IdentityStatus,Evidence,PriorInvolvement
"agent0_primary","Supervisory synthesis author","current package","Codex","OpenAI","gpt-5.6-sol","VERIFIED","current managed runtime","Framed charter and candidate direction; received and adjudicated returns"
"assembly_writer","Agent 2 serialized assembly writer","current package","Codex","OpenAI","gpt-5.6-sol","VERIFIED","run_records/ASSEMBLY_WRITER/BRIEF.md; _run_records/TASK_RUN_2026-07-26_1340.md","None disclosed"
"preservation_validator","Agent 2 preservation validator","current package","Codex","OpenAI","gpt-5.6-sol","VERIFIED","run_records/PRESERVATION_VALIDATOR/RETURN.md","None disclosed"
"daemon_census","Agent 2 daemon-consumption census","current package","Codex","OpenAI","UNKNOWN","UNKNOWN","returns/DAEMON_CONSUMPTION_CENSUS/RAW_TERMINAL_RETURN.md","None disclosed"
"meta_fanin_refuter","Agent 2 adversarial refuter","current package","Codex","OpenAI","UNKNOWN","UNKNOWN","run_records/ADVERSARIAL_REFUTER/BRIEF.md; terminal return filed by EVALUATION","None disclosed"
"independent_A","Pass-1 reviewer A","independent_managed","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","source package records no engine identity","None disclosed"
"independent_B","Pass-1 reviewer B","independent_managed","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","source package records no engine identity","None disclosed"
"root_A","Pass-1 reviewer A","root_managed","UNKNOWN","UNKNOWN","opus-5","SELF_DECLARED","source_reviews/root_managed/RUN_MANIFEST.md:7","None disclosed"
"root_B","Pass-1 reviewer B","root_managed","UNKNOWN","UNKNOWN","opus-5","SELF_DECLARED","source_reviews/root_managed/RUN_MANIFEST.md:7","None disclosed"
"pec_A","Pass-1 reviewer A","pec_managed","UNKNOWN","UNKNOWN","opus-5","SELF_DECLARED","source_reviews/pec_managed/HANDOFF_STATE.md:23","None disclosed"
"pec_B","Pass-1 reviewer B","pec_managed","UNKNOWN","UNKNOWN","opus-5","SELF_DECLARED","source_reviews/pec_managed/HANDOFF_STATE.md:23","None disclosed"
"pec_refuter","Fan-in refuter","pec_managed","UNKNOWN","UNKNOWN","opus-5","SELF_DECLARED","meta_reviews/independent_meta_2/COMPARATIVE_META_REVIEW.md:58-60","None disclosed"
"meta_1","Comparative meta-reviewer","independent_meta_1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","meta_reviews/independent_meta_1/COMPARATIVE_META_REVIEW.md:25-36","Previously managed independent_managed review"
"meta_2","Comparative meta-reviewer","independent_meta_2","Claude","UNKNOWN","Fable 5","SELF_DECLARED","meta_reviews/independent_meta_2/COMPARATIVE_META_REVIEW.md:3-21","Previously supervised excluded fourth pass"
"excluded_A","Incomplete pass-1 reviewer A","excluded_fourth_pass1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","excluded package lacks reliable per-instance engine identity","Excluded supplemental evidence"
"excluded_B","Incomplete pass-1 reviewer B","excluded_fourth_pass1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","excluded package lacks reliable per-instance engine identity","Excluded supplemental evidence"
