LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,core/handoff/review_geometry/package.py is a glTF review-geometry export package builder for DEL-17-08 emitting a narrow glTF JSON review artifact for invented centerline segments.,@repo/core/handoff/review_geometry/package.py:L1|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,92ad7f364b4a,IN,SEC-CC001-0043,UNIT-CC001-0004,,
2,"The review-geometry exporter records stable identity, sidecar mappings, loss reporting, diagnostics, provenance, privacy, and professional-boundary notices.",@repo/core/handoff/review_geometry/package.py:L6|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,9b1b62d7ee24,IN,SEC-CC001-0043,UNIT-CC001-0004,,
3,"The review-geometry exporter does not emit binary GLB, surface/tube geometry, solver-fidelity geometry, target compatibility evidence, formal validation evidence, or professional reliance records.",@repo/core/handoff/review_geometry/package.py:L6|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,d17b93430230,IN,SEC-CC001-0043,UNIT-CC001-0004,,
4,Review geometry export uses REVIEW_GEOMETRY_EXPORT_VERSION 0.1.0 and GLTF_VERSION 2.0.,@repo/core/handoff/review_geometry/package.py:L26|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,4df519e6e72b,IN,SEC-CC001-0043,UNIT-CC001-0004,,
5,"REQUIRED_SOURCE_BASIS_REFS for review geometry are Deliverable DEL-17-01, Deliverable DEL-17-02, and Document GLTF-2.0.",@repo/core/handoff/review_geometry/package.py:L29|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,79141fcf158f,IN,SEC-CC001-0043,UNIT-CC001-0004,,
6,"Loss categories for review geometry are: exported, omitted, approximated, delegated, unsupported, and tbd.",@repo/core/handoff/review_geometry/package.py:L34|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,956d8fafee79,IN,SEC-CC001-0043,UNIT-CC001-0004,,
7,"The review-geometry PROFESSIONAL_BOUNDARY requires human review, supports visual review and identity correlation, and makes no release, target-compatibility, solver-fidelity, analysis-fidelity, solver-validation, compliance, certification, sealing, or approval claim.",@repo/core/handoff/review_geometry/package.py:L54|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,1ab6c887edec,IN,SEC-CC001-0043,UNIT-CC001-0004,,
8,"Default boundary note: glTF review geometry is visual review support only and is not solver-fidelity geometry, analysis-fidelity geometry, target compatibility evidence, code compliance evidence, or professional reliance evidence.",@repo/core/handoff/review_geometry/package.py:L80|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,5242eee0a508,IN,SEC-CC001-0043,UNIT-CC001-0004,,
9,v1 review geometry emits JSON .gltf line-mode centerline geometry with embedded buffer data; GLB and surface/tube geometry remain future work.,@repo/core/handoff/review_geometry/package.py:L83|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,4e57c8f009e3,IN,SEC-CC001-0043,UNIT-CC001-0004,,
10,The sidecar ID map remains authoritative for audit correlation even when glTF extras carry direct identity metadata.,@repo/core/handoff/review_geometry/package.py:L84|_Decomposition/source_review_html/SRC-CODE-CORE.html#SEC-CC001-0043,0b07da812d47,IN,SEC-CC001-0043,UNIT-CC001-0004,,
