RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-105-01-001,PKG-105,DEL-105-01_scope-of-work,Scope of Work,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0261,Scope decision SOW-0261 — Platforms (WBS 01),GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-105-01 implements SOW-0261: carry the workbook-defined Structural package Platforms as a distinct flat project package for WBS 01.,GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,SCOPE_LEDGER.csv row SOW-0261 — PKG-105,"Carry the workbook-defined Structural package 'Platforms' as a distinct flat project package for WBS 01.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0261 is the parent scope decision node for PKG-105 per Gate 7 SCOPE_LEDGER.csv. Confirmed in DELIVERABLE_REGISTER.csv DEL-105-01 row.
v3.1,DEP-105-01-002,PKG-105,DEL-105-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Project Objective OBJ-001 — 04-25 Deepcut facility scope,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-105-01 traces to OBJ-001 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-01 — OBJ column,"OBJ-001; OBJ-005; OBJ-008; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,ASSUMPTION (PACKAGE_HEURISTIC): OBJ-001 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-105-01 via package-level heuristic mapping. See Datasheet.md Identification note.
v3.1,DEP-105-01-003,PKG-105,DEL-105-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,Project Objective OBJ-005 — Electrical power and infrastructure basis,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-105-01 traces to OBJ-005 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-01 — OBJ column,"OBJ-001; OBJ-005; OBJ-008; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,ASSUMPTION (PACKAGE_HEURISTIC): OBJ-005 listed as objective trace via package-level heuristic mapping (Area / Exterior Lighting interface). See Datasheet.md Identification note.
v3.1,DEP-105-01-004,PKG-105,DEL-105-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,Project Objective OBJ-008 — Civil/structural/site scope,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-105-01 traces to OBJ-008 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-01 — OBJ column,"OBJ-001; OBJ-005; OBJ-008; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-008 explicitly covers civil/structural/platform scope. Listed in DELIVERABLE_REGISTER.csv for DEL-105-01.
v3.1,DEP-105-01-005,PKG-105,DEL-105-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,Project Objective OBJ-010 — Operability/maintainability/handoff closure,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-105-01 traces to OBJ-010 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-01 — OBJ column,"OBJ-001; OBJ-005; OBJ-008; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,ASSUMPTION (PACKAGE_HEURISTIC): OBJ-010 listed as objective trace via package-level heuristic mapping. See Datasheet.md Identification note.
v3.1,DEP-105-01-006,PKG-105,DEL-105-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,Gate 7 DELIVERABLE_REGISTER.csv / PACKAGE_REGISTER.csv / SCOPE_LEDGER.csv / INTERFACE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/,The Scope of Work reads package identity authority and interface types from Gate 7 decomposition registers.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,Datasheet.md — Identification and References; Procedure.md — Step 1,Gate 7 DELIVERABLE_REGISTER.csv PACKAGE_REGISTER.csv SCOPE_LEDGER.csv INTERFACE_REGISTER.csv,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure Step 1 explicitly requires reading Gate 7 snapshot registers. Snapshot accepted and available at _Decomposition path.
v3.1,DEP-105-01-007,PKG-105,DEL-105-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,"26020-Package_Requirements.docx — Workbook row 106 package heading",_Sources/26020-Package_Requirements.docx,The Scope of Work requires a transcribed source slice of the Workbook row 106 package heading from 26020-Package_Requirements.docx for tagged-equipment list and boundaries.,Specification.md,Specification.md — §Scope Out-of-scope; §Requirements R-105-01-02; R-105-01-08,"Transcribed source slice of 26020-Package_Requirements.docx package heading for Workbook row 106 (currently TBD — binary file, slice not transcribed).",EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly states this slice is required but currently TBD (binary file). Blocks full population of ART-21C90A2BB4 and boundary/exclusion content.
v3.1,DEP-105-01-008,PKG-105,DEL-105-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,"DBM 4-25_Deepcut_DBM.md — Governing Civil and Structural Basis (lines 2666-2685; 3411-3413)",_Sources/DBM-Deepcut/4-25_Deepcut_DBM.md,The Scope of Work must cite governing structural standards (CSA S16 / G40.20/G40.21 / W59) and geotechnical dependency sourced from the DBM.,Specification.md,Specification.md — §Requirements R-105-01-07; §Standards table; Datasheet.md §Conditions,CSA S16:19; CSA G40.20-13/G40.21-13; CSA W59-18; geotechnical assessment dependence (line 2685).,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: DBM is available at _Sources/DBM-Deepcut/4-25_Deepcut_DBM.md. Specific line references verified in Specification.md and Datasheet.md.
v3.1,DEP-105-01-009,PKG-105,DEL-105-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-105,DEL-105-02_package-datasheet,,Package Datasheet,PKG-105/1_Working/DEL-105-02_package-datasheet_Package-Datasheet/,The Scope of Work is the mandatory anchor deliverable consumed by the Package Datasheet for technical handoff basis.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-02 — description and SOW-0261 link,"Mandatory EPC Integrator technical handoff deliverable; package data required for vendor or discipline package engineering and design.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: DELIVERABLE_REGISTER.csv explicitly identifies DEL-105-02 as consuming SOW-0261 (same scope decision as DEL-105-01) within PKG-105.
v3.1,DEP-105-01-010,PKG-105,DEL-105-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,ENABLES,DELIVERABLE,PKG-105,DEL-105-03_construction-work-package,,Construction Work Package,PKG-105/1_Working/DEL-105-03_construction-work-package_Construction-Work-Package/,The Scope of Work package identity and scope boundaries are consumed by the Construction Work Package for installation and tie-in work.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-105-03 — description,"Mandatory EPC Integrator deliverable describing how the package will be physically installed, built, inspected, turned over, and tied into the larger facility systems.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: DELIVERABLE_REGISTER.csv explicitly links DEL-105-03 to SOW-0261 and PKG-105. Scope of Work drives the integration narrative for downstream construction work package work.
