LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"Chirality is a governed, filesystem-native agent operating system for deliverable-heavy professional work.",@repo/README.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,8af2289a526c,IN,SEC-RT007-0001,UNIT-RT007-0001,,
2,The repository is the private canonical source tree for Chirality.,@repo/README.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,441f4607fe44,IN,SEC-RT007-0001,UNIT-RT007-0001,,
3,"The repository holds shared instruction architecture, governance documents, a deterministic tool layer, public-export source surface, private project workspaces, domain workspaces, and export tooling for the sanitized public chirality-app package.",@repo/README.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,6bf34846951d,IN,SEC-RT007-0001,UNIT-RT007-0001,,
4,"When the filesystem is the database, architecture is a state-and-authority specification rather than a service mesh.",@repo/README.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,d9407a2bb27e,IN,SEC-RT007-0001,UNIT-RT007-0001,,
5,Chirality is not an autonomous swarm.,@repo/README.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,9e73ffe526f4,IN,SEC-RT007-0001,UNIT-RT007-0001,,
6,"Chirality directs AI agents through an instruction architecture, tool layer, and desktop harness.",@repo/README.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,54038dd2cfa5,IN,SEC-RT007-0001,UNIT-RT007-0001,,
7,"Chirality uses explicit scope, evidence, write-boundary, snapshot, and human-gate rules for agent direction.",@repo/README.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,69cc70f06ae9,IN,SEC-RT007-0001,UNIT-RT007-0001,,
8,AI can accelerate professional work but cannot inherit professional responsibility.,@repo/README.md:L13|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0001,ff1c529bca57,IN,SEC-RT007-0001,UNIT-RT007-0001,,
9,The private repository is upstream of the public chirality-app export.,@repo/README.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,1612b13c8614,IN,SEC-RT007-0002,UNIT-RT007-0001,,
10,The private repository is maintained as a canonical source tree for related but distinct surfaces.,@repo/README.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,06c7fd45769b,IN,SEC-RT007-0002,UNIT-RT007-0001,,
11,"Instruction and governance roots include AGENTS.md, agents/, docs/, and root framework docs.",@repo/README.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,7268f6240b11,IN,SEC-RT007-0002,UNIT-RT007-0001,,
12,Instruction and governance changes should use live registries and governance docs rather than historical inventories.,@repo/README.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,4aacc9e00ef4,IN,SEC-RT007-0002,UNIT-RT007-0001,,
13,Skills and tools are rooted in skills/ and tools/.,@repo/README.md:L24|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,48816ee6a65e,IN,SEC-RT007-0002,UNIT-RT007-0001,,
14,Method logic belongs in skills and deterministic operations belong in tools.,@repo/README.md:L24|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,7f9bd82c7531,IN,SEC-RT007-0002,UNIT-RT007-0001,,
15,The public export surface consists of exports/chirality-app/ and export-allowed root files and directories.,@repo/README.md:L25|domains/chirality/_Decomposition/source_review_html/SRC-README.html#SEC-RT007-0002,e823d27eeeb2,IN,SEC-RT007-0002,UNIT-RT007-0001,,
