RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-052-01-001,PKG-052,DEL-052-01_scope-of-work,Scope of Work,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,PKG-052,Inlet / TEG Dehy Cross Exchanger,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,DEL-052-01 implements the EPC Scope of Work node for PKG-052 Inlet / TEG Dehy Cross Exchanger per the Gate 7 decomposition.,PACKAGE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv row 62,Mandatory EPC Integrator deliverable for the full package scope,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Parent anchor confirmed against GATE-07 PACKAGE_REGISTER.csv row 62.
v3.1,DEP-052-01-002,PKG-052,DEL-052-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0103,Scope Item SOW-0103 — PKG-052 as distinct flat project package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-052-01 covers scope item SOW-0103 per DELIVERABLE_REGISTER.csv row 336 and SCOPE_LEDGER.csv.,DELIVERABLE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv row 336 (Covers Scope Items),SOW-0103; SOW-0104; SOW-0105; SOW-0106,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit traceability stated in DELIVERABLE_REGISTER.csv row 336.
v3.1,DEP-052-01-003,PKG-052,DEL-052-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0104,Scope Item SOW-0104 — Basic scope for Inlet / TEG Dehy Cross Exchanger,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-052-01 covers scope item SOW-0104 per DELIVERABLE_REGISTER.csv row 336.,DELIVERABLE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv row 336 (Covers Scope Items),SOW-0103; SOW-0104; SOW-0105; SOW-0106,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit traceability stated in DELIVERABLE_REGISTER.csv row 336.
v3.1,DEP-052-01-004,PKG-052,DEL-052-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0105,Scope Item SOW-0105 — Major included equipment for Inlet / TEG Dehy Cross Exchanger,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-052-01 covers scope item SOW-0105 per DELIVERABLE_REGISTER.csv row 336.,DELIVERABLE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv row 336 (Covers Scope Items),SOW-0103; SOW-0104; SOW-0105; SOW-0106,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit traceability stated in DELIVERABLE_REGISTER.csv row 336.
v3.1,DEP-052-01-005,PKG-052,DEL-052-01_scope-of-work,Scope of Work,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0106,Scope Item SOW-0106 — Scope notes and operating/design conditions,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-052-01 covers scope item SOW-0106 per DELIVERABLE_REGISTER.csv row 336.,DELIVERABLE_REGISTER.csv,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv row 336 (Covers Scope Items),SOW-0103; SOW-0104; SOW-0105; SOW-0106,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit traceability stated in DELIVERABLE_REGISTER.csv row 336.
v3.1,DEP-052-01-006,PKG-052,DEL-052-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,GATE-07,Gate 7 Final Published PROJECT_DECOMP Snapshot,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24,Procedure requires accepted upstream PROJECT_DECOMP snapshot as prerequisite before producing this deliverable.,Procedure.md,Procedure.md / Prerequisites,Accepted upstream PROJECT_DECOMP snapshot: _GateSnapshots/GATE-07_Final_Published_2026-05-24. Required.,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites. Snapshot is present on disk.
v3.1,DEP-052-01-007,PKG-052,DEL-052-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,DBM-DEEPCUT,DBM-Deepcut source slice — Inlet / TEG Dehy Cross Exchanger and Interfaces sections,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Sources/DBM-Deepcut/4-25_Deepcut_DBM.md,Procedure requires DBM-Deepcut section Inlet / TEG Dehy Cross Exchanger and section Interfaces as required source input.,Procedure.md,Procedure.md / Prerequisites,_Sources/DBM-Deepcut/4-25_Deepcut_DBM.md — section Inlet / TEG Dehy Cross Exchanger and section Interfaces. Required.,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites.
v3.1,DEP-052-01-008,PKG-052,DEL-052-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-052,DEL-052-02_package-datasheet,DEL-052-02,Package Datasheet,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-052_Inlet-TEG-Dehy-Cross-Exchanger/1_Working/DEL-052-02_package-datasheet_Package-Datasheet,This Scope of Work provides the scope basis for the Package Datasheet; warm-side identity ruling logged in MEMORY.md before Datasheet issue.,Specification.md,Specification.md / Verification (R2.x),warm-side identity ruling logged in MEMORY.md before Datasheet (DEL-052-02) issue,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification.md Verification table explicitly states DEL-052-02 depends on this deliverable's warm-side ruling.
v3.1,DEP-052-01-009,PKG-052,DEL-052-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-052,DEL-052-03_construction-work-package,DEL-052-03,Construction Work Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-052_Inlet-TEG-Dehy-Cross-Exchanger/1_Working/DEL-052-03_construction-work-package_Construction-Work-Package,Scope of Work defines EPC Integrator interface list (including maintenance access / tube-pull); this must be coordinated before construction work-package design in DEL-052-03.,Guidance.md,Guidance.md / Considerations (Tube-bundle pull and skid layout),Maintenance access must be coordinated with the package skid orientation before construction work-package design (DEL-052-03),EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Guidance.md Considerations explicitly names DEL-052-03 as consumer of maintenance access interface output.
v3.1,DEP-052-01-010,PKG-052,DEL-052-01_scope-of-work,Scope of Work,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-056,DEL-056-01_scope-of-work,,Inlet Separators 4-25 (PKG-056) — Scope of Work,location TBD,Cold-side inlet sour gas boundary: inlet separator overhead gas from PKG-056 supplies cold-side feed to E-5718-1. Interface is explicit in process boundary description.,Datasheet.md,Datasheet.md / Conditions / Process Boundaries (Cold-side inlet),Sour gas from inlet separator overheads (E-5718-1 cold side),EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet.md Process Boundaries explicitly cites PKG-056 as cold-side inlet boundary. TargetDeliverableID is DEL-056-01 by naming convention; confirm in DELIVERABLE_REGISTER if needed.
