CandidateTerm,Synonyms,Definition,SourceRefs,Notes
EVALUATION_DEPENDENCY_AUDIT,,Type 2 TASK agent that performs deterministic dependency register auditing for a project execution instance.,@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L6|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L178|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0024,
Dependencies.csv,dependency register,"Dependency register file audited for schema, anchors, evidence, and enum usage.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L36|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0004;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L56|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0007,
Dependencies.csv v3.1 schema,,Schema with 29 required columns plus optional extensions.,@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0004;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L133|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0018,
IMPLEMENTS_NODE,IMPLEMENTS_NODE anchor,Anchor whose presence is checked per dependency file.,@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L65|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0009;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L142|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0019;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0019,
EvidenceFile,EvidenceFile population,Field or population check used to measure evidence coverage.,@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L69|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0010;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L151|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0020,
canonical enum usage,enum validation; enum values,"Use of accepted enum values, excluding legacy values such as COORDINATION and INFORMATION.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0001;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L73|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0011;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L82|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0011,
Dependency audit report,Dependency Audit Report,"Report with per-deliverable schema, anchor, and evidence checks.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L24|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0002;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L122|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0017,
Schema Conformance,,"Report section for valid v3.1 schema counts, extension columns, and invalid files.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L129|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0018;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L133|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0018;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L135|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0018,
Anchor Coverage,,"Report section for ANCHOR rows, IMPLEMENTS_NODE rows, and files missing IMPLEMENTS_NODE.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L137|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0019;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L141|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0019;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L144|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0019,
Evidence Coverage,,"Report section for checked rows, EvidenceFile population, and coverage rate.",@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L146|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0020;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L150|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0020;@repo/agents/AGENT_EVALUATION_DEPENDENCY_AUDIT.md:L152|domains/chirality/_Decomposition/source_review_html/SRC-AGENTS-AGENT-EVALUATION-DEPENDENCY-AUDIT.html#SEC-AG020-0020,
