CategoryID,Name,MappedInAtoms,ScopeQuery,BM25TopK,BM25TopKAssignedHits,BM25PrecisionAtK,BM25CategoryRecallAtK,BM25AssignmentMissCount,DenseIndexStatus,CosineThreshold,CosineBelowThresholdCount,Verdict,Blocking,Notes
CAT-001,Epistemic and Professional-Practice Foundations,2180,"Epistemic and Professional-Practice Foundations Foundational claims about knowledge, warrant, accountability, professional reliance, regulated engineering practice, and the ontology/epistemology/praxiology/axiology basis of Chirality. Include atoms about professional obligations, APEGA-aligned responsibilities, evidence over plausibility, responsible charge, human accountability, warrant states, epistemic labels, and philosophical framework foundations. Exclude concrete agent execution contracts, tool schemas, and project workspace boundaries unless the atom is principally about professional or epistemic warrant. epistemic professional practice warrant accountability responsible charge APEGA regulated engineering evidence public welfare human authority ontology epistemology praxiology axiology",4360,1395,0.3200,0.6399,785,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-002,Governance and Agent Instruction Architecture,1109,"Governance and Agent Instruction Architecture The governance grammar of the agent suite: agent types, epistemic posture, instruction-file authority, precedence layers, invariants, approval gates, derivative-package and snapshot rules, and human/agent authority boundaries. Include atoms about AGENTS.md, agent matrices, instruction architecture, PROTOCOL/SPEC/STRUCTURE/RATIONALE precedence, non-negotiable invariants, human-gated approvals, and governance integration rules. Exclude the detailed procedure of a specific decomposer, auditor, publisher, or extraction worker when that procedure belongs to a more specific operational category. agent governance instruction architecture agent type precedence invariants protocol spec structure rationale derivative package snapshot rule human approval authority",2218,412,0.1858,0.3715,697,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-003,Decomposition Lifecycle and Domain Structuring,2252,"Decomposition Lifecycle and Domain Structuring The decomposition machinery that turns sources into governed domain/project/software structures: intake, skeletons, dispatch plans, atomization, ledgers, categories, knowledge types, subjects, scope change, and decomposition package review. Include atoms about DECOMP_BASE, DOMAIN_DECOMP, PROJECT_DECOMP, SOFTWARE_DECOMP, source atomization, source skeletons, dispatch units, Domain Ledger rows, Category/KTY/Subject assignment, and source-driven scope change. Exclude generic TASK/skill runtime contract details unless they are specific to decomposition or atomization. decomposition lifecycle intake source skeleton dispatch unit atomization domain ledger category knowledge type subject scope change source fidelity",4504,1355,0.3008,0.6017,897,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-004,"Task, Skill, and Tool Execution Contracts",2619,"Task, Skill, and Tool Execution Contracts Bounded worker execution contracts and local tool/skill mechanics: TASK shell, TaskSkill selection, brief schemas, runtime overrides, allowed tools, skill metadata, tool policy, and deterministic tool ownership. Include atoms about TASK dispatch, skill pack contracts, BRIEF_SCHEMA, QA_CHECKS, TOOL_POLICY, RuntimeOverrides, AllowedTools, Toolmaker/Skillmaker governance, and method-pack boundaries. Exclude extraction, publication, decomposition, or audit content when a skill atom primarily specifies that domain operation rather than the generic skill/tool contract. TASK TaskSkill skill pack tool contract brief schema QA checks tool policy runtime overrides allowed tools deterministic tools method pack",5238,1324,0.2528,0.5055,1295,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-005,"Source Fidelity, Retrieval, and Validation Infrastructure",227,"Source Fidelity, Retrieval, and Validation Infrastructure Infrastructure that preserves and validates source truth: manifests, SourceRefs, content hashes, catalogs, local indexes, BM25/dense retrieval, validation checks, telemetry, review HTML anchors, and reproducibility controls. Include atoms about Source_Manifest, SourceRef, ContentHash, source catalog/database, source_v2 retrieval, BM25, embeddings, validation commands, chunks, section nodes, telemetry, and hash-based reproducibility. Exclude semantic domain claims that merely cite a source unless the atom is about the citation/indexing machinery itself. source fidelity manifest SourceRef ContentHash source catalog local index source_v2 retrieval BM25 dense embeddings validation telemetry section nodes review html",454,70,0.1542,0.3084,157,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-006,"Audit, Review, Reconciliation, and Evaluation",2563,"Audit, Review, Reconciliation, and Evaluation Independent checks over governed state: audits, reviews, reconciliation, evaluation reports, findings, closure checks, QA reports, evidence bundles, validation verdicts, and blocker disposition. Include atoms about AUDIT_* agents, REVIEW, RECONCILIATION, EVALUATION*, findings registers, evidence sweeps, closure audits, validation verdicts, and post-author review. Exclude source-intake validation mechanics when the atom is primarily catalog/retrieval infrastructure rather than an audit/review workflow. audit review reconciliation evaluation findings closure verdict blockers QA report evidence bundle validation conformance coverage assessment",5126,1373,0.2679,0.5357,1190,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-007,"Publication, Aggregation, Hypergraph, and Synthesis",2118,"Publication, Aggregation, Hypergraph, and Synthesis Downstream synthesis packages assembled from accepted upstream truth: DBM publication, aggregation, hypergraph snapshots, concordance, semantic matrices, content digests, and derived publication artifacts. Include atoms about DBM_PUBLISHER, AGGREGATION, DOMAIN_HYPERGRAPH, publication packages, semantic lensing/matrix build, concordance, content digest, derived package status, and synthesis outputs. Exclude upstream decomposition truth and audit truth except where an atom describes how downstream packages consume them. publish publication DBM aggregation hypergraph synthesis concordance semantic matrix semantic lens content digest derived package snapshot publication artifact",4236,1022,0.2413,0.4825,1096,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-008,"Document, Asset, Drawing, and Engineering-Data Extraction",3305,"Document, Asset, Drawing, and Engineering-Data Extraction Source and engineering-artifact extraction workflows: PDF-to-Markdown, page transcription, equation audit, figure/table/image handling, drawing extraction, P&ID symbol work, equipment and estimate extraction. Include atoms about PDF2MD, page rasters, folios, figures, tables, equations, crops, bounding boxes, drawing extraction, P&ID valves, equipment extraction, estimate extraction, and external extraction tools. Exclude generic TASK/skill contract atoms unless they specifically govern extraction work. PDF2MD page raster folio equation figure table image crop bounding box drawing extraction P&ID valve equipment estimate external tools",6610,2058,0.3113,0.6227,1247,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-009,"Coordination, Change, Scheduling, and Deliverable Workflows",1691,"Coordination, Change, Scheduling, and Deliverable Workflows Human-facing and project-execution workflows: orchestration, preparation, change management, scheduling, working items, deliverable tasks, dependency handling, handoff state, and operating cadence. Include atoms about ORCHESTRATOR, PREPARATION, CHANGE, SCHEDULING, WORKING_ITEMS, HELP_HUMAN, deliverable workflows, dependency registers, handoff state, INIT-TASK coordination, and project execution control loops. Exclude product/work-surface boundary descriptions that are primarily about repository topology or integration scope. orchestration preparation change management scheduling working items deliverable workflow dependencies handoff state INIT-TASK coordination execution control loop",3382,875,0.2587,0.5174,816,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
CAT-010,"Work-Surface, Project, Product, and Integration Boundaries",1297,"Work-Surface, Project, Product, and Integration Boundaries The organization of Chirality domains, projects, app/export surfaces, Domain Engine integration, OpenPipeStress integration, private/public repository boundaries, and active work-surface registry documents. Include atoms about domains/, projects/, work-surface registry, chirality-app-dev, chirality-piping, public export boundary, Domain Engine, OpenPipeStress integration, repository organization, and private/project workspace limits. Exclude legal license terms unless the atom is about public/private product boundary mechanics rather than license obligations. work surface domains projects chirality app dev piping Domain Engine OpenPipeStress integration public export boundary repository organization private workspace",2594,839,0.3234,0.6469,458,NOT_AVAILABLE_BM25_ONLY_RESTORED,0.75,NOT_RUN,PENDING_DENSE_RATIFICATION,YES,BM25 draft evidence generated from current source_v2 snapshot. Dense embedding pass was attempted but locally impractical in this turn; Gate 3 cannot close until dense ratification is run or a human explicitly accepts BM25-only ratification as sufficient for this domain pass.
