RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-104-03-001,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0260,Structural steel - outside of modules (SOW-0260 / PKG-104 WBS 01),,This deliverable implements the decomposition node for PKG-104 Structural steel - outside of modules under WBS 01 scope item SOW-0260.,Datasheet.md,Datasheet.md > Identification table,ParentPackageID PKG-104; WBS 01; Scope Item Covered SOW-0260,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: parent anchor confirmed against GATE-07 PACKAGE_REGISTER.csv and SCOPE_LEDGER.csv rows for PKG-104 / SOW-0260.
v3.1,DEP-104-03-002,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Provide the 04-25 Deepcut facility scope (OBJ-001),,This deliverable traces to OBJ-001 — Deepcut facility scope delivery objective.,Datasheet.md,Datasheet.md > Identification table,Objectives Supported OBJ-001,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-001 confirmed in GATE-07 OBJECTIVE_REGISTER.csv and OBJECTIVE_DELIVERABLE_MAP.csv.
v3.1,DEP-104-03-003,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,Civil/structural/site scope objective (OBJ-008),,This deliverable traces to OBJ-008 — civil/structural/site/construction support scope objective.,Datasheet.md,Datasheet.md > Identification table,Objectives Supported OBJ-008,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-008 confirmed in GATE-07 OBJECTIVE_REGISTER.csv.
v3.1,DEP-104-03-004,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,Operability/maintainability/turnover/closure evidence objective (OBJ-010),,This deliverable traces to OBJ-010 — handoff evidence and controlled open-item closure objective.,Datasheet.md,Datasheet.md > Identification table,Objectives Supported OBJ-010,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: OBJ-010 confirmed in GATE-07 OBJECTIVE_REGISTER.csv.
v3.1,DEP-104-03-005,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-104,DEL-104-04_epc-structural-discipline-production-package,,EPC / Structural Discipline Production Package (DEL-104-04),,DEL-104-03 requires DEL-104-04 (IFC drawings; structural member schedule; connection details; weld and bolt procedures) to be sufficiently advanced before field execution can proceed.,Procedure.md,Procedure.md > Prerequisites,"EPC/Structural Discipline Production Package (DEL-104-04) sufficient to define structural members, connections, and tie-in geometry.",EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: explicitly stated as prerequisite in Procedure.md Prerequisites. Construction cannot proceed without IFC drawings from DEL-104-04.
v3.1,DEP-104-03-006,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-104,DEL-104-01_scope-of-work,,Scope of Work (DEL-104-01),,DEL-104-03 requires DEL-104-01 at INITIALIZED or later as the package handoff basis for scope identity and tagged equipment.,Procedure.md,Procedure.md > Prerequisites,PKG-104 Scope of Work (DEL-104-01) and PKG-104 Package Datasheet (DEL-104-02) authored and at INITIALIZED or later,EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: explicitly named predecessor in Procedure.md Prerequisites.
v3.1,DEP-104-03-007,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-104,DEL-104-02_package-datasheet,,Package Datasheet (DEL-104-02),,DEL-104-03 requires DEL-104-02 at INITIALIZED or later as the package technical basis for construction planning.,Procedure.md,Procedure.md > Prerequisites,PKG-104 Scope of Work (DEL-104-01) and PKG-104 Package Datasheet (DEL-104-02) authored and at INITIALIZED or later,EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: explicitly named predecessor in Procedure.md Prerequisites.
v3.1,DEP-104-03-008,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,EXTERNAL,,,REQ-104-03-11,Geotechnical report (bearing capacity; LPILE curves; dynamic design criteria),location TBD — pending geotechnical investigation,Foundation pile design values (bearing capacity; LPILE load-deflection curves; dynamic design criteria) are TBD and must be resolved before pile and foundation construction can proceed. Affected specification items remain TBD pending geotechnical report issuance.,Procedure.md,Procedure.md > Prerequisites; Specification.md > REQ-104-03-11,Geotechnical report issued and reviewed (foundation TBDs from 4-25_Deepcut_DBM.md resolved for impacted scope),EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: geotechnical report is explicitly named as a prerequisite for foundation/pile scope. REQ-104-03-11 mandates that affected construction items remain TBD until the report is issued.
v3.1,DEP-104-03-009,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,EXTERNAL,,,REF-IFC-DRAWINGS,IFC drawings / bolt-up details / weld procedures / ITP (structural discipline),location TBD — not present in accessible source slices,IFC drawings; bolt-up details; weld procedures; and ITP must be issued before structural steel erection can begin under this work package.,Procedure.md,Procedure.md > Prerequisites,IFC drawings; bolt-up details; weld procedures; and ITP issued,EXPLICIT,INITIALIZED,INITIALIZED,PENDING,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: explicitly listed as a prerequisite in Procedure.md. Source files not yet opened (CONF-104-03-03); TargetLocation is TBD. TargetType set to EXTERNAL as IFC drawings are produced outside this deliverable boundary (by DEL-104-04 or discipline engineering) but specific deliverable ID is not confirmed.
v3.1,DEP-104-03-010,PKG-104,DEL-104-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,IFC-CCDE4B56CA,Grading / Site Drainage / Spill Containment interface (IFC-CCDE4B56CA),/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/INTERFACE_REGISTER.csv,The Construction Work Package must identify and plan installation coordination with the grading/site drainage/spill containment interface (IFC-CCDE4B56CA); interface checklist must be closed before turnover.,Specification.md,Specification.md > REQ-104-03-05,identify and plan the installation interface with grading/site drainage/spill containment (IFC-CCDE4B56CA),EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: interface fact IFC-CCDE4B56CA confirmed in GATE-07 INTERFACE_REGISTER.csv for PKG-104. REQ-104-03-05 makes coordination and checklist closure an explicit requirement.
