LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,WSR-DOMAINS-PIPING-DESIGN is a work-surface registry source for later DOMAIN_DECOMP Phase 2 atomization.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0002,c7b811d39bd3,IN,SEC-WSR002-0002,UNIT-WSR002-0001,,
2,"The registry records topology, ownership, and governance principles for the live domains/piping-design surface.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0002,84ddd9a2c43d,IN,SEC-WSR002-0002,UNIT-WSR002-0001,,
3,"The registry is not a decomposition ledger, atom CSV, vocabulary CSV, Gate packet, or source-manifest amendment.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L5|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0002,269b9c277609,IN,SEC-WSR002-0002,UNIT-WSR002-0001,,
4,The work surface is domains/piping-design/.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,1f05007538c6,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
5,The registry document identifier is WSR-DOMAINS-PIPING-DESIGN.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L10|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,289687a347e4,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
6,"The surface is a piping-design domain pack for source corpora, extraction products, and domain-decomposition preparation.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,6e42f7af5c33,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
7,"The README describes domains/piping-design as a domain shell for piping-design knowledge, decomposition state, and local source corpora.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L13|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,4c70228cb97f,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
8,The domain pack is named piping-design and described as a Chirality workflow domain pack.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,6ebc2f5932d0,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
9,"The domain pack declares local roots for _Sources, _Decomposition, _Coordination, and vocabularies.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0003,aba5827150d3,IN,SEC-WSR002-0003,UNIT-WSR002-0001,,
10,_Sources is the authoritative source-corpus root for the piping-design domain pack.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,7bbfd19fc1b9,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
11,"_Sources/_LATEST.md lists MWK_1956, Piping_Manual, Process-Piping-Design Rip Weaver volumes 1 and 2, Pipe-Stress-Engineering, and industry-practices as the live source set.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,3d8e34b781e0,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
12,"Five named book/extraction folders under _Sources each contain assembled Markdown, section-node CSV, asset manifest, and supporting audit or table artifacts where present.",@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,a5d36ab39d21,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
13,The industry-practices subarea is a multi-chapter private knowledge base for piping-design industry practices.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,5688c89d278d,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
14,The industry-practices corpus provides design-judgment context and explicitly does not include underlying codes.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,3b50440c246f,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
15,The plans subarea contains live planning surfaces for PDF2MD campaign continuation and export-format interoperability.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,69519007cc41,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
16,_Decomposition is the decomposition-state root declared by the domain pack.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,9d50ef72a3b5,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
17,No live accepted decomposition package was identified for _Decomposition in the registry pass.,@repo/domains/chirality/_Decomposition/work_surface_registry/WSR-DOMAINS-PIPING-DESIGN.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-WSR-DOMAINS-PIPING-DESIGN.html#SEC-WSR002-0004,338c49956e3e,IN,SEC-WSR002-0004,UNIT-WSR002-0001,,
