PackageID,DeliverableID,Title,FolderPath,LifecycleState,RequirementIDScheme,RequirementIDs,RemainingPresent,RemainingItemCount,BootstrapItemPresent,NonBootstrapItems,GateSuffixes,SelectableUnderCurrentLoop
PKG-00,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,IN_PROGRESS,REQ-01-*,REQ-01-01;REQ-01-02;REQ-01-03;REQ-01-04;REQ-01-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,IN_PROGRESS,REQ-02-*,REQ-02-01;REQ-02-02;REQ-02-03;REQ-02-04;REQ-02-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-03,Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,IN_PROGRESS,REQ-03-*,REQ-03-01;REQ-03-02;REQ-03-03;REQ-03-04;REQ-03-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-04,Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,IN_PROGRESS,REQ-04-*,REQ-04-01;REQ-04-02;REQ-04-03;REQ-04-04;REQ-04-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-05,GUI state and interaction architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture,IN_PROGRESS,REQ-05-*,REQ-05-01;REQ-05-02;REQ-05-03;REQ-05-04;REQ-05-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",IN_PROGRESS,REQ-06-*,REQ-06-01;REQ-06-02;REQ-06-03;REQ-06-04;REQ-06-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-07,API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,IN_PROGRESS,REQ-07-*,REQ-07-01;REQ-07-02;REQ-07-03;REQ-07-04;REQ-07-05,PRESENT,1,YES,NONE,NONE,NO
PKG-00,DEL-00-08,Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,IN_PROGRESS,REQ-08-*,REQ-08-01;REQ-08-02;REQ-08-03;REQ-08-04;REQ-08-05,PRESENT,1,YES,NONE,NONE,NO
PKG-01,DEL-01-01,Project governance baseline,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline",ISSUED,REQ-01-01-*,REQ-01-01-01;REQ-01-01-02;REQ-01-01-03;REQ-01-01-04;REQ-01-01-05;REQ-01-01-06;REQ-01-01-07;REQ-01-01-08,ABSENT,0,NO,NONE,NONE,NO
PKG-01,DEL-01-02,Copyright and protected-data boundary policy,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy",IN_PROGRESS,DEL-01-02-R*,DEL-01-02-R1;DEL-01-02-R2;DEL-01-02-R3;DEL-01-02-R4;DEL-01-02-R5;DEL-01-02-R6;DEL-01-02-R7;DEL-01-02-R8;DEL-01-02-R9;DEL-01-02-R10;DEL-01-02-R11,PRESENT,1,YES,NONE,NONE,NO
