ClaimKey,DeliverableID,UnitKind,ClaimType,ClaimClass,ClaimSummary,NormativeSource,DecisionBasis,DeclaredState,RecordedRemaining,ImplementationEvidence,VerificationEvidence,VerificationClass,ValidationEvidence,SourceReliability,LifecycleState,Disposition,Confidence,CauseTag,AuthorityTier,BaselineClass,DivergenceLayers,FindingGroup,CanonicalSituation,AdoptedByReference,ContextRefs,RemainingWork,AuthorityNeeded,SelectableUnderCurrentLoop,Notes,SourceStateSHA
DEL-03-05:SOW,DEL-03-05,SURFACE,DECLARED_STATE,DOCUMENTATION,"Scope of Work as a whole: rigid/semi-rigid model described only through schema, fixture and schema-test evidence; front matter pins SOFTWARE_DECOMP at a revision 0.8 commit",SOW surface of DEL-03-05,DEC-045,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/product_physics/src/lib.rs;core/product_physics/src/validation.rs;core/model_operations/operation_applier/src/lib.rs;fixtures/product_preview/invented_preview_model.json,tests/test_component_section_schema.py;core/model_operations/operation_applier/src/lib.rs::tee_and_rigid_component_creation_block_incomplete_or_disconnected_geometry;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,MEDIUM,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,RECORD,FG-DEL-03-05-01,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/MEMORY.md;projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-06-21_TP-R4-D3-RIGIDVIS-001.md;projects/chirality-piping/execution/_Coordination/_DECISIONS/_REGISTER.md","Catch the SOW up to the product-path rigid slice (product_physics rigid inputs, unit checks and diagnostics; operation_applier valve/flange/reducer/rigid creation; invented preview component:C-130) and repin decomposition_basis to revision 0.12.",NO,NOT_APPLICABLE,"The SOW was migrated on 2026-07-14, after the 2026-06-21 TP-R4-D3-RIGIDVIS-001 app absorption under DEC-045 recorded in MEMORY and the run record, yet its evidence statements name only the schema, fixture and schema test. Front matter decomposition_basis pins commit 69ac259 (revision 0.8); frozen basis is 0.12. Rigid components stay mechanics_geometry_only at the freeze (C-130 declares it, the D3 run record states no frame-stiffness change, and product code only normalises and validates weight and COG), so the SOW's solver-treatment TBDs remain accurate.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#purpose-and-objective-traceability,DEL-03-05,BLOCK,DECLARED_STATE,GOVERNANCE,SOW defines DEL-03-05 in service of SOW-009 and OBJ-004,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,projects/chirality-piping/docs/_Registers/Deliverables.csv;projects/chirality-piping/docs/_Registers/ScopeLedger.csv,STATIC_CHECK,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,SOW-009 and OBJ-004 match the Deliverables.csv and ScopeLedger.csv rows.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#deliverable-definition-ontology,DEL-03-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Ontology section wrapper,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,Pre-typed NON_NORMATIVE by extractor v2 (section wrapper or heading-only block); no override.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-001,DEL-03-05,BLOCK,NON_NORMATIVE,DOCUMENTATION,Datasheet heading block,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,NOT_ASSESSED,HIGH,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,Pre-typed NON_NORMATIVE by extractor v2 (section wrapper or heading-only block); no override.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-002,DEL-03-05,BLOCK,DECLARED_STATE,GOVERNANCE,"Identification table: DEL-03-05, PKG-03, package, BACKEND_FEATURE_SLICE, SOW-009, OBJ-004, lifecycle IN_PROGRESS read only",SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,projects/chirality-piping/docs/_Registers/Deliverables.csv,STATIC_CHECK,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_STATUS.md",,NO,NOT_APPLICABLE,"Assessed directly, with no split of the optional .rNN rows; values match Deliverables.csv and the frozen _STATUS.md (IN_PROGRESS).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-003,DEL-03-05,BLOCK,DECLARED_STATE,SCHEMA,"Attributes table: families, geometry, weight, COG, split stiffness, provenance, units and public-data boundary; public artifacts carry schema shape and invented diagnostics only",SOW surface of DEL-03-05,DEC-045,IN_PROGRESS,NONE,schemas/component.schema.yaml;fixtures/component/invented_component_library_valid.json;fixtures/product_preview/invented_preview_model.json;core/product_physics/src/lib.rs,tests/test_component_section_schema.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,MEDIUM,DOC_BEHIND_CODE,LOCAL_DESIGN,NONE,RECORD,FG-DEL-03-05-01,,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-06-21_TP-R4-D3-RIGIDVIS-001.md",Record the public preview component:C-130 invented values and the product-path rigid slice in the public-data-boundary and evidence rows.,NO,NOT_APPLICABLE,"Assessed directly, with no split of the optional .rNN rows. Family, geometry, weight, COG, split-stiffness, provenance and unit rows match the schema and fixture (end_a_size/end_b_size are schema enum values; COG convention and solver treatment remain open, which is accurate). The public-data-boundary row says public artifacts carry schema shape and invented diagnostics only, but the public preview fixture now carries invented user-entered rigid dimensions, weight, COG and stiffness for component:C-130 (2026-06-21, DEC-045), and the block names only schema-level implementation evidence. Origin of that row 1b62eb5b8, so STALE_REVIEW_OR_EVIDENCE (F3).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-004,DEL-03-05,BLOCK,REQUIREMENT,GOVERNANCE,"Conditions: public artifacts exclude proprietary/vendor data, protected tables, standards content and invented weights/COGs; provenance; findings not defaults; no certification claims",SOW surface of DEL-03-05,DEC-045,IN_PROGRESS,NONE,fixtures/product_preview/invented_preview_model.json,GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_SETUP_SPECIFICATION,MEDIUM,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,,,,"projects/chirality-piping/execution/_Decomposition/SOFTWARE_DECOMP.md;projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-06-21_TP-R4-D3-RIGIDVIS-001.md","Restate the first condition to match DEC-045: public examples may be schema-shape-only or invented, with no protected or default engineering values.",NO,NOT_APPLICABLE,"The ban on invented weights/COGs in public artifacts was overtaken by DEC-045 (2026-06-20: 'public examples remain schema-shape-only or invented'), and component:C-130 in the public preview fixture now carries an invented weight and COG vector. The other three conditions hold. Text first present at 7bee9ae41, so STALE_SETUP_SPECIFICATION (F3). F8: the IP/data boundary itself (no proprietary, vendor or protected values) holds, since C-130 values are labelled invented user-entered with no catalog source, so the tier is the gap's tier, LOCAL_DESIGN, and a catch-up needs no decision (as CS-05 for ruled-over setup text).",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-005,DEL-03-05,BLOCK,DECLARED_STATE,SCHEMA,"Construction: schema, fixture and tests carry the implementation; the model evidence preserves the AB-00 architecture basis",SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,schemas/component.schema.yaml;fixtures/component/invented_component_library_valid.json;core/project_persistence/service.py,tests/test_component_section_schema.py;tests/test_project_persistence_service.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,MEDIUM,,,,NONE,,,,NONE_FOUND,,NO,NOT_APPLICABLE,"The schema is schema-governed, strict, unit-bearing and diagnostic-carrying; project persistence round-trips envelopes deterministically with canonical hashes. The reconciliation-pass sentence is history.",00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-006,DEL-03-05,BLOCK,DECLARED_STATE,DOCUMENTATION,"References list, including SOFTWARE_DECOMP revision 0.7 rows",SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,NOT_APPLICABLE,projects/chirality-piping/execution/_Decomposition/SOFTWARE_DECOMP.md,STATIC_CHECK,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,STALE_REVIEW_OR_EVIDENCE,HIGH,BASIS_POINTER_STALE,LOCAL_DESIGN,NONE,RECORD,,CP-02,,NONE_FOUND,Repin to revision 0.12.,NO,NOT_APPLICABLE,CP-02: revision 0.7 pin; frozen revision 0.12. Other references resolve.,00115c71931bcae79909602d653740d3bb72dfa1
DEL-03-05:SOW#CLM-007,DEL-03-05,BLOCK,DECLARED_STATE,GOVERNANCE,D-41 R5 T2B PDU-013 evidence state: COG slot exists with no convention (held); scalar trace is bounded transform evidence with runtime envelope held,SOW surface of DEL-03-05,NONE,IN_PROGRESS,NONE,schemas/component.schema.yaml;core/model_transform/physical_to_analytical/contract.py;schemas/model.schema.yaml,core/model_operations/operation_applier/src/lib.rs::center_of_gravity_stays_unsupported_pending_payload_ruling;tests/test_physical_to_analytical_transform.py;GATE:GATE_EVIDENCE/B4_4_SWEEP_9D55/SUMMARY.json,UNIT,NOT_APPLICABLE,NOT_APPLICABLE,IN_PROGRESS,ALIGNED,HIGH,,,,NONE,,CP-03,,"projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T2B-PDU013.md;projects/chirality-piping/execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items/_run_records/WORKING_ITEMS_RUN_2026-07-12_D41-R5-T2C-PDU023.md",,NO,NOT_APPLICABLE,"CP-03 row assessed directly, with no split of the optional .rNN rows. Both table rows are true: no COG convention exists and the applier keeps COG edits unsupported pending a payload ruling; paired source/target scalar paths exist in the model schema and transform, with runtime result-envelope production still held at DEL-13-03/13-04.",00115c71931bcae79909602d653740d3bb72dfa1
