AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-PD042-00001,1,The Contribution Review Checklist is a project-governance intake record for public repository contributions.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L19|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0001,ddf45168fde3,IN,SEC-PD042-0001,UNIT-PD042-0001,,
HBA-PD042-00002,2,"The checklist is not legal advice, professional engineering approval, certification, sealing, standards-body endorsement, or a code-compliance claim.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L19|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0001,7b7267f8d49f,IN,SEC-PD042-0001,UNIT-PD042-0001,,
HBA-PD042-00003,3,"Use the checklist before accepting contributions that add or modify public data, examples, report templates, benchmark cases, import fixtures, documentation excerpts, rule-pack examples, component/material/library records, or generated artifacts that may expose private or protected content.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L21|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0001,b77c5217b10b,IN,SEC-PD042-0001,UNIT-PD042-0001,,
HBA-PD042-00004,4,This draft checklist is aligned to execution/_Decomposition/SOFTWARE_DECOMP.md revision 0.7 and approved DAG-006 coordination authority.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0002,951a6310f334,IN,SEC-PD042-0002,UNIT-PD042-0001,,
HBA-PD042-00005,5,The project license has been selected as PolyForm-Noncommercial-1.0.0.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0002,8565475cc403,IN,SEC-PD042-0002,UNIT-PD042-0001,,
HBA-PD042-00006,6,The checklist records contribution-source rights and redistribution evidence separately from the project license notice.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L28|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0002,899eb970e1e6,IN,SEC-PD042-0002,UNIT-PD042-0001,,
HBA-PD042-00007,7,"The final contributor legal mechanism, maintainer roster/quorum, release authority, legal-review authority, security contact, release-label vocabulary, human-acceptance workflow, and jurisdiction-specific professional-practice wording remain TBD until recorded by the human project authority or qualified reviewer.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L31|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0002,5fa02c8b6b1d,IN,SEC-PD042-0002,UNIT-PD042-0001,,
HBA-PD042-00008,8,"The Contribution Identity section records review ID, contribution title, contributor, reviewer, related deliverable/issue/PR, changed paths, contribution type, project license notice, contributor certification record, and review date.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L39|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0003,66ffaf8ab537,IN,SEC-PD042-0003,UNIT-PD042-0001,,
HBA-PD042-00009,9,"Allowed contribution-type values are code, schema, documentation, example, benchmark, data, template, and other.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L47|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0003,75a75a9a078f,IN,SEC-PD042-0003,UNIT-PD042-0001,,
HBA-PD042-00010,10,The default contributor certification record is governance/CONTRIBUTOR_CERTIFICATION_TEMPLATE.md or equivalent.,@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L49|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0003,524f36fdfdfc,IN,SEC-PD042-0003,UNIT-PD042-0001,,
HBA-PD042-00011,11,"The Source And Rights Evidence section records source name, source location, source type, source license/redistribution basis, contributor certification, certification-statement acceptance, redistribution status, and evidence attachment/note.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L54|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,384baaad01bc,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00012,12,"Allowed source-type values are invented, original, public_domain, permissive_license, private_user_supplied, proprietary_with_permission, unknown, and protected_suspected.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L58|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,b6dc3be0273b,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00013,13,"Allowed redistribution-status values are public_permissive, private_only, unknown, protected_suspected, and rejected.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L62|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,1a1ce36652aa,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00014,14,"Acceptance requires a recorded source, redistribution basis, contributor certification, and reviewer disposition.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L65|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,5b533b333a98,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00015,15,"Contributions with unknown, protected_suspected, or missing evidence cannot be accepted as public data.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L65|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,16f12a0ef05d,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00016,16,"Use governance/CONTRIBUTOR_CERTIFICATION_TEMPLATE.md for the default contributor certification record unless a maintainer-approved form preserves the same source, rights, redistribution, protected-content, private-data, and review fields.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L67|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0004,278237e3bff7,IN,SEC-PD042-0004,UNIT-PD042-0001,,
HBA-PD042-00017,17,"The Protected-Content Screen verifies no standards-body code text, commentary, figures, or examples are copied into public content.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L77|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,10dc3cf6f22d,IN,SEC-PD042-0005,UNIT-PD042-0001,,
HBA-PD042-00018,18,"The Protected-Content Screen verifies no copied material allowable tables, SIF tables, flexibility-factor tables, or protected dimensional/rating tables are included.",@repo/governance/CONTRIBUTION_REVIEW_CHECKLIST.md:L78|domains/chirality-piping/_Decomposition/source_review_html/SRC-GOVERNANCE-CONTRIBUTION-REVIEW-CHECKLIST.html#SEC-PD042-0005,14ac94e4128f,IN,SEC-PD042-0005,UNIT-PD042-0001,,
