RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEL-15-01-A001,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-074,Schema-compliant handoff package scope item,execution/_Decomposition/SOFTWARE_DECOMP.md#SOW-074,DEL-15-01 implements SOW-074 for schema-compliant handoff packages with hashes units identifiers references warnings assumptions target mapping metadata and unsupported-target flags.,Datasheet.md,Datasheet.md#Identification,Scope item | SOW-074,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-11,2026-05-11,ACTIVE,Added by TP-DAG-004 dependency-extract refresh from explicit deliverable datasheet and decomposition scope ledger.
v3.1,DEL-15-01-A002,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-017,Traceable handoff packages objective,execution/_Decomposition/SOFTWARE_DECOMP.md#OBJ-017,DEL-15-01 supports OBJ-017 by defining traceable handoff package schema and manifest surfaces for downstream modeling and professional validation workflows.,Datasheet.md,Datasheet.md#Identification,Objective | OBJ-017,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-11,2026-05-11,ACTIVE,Added by TP-DAG-004 dependency-extract refresh from explicit deliverable datasheet and decomposition objective map.
v3.1,DAG-002-E0702,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-01,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,DEL-15-01 needs DEL-00-01 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-01.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0703,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-02,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,DEL-15-01 needs DEL-00-02 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-02.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0704,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-03,DEL-00-03,Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,DEL-15-01 needs DEL-00-03 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-03.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0705,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-04,DEL-00-04,Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,DEL-15-01 needs DEL-00-04 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-04.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0706,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-06,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",DEL-15-01 needs DEL-00-06 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-06.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0707,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-07,DEL-00-07,API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,DEL-15-01 needs DEL-00-07 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-07.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0708,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-08,DEL-00-08,Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,DEL-15-01 needs DEL-00-08 as a predecessor: Architecture basis remains prerequisite context for sealed downstream work.,execution/_Decomposition/SOFTWARE_DECOMP.md,_CONTEXT.md#Architecture-Basis-Injection,Applicable Basis IDs include AB-00-08.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type ARCHITECTURE_BASIS and origin CONTEXT normalized to dependency-extract enums; active edge approved for coordination by execution/_DAG/DAG-002/APPROVAL_RECORD.md; not Type 2 dispatch authority by itself.
v3.1,DAG-002-E0799,PKG-15,DEL-15-01,Canonical handoff package schema and manifest,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-10,DEL-10-03,DEL-10-03,Local FEA handoff data contract,"execution/PKG-10_Build, Packaging, API, and Interoperability/1_Working/DEL-10-03_Local FEA handoff data contract",DEL-15-01 needs DEL-10-03 as a predecessor: Canonical handoff packages align with local FEA handoff contracts.,execution/_DAG/DAG-002/DAG-002_EdgeDispositionReview.md,Procedure.md#Prerequisites,Prerequisites identify existing DAG-002 mirror rows as active evidence including local FEA handoff contract.,IMPLICIT,SEMANTIC_READY,SEMANTIC_READY,TBD,HIGH,DECLARED,2026-05-03,2026-05-11,ACTIVE,Preserved from approved DAG-002 mirror; original DAG type INTEROP_PREDECESSOR explicitness INFERRED_DIRECT origin GRAPH_REVIEW and satisfaction UNKNOWN normalized to dependency-extract enums; not independent DAG-003 approval.
