LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"The R2 smoke e2e suite imports Playwright test/expect plus node fs readFileSync and zlib inflateSync, signaling it decodes PNG screenshots inline.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L2|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,3a50f8009d9f,IN,SEC-CA001-0124,UNIT-CA001-0006,,
2,"A RehearsalStep type carries change_kind, a payload record, and an optional target.ref — the shape of one scripted model-edit step.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L5|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,184985a010a7,IN,SEC-CA001-0124,UNIT-CA001-0006,,
3,"A RehearsalFixture type wraps an array of RehearsalStep, the on-disk replay script schema.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L13|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,e147bae89f1e,IN,SEC-CA001-0124,UNIT-CA001-0006,,
4,The suite loads fixtures/product_preview/r2_from_blank_rehearsal.json as the canned A12 rehearsal fixture driving the from-blank journey test.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L17|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,b755d718abf1,IN,SEC-CA001-0124,UNIT-CA001-0006,,
5,"openWorkspaceSection(page, sectionId) clicks workspace-nav-<sectionId> and asserts workspace-section-<sectionId> is visible (TP-APP-R2-UXSHELL-001), driving navigation only through visible controls.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L26|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,45dfb2fd3158,IN,SEC-CA001-0124,UNIT-CA001-0006,,
6,"TP-APP-R2-UXSHELL-001: the shell keeps the spatial core (model tree, viewport, property inspector) persistent and organizes remaining panels behind an always-visible workspace section navigation.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L21|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,7356e9a4cfa8,IN,SEC-CA001-0124,UNIT-CA001-0006,,
7,"Test: the guided workbench shell keeps journey steps, details, and compact status reachable; it asserts the desktop-preview-shell and guided-workbench render.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L31|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,09ade4097370,IN,SEC-CA001-0124,UNIT-CA001-0006,,
8,On load the journey-step-model is aria-pressed=true and the current step reads 'Queue a model edit'.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L36|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,d52c24dd87ac,IN,SEC-CA001-0124,UNIT-CA001-0006,,
9,The R3 exit journey status reports 'Packaged A12/R3 human pass not recorded' until a packaged human pass is recorded.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L38|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,a5820eb053a6,IN,SEC-CA001-0124,UNIT-CA001-0006,,
10,"Toggling review-apply-drawer-toggle opens the review/apply drawer, revealing the editor-contract-panel and diff-preview-panel.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L42|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,ae54d5c80231,IN,SEC-CA001-0124,UNIT-CA001-0006,,
11,Selecting journey-step-rule-pack sets the current step to 'Draft the private non-code rule pack' and shows the rule-packs workspace section.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L47|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,012141058fe5,IN,SEC-CA001-0124,UNIT-CA001-0006,,
12,The shell test asserts no horizontal overflow: documentElement/body scrollWidth must not exceed clientWidth.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L52|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,f97953aa814c,IN,SEC-CA001-0124,UNIT-CA001-0006,,
13,"Test: R2 desktop preview smoke covers solve, results, report, and viewport overlay end to end.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L60|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,566b85c1dbc5,IN,SEC-CA001-0124,UNIT-CA001-0006,,
14,Engine-ready guard (DEC-020 / ADR-0001): browser mode answers operations through the wasm32 operation_applier build; tests wait for engine_state=ready before edits.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L65|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,ffc1b494caac,IN,SEC-CA001-0124,UNIT-CA001-0006,,
15,operation-engine-status must report engine_route=local_wasm_engine; engine_state=ready before editing.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L67|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,d9ba8167b9b6,IN,SEC-CA001-0124,UNIT-CA001-0006,,
16,Browser preview derives property units from model metadata; the unit basis summary shows length m and pressure Pa from model metadata.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L70|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,15275d17d53e,IN,SEC-CA001-0124,UNIT-CA001-0006,,
17,"The compact journey geometry probe measures dock/journey-rail overflow and asserts zero body, viewport, and item overflow with non-trivial dock body and journey heights.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L79|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,ec0d4c4137b6,IN,SEC-CA001-0124,UNIT-CA001-0006,,
18,"Editing node:N-110 position.y to 1.25 m produces an operation preview after={""value"":1.25,""unit"":""m""} with the entered unit captured explicitly.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L109|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,30e098038a63,IN,SEC-CA001-0124,UNIT-CA001-0006,,
19,Editing load:L-100 primitive_loads.0.magnitude.value to -225 N/m yields an update_load operation preview with the entered unit captured explicitly.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L122|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,4db298326a7a,IN,SEC-CA001-0124,UNIT-CA001-0006,,
20,"Before solving, viewport-deformation-status reads 'not started; result rows=0'.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L135|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,ef15af24de15,IN,SEC-CA001-0124,UNIT-CA001-0006,,
21,"local-project-status reports network=false and telemetry=false, asserting the local-only privacy posture.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L136|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,0d07ea65e427,IN,SEC-CA001-0124,UNIT-CA001-0006,,
22,The load-case manager summary reports '2 load cases; 7 primitive loads; 1 combinations' for the fixture model.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L139|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,1be44976e60e,IN,SEC-CA001-0124,UNIT-CA001-0006,,
23,Selecting load primitive category distributed_force previews target=pipe:P-100; direction=global_y; unit=N/m; force_per_length.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L155|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,abd40bd73744,IN,SEC-CA001-0124,UNIT-CA001-0006,,
24,Selecting category concentrated_moment previews target=node:N-100; direction=rotation_z; unit=N*m; moment.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L164|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,bb3ff892fbc9,IN,SEC-CA001-0124,UNIT-CA001-0006,,
25,Selecting category pressure previews target=pipe:P-100; direction=global_x; unit=Pa; pressure.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L174|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,6c001229a50e,IN,SEC-CA001-0124,UNIT-CA001-0006,,
26,Selecting category thermal previews target=pipe:P-100; direction=global_z; unit=degC; temperature_interval.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L184|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,061c8395a8a2,IN,SEC-CA001-0124,UNIT-CA001-0006,,
27,"Selecting category imposed_displacement previews target=support:S-100; direction=UZ; unit=m; displacement, and direction RX previews unit=rad; rotation.",@repo/apps/desktop/e2e/r2-smoke.spec.ts:L194|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,3d4a0b032798,IN,SEC-CA001-0124,UNIT-CA001-0006,,
28,Creating combination:C-300 previews a term load:L-100 x 1 (unit=none; dimensionless); changing factor to 0.5 updates the term preview.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L208|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,bf08294aff45,IN,SEC-CA001-0124,UNIT-CA001-0006,,
29,TP-APP-R2-COMBEXPR-001: the combination basis editor is a closed-set selector (mechanics | result_state_subtraction | range_envelope) instead of free text; cross-shape edits stay honest proposals the engine blocks.,@repo/apps/desktop/e2e/r2-smoke.spec.ts:L247|_Decomposition/source_review_html/SRC-CODE-APPS.html#SEC-CA001-0124,0e9ea25989fb,IN,SEC-CA001-0124,UNIT-CA001-0006,,
