AmendmentID,ActionSeq,ActionType,EntityType,EntityID,Description,AffectedFiles,DownstreamReruns,SupersessionBindingPresent
SCA-002,1,MODIFY,OBJECTIVE,ScopeLedger.csv ObjectiveIDs (20 IN rows),"Populate ObjectiveIDs for the 20 O-A-ruled unmapped IN rows (SOW-001, 003, 011..017, 021, 025, 040, 042, 052, 053, 054, 056, 088, 089, 094) with bare semicolon-separated OBJ-NNN tokens derived by the intake section 4 attribution method; SOW-021 constrained to a subset of {OBJ-005} per the Gate 1 ruling. CONTINGENT: the drafted cell values are valid only under the recommended Q1/Q2 answers",projects/pec/execution/_Decomposition/ScopeLedger.csv,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK,PROJECT_SETUP,CHANGE",NO
SCA-002,2,MODIFY,DELIVERABLE,Deliverables.csv SupportsObjectives (17 rows),"Populate SupportsObjectives for the 17 O-A-ruled unmapped in-wave deliverables (DEL-00-01, 00-03, 01-01, 01-03, 01-05, 01-06, 02-01..07, 03-06, 08-01, 08-02, 10-03) as the union over each deliverable's covered IN ledger rows; DEL-03-01 unchanged because SOW-021 maps within its existing OBJ-005. CONTINGENT on the recommended Q1/Q2 answers",projects/pec/execution/_Decomposition/Deliverables.csv,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK,PROJECT_SETUP,CHANGE",NO
SCA-002,3,MODIFY,OTHER,Section 3 Objectives rows and notes (A003b/A003c/A003d),"Reconcile the objective-side view to the amended ledger: update Mapped Scope Items and MappedDeliverables for OBJ-001, OBJ-002, OBJ-004 and OBJ-005 (OBJ-003 and OBJ-006 unchanged UNDER THE RECOMMENDED Q1/Q2 ANSWERS ONLY); extend the post-table note; rewrite the mapping-notes block to state the O-A posture while retaining the ingest/bridge and SOW-063 rationale verbatim. Excludes the table-header change, which is ActionSeq 3b",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK",NO
SCA-002,3b,MODIFY,OTHER,Section 3 table header line 318 (A003a),"CONDITIONAL ON Q3: drop the (best-effort) qualifier from the Mapped Scope Items column header. Split from ActionSeq 3 so that approving the section 3 reconciliation does not silently carry the header change; if Q3 declines, this row is not executed and ActionSeq 3 proceeds alone",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK",NO
SCA-002,4,MODIFY,OTHER,Section 7 Coverage and Telemetry,"Update the IN-items-without-objective-mapping metric from 31 to 11 with the O-A residue description (DL-14 attribution scoped to SOW-063 by semicolon separation), and the Revision row from 1.1/SCA-001 to 1.2/SCA-002; ContextEnvelopeCounts unchanged",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK",NO
SCA-002,5,MODIFY,OTHER,Section 11 Decision Log entry DL-17 (A005a),"Append decision-log entry DL-17 recording the SCA-002 amendment and its rationale. AUTHORITY GAP: section 11 is not inside the D-PEC-64 section 4.3 byte-window on the strict reading (the window names revision-history, which is section 12); requires the dated section 4.3 owner amendment requested at Gate 3 Q4",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"SCOPE_CHANGE_POSTCHECK,CHANGE",NO
SCA-002,6,MODIFY,OTHER,Section 12 Revision History row 1.2 (A005b),"Append revision-history row 1.2 summarising the mapping completion, section 3 and section 7 reconciliation, and the section 5 envelope-line correction. Inside the section 4.3 window as revision-history text",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"SCOPE_CHANGE_POSTCHECK,CHANGE",NO
SCA-002,7,MODIFY,OTHER,_Decomposition/_LATEST.md,"Replace the full file with the successor handoff state: revision 1.2 accepted as the SCA-002 successor under D-PEC-64, post-amendment md5s, closure verdict CLOSED_FOR_SCOPE_CHANGE_ONLY, DownstreamRerunState FROZEN, ReadyForNextPhase REGEN_ONLY, and the OI-B deferred obligation. Gate-5-measured values occupy marked slots in the Gate 3 preview. Authority: D-PEC-64 section 3.2 names this file a writable amendment target; it sits outside the section 4.3 byte-window by construction, not as a silent exception",projects/pec/execution/_Decomposition/_LATEST.md,"SCOPE_CHANGE_POSTCHECK,PROJECT_SETUP,CHANGE",NO
SCA-002,8,MODIFY,OTHER,Section 5 Deliverables envelope-posture line 376 (A007),"Correct the stale Context Envelope posture prose from 29 S / 33 M / 2 L / 0 XL to 28 S / 34 M / 2 L / 0 XL, reconciling the residual SCA-001 miss (finding W-1) to Deliverables.csv and the section 7 telemetry. Authority: the D-PEC-64 section 4.3 owner amendment of 2026-07-25 admits exactly this line",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"AUDIT_DECOMP,SCOPE_CHANGE_POSTCHECK",NO
SCA-002,9,MODIFY,OTHER,Front-matter revision block lines 6-8 and 11 (A008),"PROPOSED - NOT YET RULED: update revision to 1.2, date to 2026-07-25, the accepted line to name the SCA-002 successor under D-PEC-64, and session_authorization to append the SCA-002 amendment; source_corpus and status unchanged. Surfaced at Gate 3 as a gap in the ruled register - without it revision 1.2 ships declaring revision 1.1 and contradicts section 7 and _LATEST.md. AUTHORITY GAP: front matter is not inside the section 4.3 byte-window; requires the dated section 4.3 owner amendment requested at Gate 3 Q4",projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md,"SCOPE_CHANGE_POSTCHECK,PROJECT_SETUP,CHANGE",NO
