RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-DEL-01-04-A001,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-034,Professional responsibility boundaries,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-01-04 implements SOW-034 professional responsibility boundary scope.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/Datasheet.md",Identification / Scope Item,Scope Item SOW-034,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; decomposition confirms SOW-034 maps to DEL-01-04.
v3.1,DEP-DEL-01-04-A002,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-011,Preserve professional responsibility,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-01-04 traces to OBJ-011 preserving professional responsibility and non-authentication boundary.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/Datasheet.md",Identification / Objective,Objective OBJ-011,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; decomposition confirms OBJ-011 includes DEL-01-04.
v3.1,DAG-002-E0013,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-01,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,DEL-01-04 requires SCA-001 architecture basis AB-00-01 from DEL-00-01 before sealed product-development execution.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs include AB-00-01.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-04-30,2026-05-10,ACTIVE,FACT; normalized legacy DAG-002 mirror row to v3.1 enums; architecture-basis edge remains context evidence only and not aggregate graph authority.
v3.1,DAG-002-E0014,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-02,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,DEL-01-04 requires SCA-001 architecture basis AB-00-02 from DEL-00-02 before sealed product-development execution.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs include AB-00-02.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-04-30,2026-05-10,ACTIVE,FACT; normalized legacy DAG-002 mirror row to v3.1 enums; architecture-basis edge remains context evidence only and not aggregate graph authority.
v3.1,DAG-002-E0015,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-06,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",DEL-01-04 requires SCA-001 architecture basis AB-00-06 from DEL-00-06 before sealed product-development execution.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs include AB-00-06.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-04-30,2026-05-10,ACTIVE,FACT; normalized legacy DAG-002 mirror row to v3.1 enums; architecture-basis edge remains context evidence only and not aggregate graph authority.
v3.1,DAG-002-E0016,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-08,DEL-00-08,Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,DEL-01-04 requires SCA-001 architecture basis AB-00-08 from DEL-00-08 before sealed product-development execution.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/_CONTEXT.md",Architecture Basis Injection / Applicable Basis IDs,Applicable Basis IDs include AB-00-08.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-04-30,2026-05-10,ACTIVE,FACT; normalized legacy DAG-002 mirror row to v3.1 enums; architecture-basis edge remains context evidence only and not aggregate graph authority.
v3.1,DAG-002-E0392,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-01,DEL-01-01,DEL-01-01,Project governance baseline,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline",DEL-01-04 may need DEL-01-01 as a governance predecessor; this prior aggregate-inferred row was not reconfirmed from current local source documents.,docs/_Registers/Deliverables.csv,Existing Dependencies.csv row DAG-002-E0392,Prior row evidence cites aggregate register and DAG inference.,IMPLICIT,SEMANTIC_READY,SEMANTIC_READY,TBD,MEDIUM,EXTRACTED,2026-04-30,2026-05-10,RETIRED,PROPOSAL; preserved as retired evidence because current conservative local extraction did not reconfirm an explicit execution dependency.
v3.1,DEP-DEL-01-04-E001,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,OPS-CONTRACT,Invariant catalog,docs/CONTRACT.md,DEL-01-04 requires the governing invariant catalog for authority reporting governance and agent boundaries.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/Specification.md",Standards / docs/CONTRACT.md,Governing invariant catalog for authority reporting governance and agent boundaries.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; document target is referenced by repo path and not treated as aggregate graph authority.
v3.1,DEP-DEL-01-04-E002,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,OPS-IP-DATA-BOUNDARY,Protected-content and private-data boundary,docs/IP_AND_DATA_BOUNDARY.md,DEL-01-04 drafting inputs must avoid protected standards/code text and proprietary engineering data.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/Procedure.md",Prerequisites,No protected standards/code text or proprietary engineering data in the drafting input.,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; uses governing boundary read in this task brief.
v3.1,DEP-DEL-01-04-E003,PKG-01,DEL-01-04,Professional responsibility and product-claims policy,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DOCUMENT,,,docs/PROFESSIONAL_BOUNDARY.md,Professional-boundary policy document,docs/PROFESSIONAL_BOUNDARY.md,DEL-01-04 provides draft requirements for a future professional-boundary policy document; exact repo-level wording remains TBD.,"execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy/Specification.md",Documentation,Anticipated repo-level artifacts include docs/PROFESSIONAL_BOUNDARY.md.,EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-05-10,2026-05-10,ACTIVE,FACT; downstream handoff note only; not an authorization to edit repo-level policy.
