DeliverableID  PackageID  LocalStatus  StatusVocabulary  RemainingItems  DAGNodePresent  DeliverablePath                                                                                                                                                    
-------------  ---------  -----------  ----------------  --------------  --------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------
DEL-00-01      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline                                                            
DEL-00-02      PKG-00     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture                                                      
DEL-00-03      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model                                                      
DEL-00-04      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture                                                   
DEL-00-05      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-05_GUI state and interaction architecture                                                           
DEL-00-06      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract                                               
DEL-00-07      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map                                                            
DEL-00-08      PKG-00     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy                                                    
DEL-01-01      PKG-01     ISSUED       CANONICAL         0               TRUE            execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-01_Project governance baseline                                          
DEL-01-02      PKG-01     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-02_Copyright and protected-data boundary policy                         
DEL-01-03      PKG-01     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-03_Contributor certification workflow                                   
DEL-01-04      PKG-01     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-01_Governance, IP Boundary, and Professional Responsibility/1_Working/DEL-01-04_Professional responsibility and product-claims policy                
DEL-02-01      PKG-02     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema                                                           
DEL-02-02      PKG-02     IN_PROGRESS  CANONICAL         5               TRUE            execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract                                      
DEL-02-03      PKG-02     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-03_Code-neutral analysis boundary model                                                    
DEL-02-04      PKG-02     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-04_Plugin and extension domain contracts                                                   
DEL-02-05      PKG-02     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-05_Project persistence and round-trip serialization                                        
DEL-03-01      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-01_Material library schema with provenance                                  
DEL-03-02      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-02_Pipe section and component library schema                                
DEL-03-03      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-03_Bend and elbow component model fields                                    
DEL-03-04      PKG-03     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-04_Branch connection component model fields                                 
DEL-03-05      PKG-03     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-05_Rigid component models for valves, flanges, reducers, and specialty items
DEL-03-06      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-06_Expansion joint component model                                          
DEL-03-07      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-07_Public-private library import provenance checker                         
DEL-03-08      PKG-03     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-03_Piping Components, Materials, and Library Data Model/1_Working/DEL-03-08_Pipe section property and mass-property calculator                       
DEL-04-01      PKG-04     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-01_3D frame stiffness kernel                                                                   
DEL-04-02      PKG-04     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-02_Straight pipe element                                                                       
DEL-04-03      PKG-04     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-03_Linear support and restraint models                                                         
DEL-04-04      PKG-04     IN_PROGRESS  CANONICAL         7               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver                                                         
DEL-04-05      PKG-04     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-05_Sparse solver performance harness                                                           
DEL-04-06      PKG-04     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-06_Solver diagnostics and singularity detection                                                
DEL-05-01      PKG-05     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-01_Primitive load case engine                                                             
DEL-05-02      PKG-05     IN_PROGRESS  CANONICAL         2               TRUE            execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-02_Load-case algebra engine                                                               
DEL-05-03      PKG-05     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-03_Fundamental stress recovery module                                                     
DEL-05-04      PKG-05     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-04_Analysis status semantics                                                              
DEL-05-05      PKG-05     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-05_Loads, Load Cases, and Stress Recovery/1_Working/DEL-05-05_Concentrated and distributed user load application                                     
DEL-06-01      PKG-06     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-01_Rule-pack schema                                                               
DEL-06-02      PKG-06     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-02_Sandboxed unit-aware expression evaluator                                      
DEL-06-03      PKG-06     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-03_Required-input completeness checker                                            
DEL-06-04      PKG-06     IN_PROGRESS  CANONICAL         3               TRUE            execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-04_Private rule-pack lifecycle and checksum handling                              
DEL-06-05      PKG-06     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-06_Rule Packs and User-Supplied Code Check Engine/1_Working/DEL-06-05_Invented non-code example rule pack                                            
DEL-07-01      PKG-07     IN_PROGRESS  CANONICAL         2               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-01_3D viewport and centerline editor                                           
DEL-07-02      PKG-07     IN_PROGRESS  CANONICAL         6               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-02_Model tree and property inspector                                           
DEL-07-03      PKG-07     IN_PROGRESS  CANONICAL         4               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-03_Material, component, and rule-pack editors                                  
DEL-07-04      PKG-07     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-04_Missing-data warning and blocking UX                                        
DEL-07-05      PKG-07     IN_PROGRESS  CANONICAL         2               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-05_Results viewer                                                              
DEL-07-06      PKG-07     IN_PROGRESS  CANONICAL         2               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-06_Accessibility and usability baseline                                        
DEL-07-07      PKG-07     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-07_Solve execution UX- progress, cancellation, and diagnostics                 
DEL-07-08      PKG-07     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-08_Design-authoring state and comparison workspace                             
DEL-07-09      PKG-07     OPEN         CANONICAL         4               TRUE            execution/PKG-07_Graphical User Interface and Engineering Workflow/1_Working/DEL-07-09_Interactive operation vocabulary and tool palette contract                  
DEL-08-01      PKG-08     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-01_Calculation report generator                                                            
DEL-08-02      PKG-08     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-02_Audit manifest and model hash                                                           
DEL-08-03      PKG-08     IN_PROGRESS  CANONICAL         0               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-03_Warnings, assumptions, and provenance report section                                    
DEL-08-04      PKG-08     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-04_Result export format                                                                    
DEL-08-05      PKG-08     IN_PROGRESS  CANONICAL         2               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-05_Report protected-content linter                                                         
DEL-08-06      PKG-08     IN_PROGRESS  CANONICAL         1               TRUE            execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections                                          
