CapabilityID,Answer,ClaimKey,Reason
RC-16-0001,NOT_MINE,,"apps/desktop/src/features/viewport/viewportResource.ts: Owns the WebGL renderer lifecycle: invalidation-driven frame scheduling, a resource ownership ledger with snap... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0002,NOT_MINE,,"apps/desktop/src/features/results/HistoricalRunContext.tsx: On project open, verifies saved run evidence (run and model refs, model, envelope, result and analysis hashes,... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0003,NOT_MINE,,"core/product_physics/src/lib.rs: Selects material modulus, shear modulus and expansion per load case from an exact user temperature point or by... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0004,NOT_MINE,,"core/model_operations/agent_rationale/engine.py: Records agent rationale as decision-support metadata bound to operation and audit context, flagging unresolved... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0005,NOT_MINE,,validation/witness/inputs/generate_del1005_export_results_inputs.py: Provides generated invented request inputs and captured runner outputs for the headless export-results command... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0006,PARTIAL,DEL-16-02:SOW#CLM-010/REQ-16-02-005,Its per-kind validation and blocking before application is DEL-16-02 behaviour; resolver definition and application are not.
RC-16-0007,NOT_MINE,,"schemas/model.schema.yaml: Defines the code-neutral canonical project and model structure (nodes, segments, components, supports, loads)... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0008,NOT_MINE,,"apps/desktop/src/features/hanger-selection/HangerSelectionPanel.tsx: Lets the user import or open a local hanger library, choose a hanger record and assign it to a new or existing... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0009,NOT_MINE,,"tools/coordination/list_deliverable_status.py: Lists work-item lifecycle status from local status files, optionally joined to a selected dependency graph's n... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0010,NOT_MINE,,"package-lock.json: Pins the complete npm dependency graph for the workspace, including the browser-test framework version used fo... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0011,NOT_MINE,,"docs/validation_manual/cases/generate_validation_case_pages.py: Deterministically regenerates per-case validation manual pages from committed hand-calc notes, benchmark fixtu... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0012,NOT_MINE,,"schemas/report_generator.schema.yaml: Defines deterministic calculation-report assembly from governed model, result, audit, report-section and rule-... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0013,NOT_MINE,,"schemas/rule_pack.schema.yaml: Defines user-owned rule packs: metadata, required inputs, declarative formula slots, user-supplied value slots... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0014,NOT_MINE,,".gitignore: Keeps environment secrets, private source folders, generated wasm engine outputs, build products and caches ou... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0015,NOT_MINE,,"apps/desktop/src/features/workspace/shell/ShellStatusBar.tsx: Bottom status bar showing status chips, the current selection, display units, and toggles for the issues and a... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0016,NOT_MINE,,"tools/release/run_coverage_telemetry.py: Collects opt-in Rust, Python and desktop coverage telemetry into a commit-bound schema-validated JSON record;... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0017,NOT_MINE,,"core/library_import/provenance_checker.py: Validates parsed material, section and component library imports for required provenance, public redistributio... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0018,NOT_MINE,,"apps/desktop/src-tauri/src/main.rs: Runs a packaged-binary self-test from a command-line flag that saves an edited load in a disposable store, reo... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0019,NOT_MINE,,"validation/hand_calcs/stress/: Documents hand calculations for the stress recovery fixtures (axial, bending, torsion, pressure, range, integr... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0020,NOT_MINE,,"software-workflow.json: Declares which project checks run for which changed paths (desktop build/test, Python tests, evidence sweep, h... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0021,NOT_MINE,,apps/desktop/src/features/results/resultInterpretation.ts: Shows a mechanics gap ledger listing preview mechanics capabilities with implemented or deferred status and re... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0022,NOT_MINE,,apps/desktop/src/features/workspace/workspaceCanvasBudget.ts: Measures shell chrome height and reserves the remaining space for the 3D canvas without feedback from the canv... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0023,NOT_MINE,,fixtures/material/: Invented valid material library document.... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0024,NOT_MINE,,apps/desktop/src/features/design-workspace/DesignWorkspacePanel.tsx: Exports the design-workspace composition as a local JSON download with unit-policy evidence and no-mutation an... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0025,NOT_MINE,,apps/desktop/src/features/local-fea-handoff/LocalFeaHandoffPanel.tsx: Builds a target-neutral local FEA handoff package around the peak-stress and peak-displacement region (entitie... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0026,NOT_MINE,,"docs/CHECKING_ENTRY_PROFILES.md: Holds reusable checking-entry profiles for program checks, once real checks harden them.... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0027,NOT_MINE,,"fixtures/domain/: Invented domain models (minimal project, physical source-of-truth model) and a physical-to-analytical trace-ga... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0028,NOT_MINE,,"docs/AGENTIC_DEVELOPMENT_WORKFLOW.md: Describes how agentic development proceeds: authority and role maps, phase-aware coordination, default loop, b... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0029,NOT_MINE,,"docs/TYPES.md: Defines project vocabulary and identity: hierarchy, stable identifiers, work-item types, analysis-status and e... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0030,NOT_MINE,,"core/project_persistence/service.py: Creates, opens, saves, version-checks and migrates a local SQLite project store and rebuilds its retrieval sid... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0031,NOT_MINE,,"docs/BUILD_AND_RELEASE.md: Explains build and release practice: repository baseline, reproducibility inputs, local check profiles, packag... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0032,NOT_MINE,,apps/desktop/src/features/wind-exposure/WindExposureForm.tsx: Lets the user mark whole pipes or partial pipe spans as wind-exposed for a wind load case and queue the exposu... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it.
RC-16-0033,NOT_MINE,,"core/units/schema_vocabulary.py: Reads the accepted dimension identifiers from the units schema for Python callers, rejecting a missing, malfor... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0034,NOT_MINE,,"apps/desktop/src/features/viewport/viewportHalo.ts: Presents selection and hover as screen-space halo outlines and point-primitive markers, and binds the applied... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
RC-16-0035,NOT_MINE,,"apps/desktop/src/features/workspace/statusLabels.ts: Maps registered software status and evidence tokens to display labels with their authority domain, and renders... Outside DEL-16-02 scope (operation validation and deterministic diff preview before application); no issued key covers it."
