SectionID,SourceDoc,SourcePrefix,Path,Depth,Title,LineStart,LineEnd,PageFirst,PageLast,HtmlAnchor,ContentHash,InScope,IsFrontMatter,IsBackMatter,FigureRefs,TableRefs,EquationRefs,AssetIDs,Text
SEC-SK065-0001,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,SKILL — equation-bbox-detect,1,SKILL — equation-bbox-detect,10,11,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0001,b45c3cbda007,True,False,False,,,,,
SEC-SK065-0002,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Purpose,2,Purpose,12,17,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0002,a59f9c44b12d,True,False,False,,,,,"Look at one rasterized page PNG, identify every DISPLAY equation visible on the page (block-level math, set off from running prose), and emit normalized bounding-box coordinates as `page_NNNN_eq_bboxes.json` — the schema `tools/equation_audit/crop_equation_regions.py` already consumes.  This skill is the missing producer for `crop_equation_regions.py`. That tool has been functional in the repo but had no upstream — the per-page bbox JSONs it expected were never generated. This skill closes that gap: one TASK dispatch per page, normalized coordinates in [0,1], cross-checked against the per-page Markdown's equation list when expected hashes are provided."
SEC-SK065-0003,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Suitable agent shells,2,Suitable agent shells,18,27,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0003,989f940df11b,True,False,False,,,,,"- `TASK` in generic shell mode, spawned by the `EQUATION_AUDIT` persona during Phase 1 when per-equation crops are enabled.  Not the right fit for: - per-equation interpretation of human notes (use `equation-flag-interpret`) - whole-document figure/table bounding-box detection (use `pdf2md-page-assets`) - inline-equation detection (this skill targets DISPLAY equations only) - cross-page reasoning (one page per invocation)"
SEC-SK065-0004,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Inputs,2,Inputs,28,29,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0004,bbcf64a3a280,True,False,False,,,,,
SEC-SK065-0005,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Required (via `RuntimeOverrides`),3,Required (via `RuntimeOverrides`),30,36,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0005,042d108ccd95,True,False,False,,,,,- `IMAGE_PATH` — absolute path to `page_NNNN.png` - `PAGE_MD_PATH` — absolute path to the per-page Markdown (provides context: which equations to look for) - `PAGE_NUM` — 1-indexed page number; must match the `NNNN` in `IMAGE_PATH` - `OUTPUT_PATH` — absolute path to write `page_NNNN_eq_bboxes.json`
SEC-SK065-0006,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Optional,3,Optional,37,40,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0006,8a6d61f5d223,True,False,False,,,,,- `EXPECTED_EQUATION_HASHES` — list of 12-hex hashes the persona expects to find on this page (extracted by `audit_equations.py`). The skill cross-checks its findings against this list and notes mismatches in the `latex_excerpt` field.
SEC-SK065-0007,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Runtime overrides,2,Runtime overrides,41,50,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0007,c87809780a04,True,False,False,,,,,| Key | Meaning | Default | Allowed values | |---|---|---|---| | `IMAGE_PATH` | Path to page PNG | **Required** | Existing `.png` file | | `PAGE_MD_PATH` | Path to per-page Markdown | **Required** | Existing `.md` file | | `PAGE_NUM` | Page number | **Required** | Positive integer | | `OUTPUT_PATH` | Path to write bbox JSON | **Required** | Parent dir exists; `.json` | | `EXPECTED_EQUATION_HASHES` | Expected hash cross-check list | `[]` | List of 12-hex strings |
SEC-SK065-0008,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Read boundary,2,Read boundary,51,63,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0008,d5c7579edff6,True,False,False,,,,,"Reads are limited to:  - `IMAGE_PATH` — the single page PNG, multimodal load. - `PAGE_MD_PATH` — the per-page Markdown, text load.  No other reads. The skill MUST NOT:  - read other pages - read `equations.jsonl` or any audit artifact - read other source files (skeleton, assets, sidecars)"
SEC-SK065-0009,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Write boundary,2,Write boundary,64,71,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0009,33d12ebbdfad,True,False,False,,,,,Writes are limited to exactly one file:  - `OUTPUT_PATH` — `page_NNNN_eq_bboxes.json` matching the schema `crop_equation_regions.py` consumes  No other side effects.
SEC-SK065-0010,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL,SK065,Tool usage,2,Tool usage,72,85,,,SRC-SKILLS-EQUATION-BBOX-DETECT-SKILL.html#SEC-SK065-0010,8f36940e4867,True,False,False,,,,,"- No deterministic tools are invoked. This is a VLM-vision skill. - The `allowed-tools` frontmatter field is intentionally omitted. - The agent uses its native `Read` tool for multimodal PNG input and text MD input, and its native `Write` tool for the single output JSON.  Disallowed behavior:  - MUST NOT shell out to any subprocess or external command. - MUST NOT widen scope beyond the assigned page. - MUST NOT modify the page Markdown or any audit artifact. - MUST NOT re-OCR text outside display equations (transcription is `pdf2md-page`'s job). - MUST NOT write any file other than `OUTPUT_PATH`."
