ClaimID,PackageID/DeliverableID,ClaimClass,ClaimType,NormativeSource,DecisionBasis,DeclaredState,RecordedRemaining,RemainingSource,GateOrStageConstraint,SelectableUnderCurrentLoop,ImplementationEvidence,VerificationEvidence,ValidationEvidence,SourceReliability,LifecycleState,Disposition,Confidence,RemainingWork,AuthorityNeeded
DEL-03-01-REQ-001,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-001; docs/_Registers/ScopeLedger.csv SOW-017; docs/CONTRACT.md OPS-K-UNIT-1,NONE_FOUND,"The schema supports material records with property slots, explicit dimensions, quantity kind, unit-required flags, and unit-bearing quantity values",NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml $defs: MaterialRecord.properties -> MaterialPropertyValue (property_kind, value_status, temperature_ref exact-selection per DEC-068 item 1, unit-bearing value via QuantityValue); MaterialPropertyDefinition (dimension_id, quantity_kind, unit_required, required_for); QuantityValue requires magnitude/unit_ref/dimension_id/quantity_kind/unit_required/missing_unit_behavior/provenance; fixture property_definitions density and allowable_stress carry unit_required=true","tests/test_material_schema.py asserts REQUIRED_MATERIAL_FIELDS subset of MaterialRecord.required and the MaterialPropertyDimension/QuantityKind enum shapes; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - schema/data-model claim class; no engineering validation basis applies (schema defines structure only; engineering property/allowable values omitted; suitability review deferred as TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-002,PKG-03/DEL-03-01,GOVERNANCE,REQUIREMENT,Specification.md REQ-03-01-002; docs/CONTRACT.md OPS-K-IP-1 and OPS-K-DATA-1; docs/_Registers/ScopeLedger.csv SOW-017 note,NONE_FOUND,The schema supports allowable-value slots without bundling protected or code-specific allowable tables in public artifacts,NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml MaterialAllowableSlot (allowable_kind, value_status, public_repository_value_policy enum incl. no_public_code_specific_values / private_user_supplied_only, optional value, provenance); MaterialRecord.allowables description forbids bundling protected/code-specific tables; fixture allowable public_repository_value_policy=no_public_code_specific_values with value omitted (value_status=not_provided)","tests/test_material_schema.py asserts MaterialAllowableSlot required set and public_repository_value_policy enum contains no_public_code_specific_values and private_user_supplied_only, and that FORBIDDEN_PUBLIC_DATA_TEXT (ASME, B31, ASTM, CODE_COMPLIANT, certified material, sealed, ...) is absent from all schema and fixture strings; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - IP/governance-boundary claim; no engineering validation basis applies; protected-content sufficiency review deferred (Procedure Records: TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-003,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-003; docs/CONTRACT.md OPS-K-DATA-3 and OPS-K-IP-2,NONE_FOUND,"The schema requires provenance metadata for material libraries, material records, property values, allowable slots, and diagnostics",NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml Provenance $def requires source_name/source_location/source_license/contributor/contributor_certification/redistribution_status/review_status and is a required field on MaterialLibrary, MaterialRecord, MaterialPropertyValue, MaterialAllowableSlot, MaterialDiagnostic (and QuantityValue); fixture populates provenance at every level (source_license=TBD, review_status=pending)","tests/test_material_schema.py asserts REQUIRED_PROVENANCE_FIELDS subset of Provenance.required; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - schema/data-model claim class; no engineering validation basis applies (schema defines structure only; engineering property/allowable values omitted; suitability review deferred as TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-004,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,"Specification.md REQ-03-01-004; docs/CONTRACT.md OPS-K-IP-2, OPS-K-PRIV-1, OPS-K-GOV-4",NONE_FOUND,The schema records public/private classification and redistribution status for material library data,NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml PrivacyClass enum (public_schema_only, public_permissive, private_user_data, quarantine_metadata_only, TBD) and RedistributionStatus enum (public_permissive, private_only, unknown, protected_suspected, rejected, TBD), both required on MaterialLibrary/MaterialRecord/Provenance; fixture privacy_class=public_schema_only, redistribution_status=TBD","tests/test_material_schema.py asserts RedistributionStatus enum contains {public_permissive, private_only, unknown, protected_suspected, rejected, TBD}; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - schema/data-model claim class; no engineering validation basis applies (schema defines structure only; engineering property/allowable values omitted; suitability review deferred as TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-005,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-005; docs/CONTRACT.md OPS-K-DATA-2; execution/_Decomposition/SOFTWARE_DECOMP.md AB-00-06,NONE_FOUND,"The schema expresses missing solve-required or rule-check-required material values as explicit diagnostics or completeness findings, not defaults",NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml carries no default keyword (additionalProperties=false throughout); CompletenessRule/MaterialCompletenessFinding (status incomplete/blocked, missing_property_kinds, diagnostic_code); MaterialDiagnostic MATERIAL_PROPERTY_MISSING with DiagnosticClass SOLVE_BLOCKING; QuantityValue.missing_unit_behavior=diagnostic_blocking; fixture emits incomplete completeness finding and blocking MATERIAL_PROPERTY_MISSING diagnostic with density value_status=missing","tests/test_material_schema.py asserts 'default' absent from every schema key, CompletenessRule.missing_behavior enum includes diagnostic_blocking, fixture completeness status=incomplete and diagnostics[0].code=MATERIAL_PROPERTY_MISSING class=SOLVE_BLOCKING; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - schema/data-model claim class; no engineering validation basis applies (schema defines structure only; engineering property/allowable values omitted; suitability review deferred as TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-006,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-006; docs/CONTRACT.md OPS-K-IP-3,NONE_FOUND,The schema supports quarantine/escalation status for suspected protected material content,NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,schemas/material.schema.yaml value_status and RedistributionStatus carry protected_suspected; PrivacyClass and library_scope carry quarantine_metadata_only; ReviewStatus carries quarantined; MaterialDiagnosticCode includes MATERIAL_PROTECTED_CONTENT_SUSPECTED and MATERIAL_ALLOWABLE_NOT_PUBLIC; DiagnosticClass includes IP_BOUNDARY_WARNING,"tests/test_material_schema.py asserts RedistributionStatus includes protected_suspected and MaterialDiagnosticCode includes MATERIAL_PROTECTED_CONTENT_SUSPECTED and MATERIAL_ALLOWABLE_NOT_PUBLIC; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - IP/governance-boundary claim; no engineering validation basis applies; protected-content sufficiency review deferred (Procedure Records: TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,"Schema provides the quarantine/escalation status vocabulary only; enforcement/escalation workflow over imported libraries is downstream (DEL-03-07 public-private library import provenance checker), not this schema deliverable",NO
DEL-03-01-REQ-007,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-007; execution/_Decomposition/SOFTWARE_DECOMP.md AB-00-04,SCA-001 architecture-basis injection (AB-00-04 deterministic/versioned/provenance-preserving persistence; _CONTEXT.md Architecture Basis Injection; execution/_Decomposition/SOFTWARE_DECOMP.md revision 0.7 - resolves in frozen tree),"The schema preserves versioned, provenance-preserving, schema-governed serialization behavior where material data is serialized; round-trip persistence integration is declared downstream TBD",NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml schema_version (semver pattern), Provenance required throughout, additionalProperties=false and no default keys (schema-governed), JSON Schema 2020-12 dialect; actual material-data serialization/round-trip persistence is downstream: schemas/project_persistence.schema.yaml (SURF-197) is attributed to DEL-02-05 and lists DEL-03-01; no round-trip/persistence harness exists in this deliverable","tests/test_material_schema.py asserts schema_version present (REQUIRED_TOP_LEVEL) and $schema is the 2020-12 dialect; it does NOT exercise serialization round-trip (owned by DEL-02-05 tests/test_persistence_schema.py); re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - schema-compatibility/versioning claim; round-trip and hash validation deferred downstream (DEL-02-05 persistence; _REVIEW.md DEL-02-05 check = WARNING/deferred),UNVERIFIED,IN_PROGRESS,PARTIALLY_IMPLEMENTED,HIGH,Round-trip/versioned serialization behavior is a documented downstream deferral to DEL-02-05 persistence integration (Specification REQ-03-01-007 verification: 'round-trip persistence integration remains downstream TBD'); only schema-level versioning + provenance hooks are present at the frozen SHA,NO
DEL-03-01-REQ-008,PKG-03/DEL-03-01,GOVERNANCE,REQUIREMENT,Specification.md REQ-03-01-008; docs/CONTRACT.md OPS-K-AGENT-4,NONE_FOUND,The deliverable does not treat agent-generated setup text as engineering authority or source data,NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"fixtures/material/invented_material_library_valid.json contributor_certification labels ('invented non-engineering fixture; not for project use', 'value intentionally omitted', 'schema slot only; no allowable value supplied'); library_scope=public_schema_fixture; engineering values omitted (value_status missing/not_provided); property_definitions public_fixture_policy schema_shape_only/private_values_only; Guidance.md and Datasheet.md state the fixture is schema-shape evidence, not engineering data","tests/test_material_schema.py asserts fixture library_scope=public_schema_fixture, material_records[0].redistribution_status=TBD, allowable public_repository_value_policy=no_public_code_specific_values, completeness status=incomplete, and FORBIDDEN_PUBLIC_DATA_TEXT absent; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - IP/governance-boundary claim; no engineering validation basis applies; protected-content sufficiency review deferred (Procedure Records: TBD),UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-REQ-009,PKG-03/DEL-03-01,SCHEMA,REQUIREMENT,Specification.md REQ-03-01-009; DEL-02-01; DEL-02-02; PKG-02 audit finding resolution (Review_Findings.csv PKG03-DEL-03-01-PKG02-001),Human Gate A disposition 2026-06-05 accepting Review_Findings.csv PKG03-DEL-03-01-PKG02-001 as ACCEPT_AS_IS/RESOLVED (MEMORY.md 2026-06-05 'Human disposition accepted for selected PKG-02 review findings' - resolves in frozen tree),The material property dimension vocabulary stays aligned with accepted PKG-02 dimensions and excludes retired aliases,NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,"schemas/material.schema.yaml MaterialPropertyDimension enum {density, stress, temperature, temperature_interval, thermal_expansion_coefficient, specific_heat, thermal_conductivity, dimensionless, TBD}; independently confirmed at frozen SHA to be a subset of the live PKG-02 schemas/units.schema.yaml DimensionId enum; PKG02-001 replaced 'conductivity' with 'thermal_conductivity'","tests/test_material_schema.py asserts material_dimensions subset of CANONICAL_DIMENSIONS and disjoint from RETIRED_DIMENSIONS (temperature_difference, area_moment, conductivity, stiffness); pilot additionally verified the 9-value enum is a subset of the live units.schema.yaml DimensionId at the frozen SHA; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)","NOT_APPLICABLE - cross-schema vocabulary-alignment claim verified by test/inspection, not engineering validation",REVIEWED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
DEL-03-01-EXC-001,PKG-03/DEL-03-01,GOVERNANCE,EXCLUSION,"Specification.md Scope paragraph 2 (durable product-boundary portion): the deliverable does not define engineering allowable values, reproduce standards content, claim code compliance, certify engineering suitability, resolve human review dispositions, or close dependency satisfaction",NONE_FOUND,"The deliverable defines schema structure only and makes no engineering-value, standards-reproduction, code-compliance, certification, review-disposition, or dependency-satisfaction claim",NONE_RECORDED,NONE_RECORDED,NONE_RECORDED,NO,schemas/material.schema.yaml and fixtures/material/invented_material_library_valid.json carry slots/omitted values only (no engineering allowable/property values); no code-compliance/certification strings; Review_Findings.csv dispositions and Dependencies.csv satisfaction (5 rows SatisfactionStatus=TBD) remain human/reconciliation-gated per Procedure.md steps 5 and 8,"tests/test_material_schema.py FORBIDDEN_PUBLIC_DATA_TEXT scan (ASME, B31, ASTM, CODE_COMPLIANT, certified material, sealed, automatic compliance, professional approval by the software) absent from schema and fixture strings; re-executed side-effect-free at frozen SHA 551f84ef6 (PYTHONDONTWRITEBYTECODE=1; python3 -m pytest -p no:cacheprovider tests/test_material_schema.py -> 2 passed; frozen tree porcelain clean before and after); recorded pass PY-38 SWEEP_20260711T040758Z_e648462f1d05.json surface python_pytest=pass at commit e648462f1 (ancestor of frozen SHA), content-identical at frozen SHA 551f84ef6be656f1603ce0acfa5e3935aa9683c7 (diff empty over tests/, schemas/, fixtures/)",NOT_APPLICABLE - scope-exclusion claim,UNVERIFIED,IN_PROGRESS,ALIGNED,HIGH,NONE_OBSERVED,NO
