CandidateTerm,Synonyms,Definition,SourceRefs,Notes
edgequake-pdf2md,edgequake-pdf2md,High-performance PDF-to-Markdown converter and legacy Step 0 alternative to native PDF2MD.,@repo/tools/EXTERNAL_TOOLS.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L217|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019;@repo/tools/EXTERNAL_TOOLS.md:L223|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Legacy Step 0 alternative.
synalinks,synalinks,Preferred ad hoc utility for human-directed entity extraction using DataModel classes and Generator schema-constrained output.,@repo/tools/EXTERNAL_TOOLS.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L117|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007;@repo/tools/EXTERNAL_TOOLS.md:L150|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0014;@repo/tools/EXTERNAL_TOOLS.md:L229|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019;@repo/tools/EXTERNAL_TOOLS.md:L235|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Preferred extraction path.
synalinks-memory-python-sdk,synalinks-memory-python-sdk,Python client for Synalinks Memory hosted knowledge API; optional query layer over extracted entities.,@repo/tools/EXTERNAL_TOOLS.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L237|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019;@repo/tools/EXTERNAL_TOOLS.md:L243|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,"Derived query layer, not canonical."
zingg,Zingg,Scalable ML-based entity resolution tool that learns blocking and similarity models and clusters records referring to the same real-world entity.,@repo/tools/EXTERNAL_TOOLS.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L40|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L118|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0007;@repo/tools/EXTERNAL_TOOLS.md:L150|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0014;@repo/tools/EXTERNAL_TOOLS.md:L163|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0016;@repo/tools/EXTERNAL_TOOLS.md:L181|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0018;@repo/tools/EXTERNAL_TOOLS.md:L225|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Legacy fuzzy matching utility.
DOMAIN pipeline,DOMAIN pipeline,Single linear path from source documents through an audited structural hypergraph.,@repo/tools/EXTERNAL_TOOLS.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L58|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0004;@repo/tools/EXTERNAL_TOOLS.md:L85|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0004;@repo/tools/EXTERNAL_TOOLS.md:L104|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0006,Pipeline framing.
PIPELINE_DESIGN.md,PIPELINE_DESIGN.md,"Authoritative pipeline specification for registry, namespaces, schemas, confidence levels, validation, execution model, and domain-specific tool configuration.",@repo/tools/EXTERNAL_TOOLS.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0001;@repo/tools/EXTERNAL_TOOLS.md:L48|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003,Authoritative reference.
chirality-domain-test,chirality-domain-test,"Structured, auditable agent framework for domain knowledge curation.",@repo/tools/EXTERNAL_TOOLS.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003,Framework system.
Knowledge Artifacts,Knowledge Artifacts,"Reference.md, Standard.md, Procedure.md, and Guidance.md produced per Knowledge Type.",@repo/tools/EXTERNAL_TOOLS.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L30|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003,Artifact family.
structural hypergraph,structural hypergraph,Terminal data artifact of the DOMAIN pipeline representing workspace organization and n-ary relationships.,@repo/tools/EXTERNAL_TOOLS.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L128|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0009,Hypergraph artifact.
PDF2MD (native),PDF2MD; native PDF2MD,Native PDF-to-Markdown pipeline agent for Step 0.,@repo/tools/EXTERNAL_TOOLS.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0002;@repo/tools/EXTERNAL_TOOLS.md:L34|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0003;@repo/tools/EXTERNAL_TOOLS.md:L91|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0005;@repo/tools/EXTERNAL_TOOLS.md:L98|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0005;@repo/tools/EXTERNAL_TOOLS.md:L195|domains/chirality/_Decomposition/source_review_html/SRC-TOOLS-EXTERNAL-TOOLS.html#SEC-TL002-0019,Native Step 0 path.
