RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-010-02-001,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0010,Scope decision SOW-0010 — Controls system design and integration (WBS 03),GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-010-02 implements SOW-0010: the package datasheet is a mandatory EPC anchor deliverable under the workbook-defined Controls system design and integration package for WBS 03.,GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,SCOPE_LEDGER.csv row SOW-0010 — PKG-010 / DEL-010-02_package-datasheet,"Controls system design and integration as a distinct flat project package for WBS 03.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0010 is the parent scope decision node for PKG-010 per Gate 7 SCOPE_LEDGER.csv. Confirmed in DELIVERABLE_REGISTER.csv DEL-010-02_package-datasheet row.
v3.1,DEP-010-02-002,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-002,Project Objective OBJ-002 — 03-25 compressor station and liquids hub scope,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-002 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-002 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-003,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-003,Project Objective OBJ-003 — Commercial stream disposition and facility boundary interfaces,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-003 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-003 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-004,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,Project Objective OBJ-005 — Electrical power basis and integration,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-005 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-005 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-005,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-006,Project Objective OBJ-006 — Controls instrumentation communications and shutdown integration,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-006 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-006 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-006,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-007,Project Objective OBJ-007 — Shared utilities and ancillary support systems,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-007 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-007 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-007,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-009,Project Objective OBJ-009 — Safety relief flare shutdown environmental and regulatory requirements,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-009 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-009 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-008,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,Project Objective OBJ-010 — Operability maintainability vendor documentation commissioning and handoff,GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-010-02 traces to OBJ-010 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv row DEL-010-02_package-datasheet — OBJ column,"OBJ-002; OBJ-003; OBJ-005; OBJ-006; OBJ-007; OBJ-009; OBJ-010",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-010 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-010-02_package-datasheet.
v3.1,DEP-010-02-009,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-010,DEL-010-01_scope-of-work,,Scope of Work,GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,The Package Datasheet requires the package identity scope tagged equipment and integration narrative established by the Scope of Work as the basis for its technical content.,Datasheet.md,Datasheet.md — Identification and Attributes sections,"Package ID, WBS/workbook row, discipline, responsible party, deliverable ID, Gate 7 snapshot reference.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet.md Identification table explicitly references _CONTEXT.md and Gate 7 DELIVERABLE_REGISTER.csv which are also the basis for DEL-010-01 Scope of Work. Package identity and scope narrative are established by the Scope of Work and consumed here.
v3.1,DEP-010-02-010,PKG-010,DEL-010-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,"3-25 Comp and Liquids DBM — SEC-13 Control System Basis",/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Sources/DBM-Comp_and_Liquids/3-25_Comp_and_Liquids_DBM.md,The Package Datasheet requires the DBM SEC-13 control system basis (BPCS platform RIO platform communication protocols network topology and package interface definition) as its controls architecture input.,Datasheet.md,Datasheet.md — Attributes section (rows 5-8) and Construction section (Controls data basis row),"BPCS provides centralized monitoring/control; compression unit controls are standalone Unit Control Systems.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet.md Attributes rows cite DBM SEC-13 explicitly as source for BPCS platform RIO platform communication protocols and network topology.
