ConstraintID,Kind,Parties,Provenance,Statement,Notes
C-01,CO_LANDING,"DEL-03-05, DEL-07-01","DECLARED — DEL-03-05: ""Lands with the first ingest (DEL-07-01, P3) so ingest is never live without its safety invariant""; DL-14",DEL-07-01 may not be accepted/live without DEL-03-05; simultaneity permitted,Was blocking edge E-A19; R1-F9/R3-F2: precedence encoding over-strengthened the text
C-02,CO_OBLIGATION,"DEL-04-03, DEL-06-05","DECLARED — DEL-06-05: ""The exclusion is two-sided: the presence-store guard lands here; the citation-production side is asserted in DEL-04-03's tests (declared dependency edge, DL-14)""",One PEC-K-05/C4 enforcement obligation split across two write scopes; direction not declared,Was edge E-A05. R1-F1/R3-F7: a P1 test cannot assert exclusion of a tier first existing at P3 — DEL-04-03 carries a P3-reopened acceptance obligation. PHASE_TENSION; owner ruling requested
C-03,PACKAGE_LEVEL,DEL-01-01 ⇐ all PKG-03/04/05 members,"DECLARED — DEL-01-01 envelope note: ""the schema every derivation package depends on""; derivation set per §2.4/OI-012",Every PKG-03/04/05 deliverable depends on DEL-01-01 directly or transitively,Deliverable-level entry edges (E-P10..13) are PROPOSAL; validator proves transitive closure 13/13
C-04,PHASE_PRECEDENCE,pre-P1 < P1 < P2 < P3 < P4,"PhaseHint metadata (DL-3/DL-13b: sequencing metadata, not authority)",Release-strategy ordering; hard-vs-soft classification is a Phase 1.3 owner ruling,Not materialized as pairwise edges; flagged exceptions: E-P69 E-N02 C-02
C-05,PRE_P1_OBLIGATION,"DEL-00-01, DEL-00-03, DEL-10-01","DECLARED — SOW-058 ""before P1 begins""; DEL-00-03 ""seeded before P1""; DEL-00-01 pre-P1",All three complete before any P1 node starts,E-A27/E-A28 carry the two ID-named baseline targets as edges
C-06,UNRESOLVED_CONSUMERS,DEL-00-03,"DECLARED publish/consume (DL-12, DL-14) without named consumers",The v2 SPEC seed has declared dependants; the accepted text names none at deliverable level,R1-F6: deliberate no-edge record; consumers resolvable at WORKING_ITEMS activation or by owner ruling
C-07,DEFERRED_CONSUMPTION,DEL-08-05 → PKG-09 views,"DECLARED — DEL-08-05: ""P2/P3 dashboards poll; live subscription arrives with the P4 streams tranche""",No P2/P3 edge by declaration; P4 SSE consumption recorded as deferred,R1-F12: deliberate exclusion record
C-08,STANDING_NODES,"DEL-01-05, DEL-03-04, DEL-10-02, DEL-10-03, DEL-10-10","Own text: ""Automated assertion"" / ""Permanent"" / ""Runs at every release"" / ""tested property"" / ""standing validation""",Standing obligations: excluded from one-shot COMPLETE/UNBLOCKED arithmetic; they gate releases not successors,R3-F9; owner confirmation requested. DEL-10-10 is the bootstrap progression record itself
C-09,DELIBERATE_EXCLUSION,DEL-10-05 ↔ DEL-10-12,"SOW-060 note ""(limb 2: SOW-085)""; DEL-10-05 ""Split from poll adoption (DEL-10-12)""",Co-arming/provenance cross-link not a dependency; no edge,R1-F14
C-10,STRATUM_RULE,register-wide,Fan-in ruling 2026-07-25,DECLARED = both endpoints ID-named with a dependency-bearing verb (consumes/renders/tests/measures/sourced-from/lands-with/grounded-in/stated-in/baselines); DERIVED = unique non-ID resolution; PROPOSAL = heuristic. All strata require owner acceptance; strata are provenance not authority,R1-F3/R1-F14/R2-F1: one rule applied register-wide
