DependencyID,Consumer,Target,RequiredMaturity,DAG010Status,SelectedActivation,ConsumedBySelectedSlice,EvidenceClass,CandidateDisposition,RequiredAct,OwningInstrument
TP-DAG-004-DEL-04-04-E006,DEL-04-04,DEL-04-03,SEMANTIC_READY,PENDING,F,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify linear_supports re-exports and product retained-spring boundary with current-head focused tests; no producer rebuild","DEL-04-04 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
TP-DAG-004-DEL-04-04-E007,DEL-04-04,DEL-04-01,SEMANTIC_READY,PENDING,F,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify frame_kernel Cargo binding and assemble/reduce/solve consumption with current-head focused tests; preserve broader mechanics holds","DEL-04-04 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
TP-DAG-004-DEL-04-04-E008,DEL-04-04,DEL-04-06,SEMANTIC_READY,PENDING,F,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify existing NonConvergence and TolerancePolicyTbd envelope with current-head focused tests; add no vocabulary or threshold","DEL-04-04 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
TP-DAG-004-DEL-04-04-E009,DEL-04-04,DEL-02-02,SEMANTIC_READY,PENDING,F,YES,NARROW_INTERNAL_SI_CURRENT_BUT_FORMAL_HOLD,PRESERVE_PENDING_UNLESS_EXISTING_FINDING_RESOLVED_OR_OWNER_EXCEPTION,"Resolve PKG04-DEL0404-PKG02-001 with independent dimensional/conversion suitability basis and human disposition; or explicitly except only the internal-SI repair slice","DEL-04-04 Review_Findings.csv and _REVIEW.md; Owner Step 1 exception if selected"
DAG-002-E0478,DEL-07-01,DEL-02-01,SEMANTIC_READY,TBD,U-A,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify PreviewModel/EditorOperationIntent and common-engine sinks against current source and focused tests","DEL-07-01 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
DAG-002-E0479,DEL-07-01,DEL-02-02,SEMANTIC_READY,TBD,U-A,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify loadUnitCatalog/describeUnitBasis/dimension checks and Rust validation; change no unit producer","DEL-07-01 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
DAG-002-E0480,DEL-07-01,DEL-02-05,SEMANTIC_READY,TBD,U-A,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify create/open/save epoch-history guards and projectService/Tauri prepare_document node-only save/reopen path","DEL-07-01 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
DAG-002-E0481,DEL-07-01,DEL-03-02,SEMANTIC_READY,TBD,U-A,YES,CURRENT_CONSUMED_INTERFACE,CANDIDATE_SATISFIED_IF_FACTUAL_REVIEW_PASSES,"Verify existing material plus inline OD/wall/unit/y_reference/provenance fields; do not infer shared section_ref","DEL-07-01 dependency-currency disposition; Owner acceptance; successor DAG/pointer only after authorization"
DAG-002-E0482,DEL-07-01,DEL-03-03,SEMANTIC_READY,TBD,U-A,NO,ACCEPTED_BOUNDED_COMPONENT_INTEGRATION_AVAILABLE,REVIEW_EXISTING_EVIDENCE_OR_PRESERVE_TBD_UNDER_EXPLICIT_EXCEPTION,"Assess accepted bend/elbow routing evidence and N7 bounded acceptance; do not implement target residuals for straight authoring","DEL-07-01 dependency-currency disposition; Owner acceptance or exact Step 1 exception"
DAG-002-E0483,DEL-07-01,DEL-03-04,SEMANTIC_READY,TBD,U-A,NO,ACCEPTED_BOUNDED_COMPONENT_INTEGRATION_AVAILABLE,REVIEW_EXISTING_EVIDENCE_OR_PRESERVE_TBD_UNDER_EXPLICIT_EXCEPTION,"Assess accepted branch routing evidence and N7 bounded acceptance; do not implement target residuals for straight authoring","DEL-07-01 dependency-currency disposition; Owner acceptance or exact Step 1 exception"
DAG-002-E0484,DEL-07-01,DEL-03-05,SEMANTIC_READY,TBD,U-A,NO,ACCEPTED_BOUNDED_COMPONENT_INTEGRATION_AVAILABLE,REVIEW_EXISTING_EVIDENCE_OR_PRESERVE_TBD_UNDER_EXPLICIT_EXCEPTION,"Assess accepted rigid-component routing evidence and N7 bounded acceptance; do not implement target residuals for straight authoring","DEL-07-01 dependency-currency disposition; Owner acceptance or exact Step 1 exception"
DAG-002-E0485,DEL-07-01,DEL-03-06,SEMANTIC_READY,TBD,U-A,NO,ACCEPTED_BOUNDED_COMPONENT_INTEGRATION_AVAILABLE,REVIEW_EXISTING_EVIDENCE_OR_PRESERVE_TBD_UNDER_EXPLICIT_EXCEPTION,"Assess accepted expansion-joint routing evidence and N7 bounded acceptance; do not implement target residuals for straight authoring","DEL-07-01 dependency-currency disposition; Owner acceptance or exact Step 1 exception"
DAG-002-E0486,DEL-07-02,DEL-02-01,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify typed inspector entity identity/field groups and same-service Apply route using current source plus accepted N7 evidence","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DAG-002-E0487,DEL-07-02,DEL-02-05,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify inspector Apply uses guarded project persistence without corrupting durable state; focused save/reopen tests","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DAG-002-E0488,DEL-07-02,DEL-03-02,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify existing pipe-section/material fields in PropertyInspector and typed-inspector tests","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DEP-007-02-004,DEL-07-02,DEL-02-02,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify unit-aware inspector display/edit validation through existing catalog and dimension contracts","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DEP-007-02-005,DEL-07-02,DEL-03-01,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify material provenance/private-public fields exposed by the selected inspector flow","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DEP-007-02-006,DEL-07-02,DEL-06-01,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify rule-pack reference and missing-data visibility remain truthful in the selected inspector flow","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DEP-007-02-007,DEL-07-02,DEL-06-04,SEMANTIC_READY,TBD,U-A,YES,R23_TARGET_PASS_CONSUMER_REVIEW_UNRESOLVED,CANDIDATE_SATISFIED_IF_EXACT_CONSUMER_GATE_IS_DISPOSITIONED,"Verify rule-pack checksum source and private/public status fields remain truthful in the selected inspector flow","R23 EDGE_DISPOSITIONS consumer gate plus this dependency-currency candidate; human row acceptance; successor DAG/pointer only after authorization"
DAG-004-E0499,DEL-07-05,DEL-05-03,SEMANTIC_READY,TBD,NO,NO,NOT_SELECTED,PRESERVE_TBD_NOT_ACTIVATED,"No act for U-A; revalidate only if U-B is later selected","DAG-010 and DEL-07-05 Dependencies.csv unchanged"
DAG-004-E0500,DEL-07-05,DEL-05-04,SEMANTIC_READY,TBD,NO,NO,NOT_SELECTED,PRESERVE_TBD_NOT_ACTIVATED,"No act for U-A; revalidate only if U-B is later selected","DAG-010 and DEL-07-05 Dependencies.csv unchanged"
DAG-004-E0501,DEL-07-05,DEL-04-06,SEMANTIC_READY,TBD,NO,NO,NOT_SELECTED,PRESERVE_TBD_NOT_ACTIVATED,"No act for U-A; revalidate only if U-B is later selected","DAG-010 and DEL-07-05 Dependencies.csv unchanged"
DAG-002-E0532,DEL-09-01,DEL-04-01,SEMANTIC_READY,TBD,M,NO,R23_TARGET_PASS_CONSUMER_INTEGRATION_NOT_ESTABLISHED,PRESERVE_TBD_INDEPENDENT_REFERENCE_ONLY,"Keep oracle derivation independent of DEL-04-01 output/constants; prove fixture-to-adapter-to-consumer integration separately after freeze","DEL-09-01 dependency finding and successor dependency instrument; no promotion by reference work"
DAG-002-E0533,DEL-09-01,DEL-04-02,SEMANTIC_READY,TBD,M,NO,R23_TARGET_PASS_CONSUMER_INTEGRATION_NOT_ESTABLISHED,PRESERVE_TBD_INDEPENDENT_REFERENCE_ONLY,"Keep oracle derivation independent of DEL-04-02 output/constants; prove fixture-to-adapter-to-consumer integration separately after freeze","DEL-09-01 dependency finding and successor dependency instrument; no promotion by reference work"
TP-DAG-004-DEL-09-01-E001,DEL-09-01,DEL-02-02,SEMANTIC_READY,TBD,M,NO,EXPLICIT_UNIT_AUTHORITY_HOLD,PRESERVE_TBD_HUMAN_HOLD,"Use fixture-local SI m/N/rad/Pa only; preserve canonical conversion/PDU013-PDU060 authority and PKG09-0901-PKG02-001 human disposition","DEL-09-01 Review_Findings.csv and _REVIEW.md"
DAG-002-E0772,DEL-13-04,DEL-02-01,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DEV-001-PKG13-DEL1304-DEL0205,DEL-13-04,DEL-02-05,SEMANTIC_READY,TBD,NO,NO,NOT_SELECTED,PRESERVE_TBD_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0773,DEL-13-04,DEL-13-01,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0774,DEL-13-04,DEL-13-02,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0775,DEL-13-04,DEL-13-03,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0776,DEL-13-04,DEL-04-01,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0777,DEL-13-04,DEL-04-03,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
DAG-002-E0778,DEL-13-04,DEL-05-01,SEMANTIC_READY,PENDING,NO,NO,NOT_SELECTED,PRESERVE_PENDING_NOT_ACTIVATED,"No act for U-A; revalidate only if B bridge implementation is later selected","DAG-010 and DEL-13-04 Dependencies.csv unchanged"
