RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEL-17-09-A001,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-17,,DEL-17-09,Export adapter SDK and additional targets,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 implements the decomposition node for the export adapter SDK and additional targets deliverable.,Datasheet.md,Identification,"Deliverable ID | DEL-17-09",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Parent anchor validated against SOFTWARE_DECOMP.md DEL-17-09 row.
v3.1,DEL-17-09-A002,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-030,SOW-030,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 traces to SOW-030 for public APIs plugins and import/export adapters.,_CONTEXT.md,Scope Coverage,"SOW-030",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Scope item appears in local context and decomposition scope ledger.
v3.1,DEL-17-09-A003,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-074,SOW-074,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 traces to SOW-074 for schema-compliant handoff packages and target mapping metadata.,_CONTEXT.md,Scope Coverage,"SOW-074",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Scope item appears in local context and decomposition scope ledger.
v3.1,DEL-17-09-A004,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-075,SOW-075,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 traces to SOW-075 for external-prover workflow metadata boundaries.,_CONTEXT.md,Scope Coverage,"SOW-075",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Scope item appears in local context and decomposition scope ledger.
v3.1,DEL-17-09-A005,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-009,OBJ-009,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 supports OBJ-009 for interoperability and extensibility while preserving governance boundaries.,_CONTEXT.md,Objective Support,"OBJ-009",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Objective appears in local context and decomposition objective table.
v3.1,DEL-17-09-A006,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-017,OBJ-017,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 supports OBJ-017 for traceable handoff packages and professional-validation workflow boundaries.,_CONTEXT.md,Objective Support,"OBJ-017",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Objective appears in local context and decomposition objective table.
v3.1,DEL-17-09-A007,PKG-17,DEL-17-09,Export adapter SDK and additional targets,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-018,OBJ-018,execution/_Decomposition/SOFTWARE_DECOMP.md,DEL-17-09 supports OBJ-018 for professional and IP boundary preservation across export workflows.,_CONTEXT.md,Objective Support,"OBJ-018",EXPLICIT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HIGH,EXTRACTED,2026-05-18,2026-05-18,ACTIVE,FACT: Objective appears in local context and decomposition objective table.
v3.1,DEL-17-09-E001,PKG-17,DEL-17-09,Export adapter SDK and additional targets,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-17,DEL-17-02,,Export package profile and stable ID map contracts,location TBD,DEL-17-09 consumes DEL-17-02 as the common export package profile stable-ID manifest and loss-report contract.,_DEPENDENCIES.md,Declared Upstream Dependencies,"DEL-17-02",EXPLICIT,INITIALIZED,TBD,TBD,HIGH,DECLARED,2026-05-18,2026-05-18,ACTIVE,FACT: Declared upstream edge preserved; Specification.md REQ-001 also states this dependency.
v3.1,DEL-17-09-E002,PKG-17,DEL-17-09,Export adapter SDK and additional targets,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DELIVERABLE,PKG-02,DEL-02-04,,Plugin and extension domain contracts,location TBD,DEL-17-09 depends on plugin and extension domain contracts for no-bypass adapter boundary obligations.,_DEPENDENCIES.md,Declared Upstream Dependencies,"DEL-02-04",EXPLICIT,INITIALIZED,TBD,TBD,HIGH,DECLARED,2026-05-18,2026-05-18,ACTIVE,FACT: Declared upstream edge preserved; Guidance.md cites no-bypass controls from docs/SPEC.md section 4.5.
v3.1,DEL-17-09-E003,PKG-17,DEL-17-09,Export adapter SDK and additional targets,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DELIVERABLE,PKG-10,DEL-10-01,,Public API and plugin boundary,location TBD,DEL-17-09 depends on public API and plugin boundary decisions for runtime grants sandboxing and public API promises.,_DEPENDENCIES.md,Declared Upstream Dependencies,"DEL-10-01",EXPLICIT,INITIALIZED,TBD,TBD,HIGH,DECLARED,2026-05-18,2026-05-18,ACTIVE,FACT: Declared upstream edge preserved; Specification.md REQ-008 keeps runtime grant mechanics TBD.
