RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-082-06-001,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,PACKAGE,PKG-082,,PKG-082,Flare KO Drum (Low Pressure) 3-25,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,DEL-082-06 implements the parent package node PKG-082 (Flare KO Drum Low Pressure 3-25).,Datasheet.md,Datasheet.md > Identification table,ParentPackageID: PKG-082,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Parent package confirmed in GATE-07 PACKAGE_REGISTER.csv row for PKG-082.
v3.1,DEP-082-06-002,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0079,SOW-0079 — Carry LP Flare KO Drum package as flat project package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-082-06 covers scope item SOW-0079 per deliverable register and Datasheet.,Datasheet.md,Datasheet.md > Identification table > Covers Scope Items,Covers Scope Items: SOW-0079; SOW-0080; SOW-0081; SOW-0082,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0079 confirmed in GATE-07 SCOPE_LEDGER.csv and DELIVERABLE_REGISTER.csv.
v3.1,DEP-082-06-003,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0080,SOW-0080 — Basic scope: supply LP flare KO drum and transfer pump,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-082-06 covers scope item SOW-0080 per deliverable register and Datasheet.,Datasheet.md,Datasheet.md > Identification table > Covers Scope Items,Covers Scope Items: SOW-0079; SOW-0080; SOW-0081; SOW-0082,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0080 confirmed in GATE-07 SCOPE_LEDGER.csv and DELIVERABLE_REGISTER.csv.
v3.1,DEP-082-06-004,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0081,SOW-0081 — Major included equipment: V-3900-2 and P-3900-2,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-082-06 covers scope item SOW-0081 per deliverable register and Datasheet.,Datasheet.md,Datasheet.md > Identification table > Covers Scope Items,Covers Scope Items: SOW-0079; SOW-0080; SOW-0081; SOW-0082,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0081 confirmed in GATE-07 SCOPE_LEDGER.csv and DELIVERABLE_REGISTER.csv.
v3.1,DEP-082-06-005,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0082,SOW-0082 — Scope notes and open items: LP flare stack boundary and blowdown valve details,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-082-06 covers scope item SOW-0082 per deliverable register and Datasheet.,Datasheet.md,Datasheet.md > Identification table > Covers Scope Items,Covers Scope Items: SOW-0079; SOW-0080; SOW-0081; SOW-0082,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0082 confirmed in GATE-07 SCOPE_LEDGER.csv and DELIVERABLE_REGISTER.csv.
v3.1,DEP-082-06-006,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-082,DEL-082-01_scope-of-work,,Scope of Work (DEL-082-01),location TBD,DEL-082-01 (Scope of Work) must be issued and accessible before review work can proceed.,Procedure.md,Procedure.md > Prerequisites,DEL-082-01 (Scope of Work) issued and accessible.,EXPLICIT,ISSUED,ISSUED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites section.
v3.1,DEP-082-06-007,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-082,DEL-082-02_package-datasheet,,Package Datasheet (DEL-082-02),location TBD,DEL-082-02 (Package Datasheet) must be issued and accessible before review work can proceed.,Procedure.md,Procedure.md > Prerequisites,DEL-082-02 (Package Datasheet) issued and accessible.,EXPLICIT,ISSUED,ISSUED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites section. Also required by Specification REQ-082-06-03 and REQ-082-06-05.
v3.1,DEP-082-06-008,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-082,DEL-082-03_construction-work-package,,Construction Work Package (DEL-082-03),location TBD,DEL-082-03 (Construction Work Package) must be issued and accessible before review work can proceed.,Procedure.md,Procedure.md > Prerequisites,DEL-082-03 (Construction Work Package) issued and accessible.,EXPLICIT,ISSUED,ISSUED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites section. Also required by Specification REQ-082-06-04.
v3.1,DEP-082-06-009,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-082,DEL-082-04_vendor-engineered-equipment-package,,Vendor Engineered Equipment Package (DEL-082-04),location TBD,DEL-082-04 (Vendor Engineered Equipment Package) must be received from Package Vendor before review can proceed.,Procedure.md,Procedure.md > Prerequisites,DEL-082-04 (Vendor Engineered Equipment Package) received from Package Vendor.,EXPLICIT,ISSUED,ISSUED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Explicit prerequisite stated in Procedure.md Prerequisites section.
v3.1,DEP-082-06-010,PKG-082,DEL-082-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,HANDOVER,DELIVERABLE,PKG-082,DEL-082-05_vendor-document-turnover-package,,Vendor Document Turnover Package (DEL-082-05),location TBD,DEL-082-05 must be received and is the primary subject reviewed in the vendor document review log; every document in DEL-082-05 is enumerated in Step 2 of the procedure.,Procedure.md,Procedure.md > Prerequisites and Step 2,DEL-082-05 (Vendor Document Turnover Package) received from Package Vendor.,EXPLICIT,ISSUED,ISSUED,PENDING,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Explicit prerequisite and Step 2 states review log lists every document in DEL-082-05. Also required by Specification REQ-082-06-01 and REQ-082-06-07.
