IssueID,Status,Severity,Surface,Issue,RequiredDisposition,Recommendation
OI-001,AWAITING_GATE_1,MAJOR,source code admission,"Live code (~330 files across core/apps/tests/tools/validation, 3 languages) admitted as FIVE grouped atomized source units (one per top-level code folder) per operator direction; each file is one section in the grouped pack.",Operator confirms code is AtomizeInV1=YES as 5 grouped units (COMPONENT_MAP provenance).,Code-comment lines are indented in pack markdown so they are never misparsed as Markdown headings -> one section per code file; .md components keep structure.
OI-002,AWAITING_GATE_1,MAJOR,process logs + deliverable meta docs,"Process logs (TASK_RUN_*=913, RUN_SUMMARY, Decision_Log, Brief, _REVIEW, QA_Report) and deliverable meta docs (_SEMANTIC/_SEMANTIC_LENSING/_CONTEXT/_DEPENDENCIES/_REFERENCES/_STATUS/MEMORY) excluded entirely (not indexed) per operator direction.",Human confirms process provenance + deliverable meta are out of the V1 corpus.,Leave excluded; they remain in the live repo and can be admitted in a future scope-change cycle.
OI-003,AWAITING_GATE_1,MAJOR,execution deliverable admission,"Each deliverable admits its four canonical knowledge-type docs by basename suffix (Datasheet/Specification/Guidance/Procedure) -> 101 source units, 404 component files. Non-KT files not admitted.",Operator confirms deliverable admission (4 KT docs/deliverable) + per-deliverable grouping.,404 deliverable component files admitted across 101 units.
OI-004,AWAITING_GATE_1,MAJOR,execution governance scope,"Execution governance restricted to _Decomposition/ + _ScopeChange/ (9 docs -> 5 grouped units). _DAG, _Aggregation, _Evaluation, _Reconciliation, _Coordination, _Change excluded as process provenance per operator direction.",Operator confirms only _Decomposition + _ScopeChange carry decomposable knowledge.,"REVIEW_HANDOFF_TO_NEXT_INSTANCE.md removed per the NEXT_INSTANCE/NEXT_SESSION exclusion rule (inter-session coordination, not knowledge)."
OI-005,AWAITING_GATE_1,MINOR,schemas + fixtures disposition,"schemas/*.{yaml,json} (36) + api contract + docs/MANIFEST.json admitted INDEX-ONLY (38 files); fixtures/ test data excluded entirely.","Operator confirms schemas are retrieval-visible but not atomized, fixtures excluded.",Schemas atomize poorly via the heading-based tooling; retrieval catalog still indexes them as domain models.
OI-006,RECORDED,INFO,cross-repo SourceRef,Pack lives in the monorepo (domains/chirality-piping) while sources live in projects/chirality-piping; @repo resolves against the source repo.,No action; recorded for Phase 2.5 catalog build (--repo-root projects/chirality-piping).,Pass --repo-root projects/chirality-piping to build/validate_source_database.py.
OI-007,ACCEPTED_GATE_1,MINOR,Gate 1.5 asset surfaces,Per-kind asset surfaces (equations/figures/tables/images/folios) and the 1.5-P prose-validate prefilter are N/A for this markdown+code corpus (no PDF-extracted assets).,Human accepts that Gate 1.5 reduces to 1.5-S skeleton review only.,Use structure-mode section review HTML only; asset manifests carry no assets.
OI-008,ACCEPTED_STAGE_PHASE_2,MAJOR,Phase 2 staging,158 source units / 5031 sections / 204 dispatch units; operator accepts staged atomization batches.,"Run staged atomization batches after Gate 1 (e.g. docs+root first, then deliverables by PKG, then governance + code units).",Batches of 4-8 dispatch units run in parallel to disjoint per-unit CSV paths.
OI-009,ACCEPTED_GATE_1,INFO,in-scope heuristic,All 5031 admitted sections default in-scope (no book-style front/back-matter detected). Grouped-unit pack-boilerplate headers (## Source Pack) will be trimmed OUT at Gate 1.5-S.,Refine at Gate 1.5-S where the human tags any residual out-of-scope sections.,No front-matter overrides applied at intake; review_15s applies pack-boilerplate trim (R2).
OI-010,RESOLVED_GATE_1,MINOR,INIT.md,"INIT.md is a session-bootstrap launcher (3 lines: read X, adopt WORKING_ITEMS persona) with no headings and no decomposable knowledge.",Resolved: excluded from the V1 corpus.,"Bootstrap launchers are operational, not domain knowledge."
OI-024,OPEN_GATE5_HUMAN_COVERAGE_REVIEW,MAJOR,Section_Coverage_Register.csv; gate5_coverage coverage-review HTML,Gate 5 coverage verification found 1402 in-scope sections with zero IN atoms.,Human must attest zero-coverage sections as scaffold-for-fill/boilerplate or route affected source units back to Phase 2 re-dispatch before Gate 5 closure.,"Review Section_Coverage_Register.csv and the coverage-review HTML surfaces, focusing on cov-empty sections."
OI-025,DEFERRED_PUBLISH_CAVEAT,MINOR,Atomic_Domain_Ledger.csv,509 TBD-scope atoms remain uncategorized (no Category/KTY/Subject); IN decomposition is complete.,Operator rules 509 TBD atoms a documented deferred caveat in the accepted basis.,Disposition deferred to a future scope-change amendment; does not block Gate 6 closure.
