FindingID,Concern,Classification,Severity,Scope,Claim,EvidenceRefs,Status,RecommendedOwner,RerunRequirement
I1-R-01,Selected nonlinear state,NON_CONFORMANCE,HIGH,DEL04-04/04-06;DEL05-03;product recovery,Linear ordinary vector remains separate from converged nonlinear state; minimal zero-gap350N witness and larger fixture reproduced.,COMPARISON.json;results/axial_gap_v2_sparse.json;REPORT.md,REPRODUCED,WORKING_ITEMS PKG04/05,Rerun bothmodes selected state through nodes reactions forces stresses summaries combinations
I1-R-02,Constant interior force signs,NON_CONFORMANCE,HIGH,DEL04-02;DEL05-03,Opposing element end actions directly interpolated; constant350N orNm field becomes zero atmidspan.,COMPARISON.json;EXPECTED_BEFORE_RUN.json,REPRODUCED,WORKING_ITEMS PKG04/05,Constant axial torsion shear plus fixedthermal station sign and stress invariants
I1-R-03,Derived magnitude combination,NON_CONFORMANCE,HIGH,DEL05-02 product integration,Equal opposite signed states sum to zero components but nonzero displacement and reaction magnitudes.,results/opposite_combinations_v2_sparse.json;COMPARISON.json,REPRODUCED,WORKING_ITEMS PKG05,Opposite loads sum; component and derived norm coherence; range semantics retained
I1-R-04,Nonfinite publication,NON_CONFORMANCE,HIGH,product native/headless publication,Finite1e308 axial input emits solved/null numbers; headless export blocks downstream but embedded mechanics remains solved.,COMPARISON.json;results/overflow_sparse.json;results/headless_explicit_overflow.json,REPRODUCED,WORKING_ITEMS PKG04/10,Finite output validation before solved status; preserve downstream typedexport defense
I1-R-05,Distributed product approximation,OBSERVATION,MEDIUM,DEL05-05;DEL04-02 product integration,Lumped nodal loading and endpoint interpolation differ from continuous UDL equilibrium; current integration residual not newformulation authorization.,COMPARISON.json;REPORT.md,REPRODUCED_DOCUMENTED_LIMITATION,HELP_HUMAN then WORKING_ITEMS PKG04/05,Activate existing integration obligation; independent UDL and partialspan equilibrium upon chosen upgrade
I1-R-06,Pressure reference conflict,CONFLICT,HIGH,DEL05-03;DEL04-02 pressure recovery,Freeclosedend interpretation predicts pAi wall tension; actual axial and longitudinal stresses zero while existing handcalc treats pressure as eigenload.,EXPECTED_SUPPLEMENT_BEFORE_RUN.json;results/pressure_sparse.json;REPORT.md,REPRODUCED_BASIS_CONFLICT,HELP_HUMAN Owner physicalbasis then WORKING_ITEMS PKG04/05,Reconcile pressure endcap and reported wallforce convention before repair
I1-R-07,Cross-case source references,NON_CONFORMANCE,MEDIUM,DEL05-03;DEL08-04;DEL14-02,20 alternate-case component source links point defaultcase due IDqualification without embeddedrefs.,SOURCE_REF_CHECK.json;results/invented_nonlinear_sparse.json,REPRODUCED,WORKING_ITEMS PKG05/08,Validate every derived source has intended basis after qualifying IDs
I1-R-08,Run label vs whole identity,OBSERVATION,MEDIUM,DEL14-02;DEL10-05,Raw constant runlabels lack exact model/settings hash; wrapper input/results hashes distinguish evidence. Durablehistory remains unresolved.,COMPARISON.json;results/analysis_run_identity_base.json;REPORT.md,QUALIFIED_INTEGRATION_GAP,WORKING_ITEMS PKG14,Check raw and wrapped identity; changedinputs and settings distinguish reproducible runs
I1-R-09,Native error fixture fallback,UNKNOWN,MEDIUM,desktop previewService,Static catch/fallback may return solvedfixture for unchanged example after nativeerror; editedmodels blocked; no runtimeinjection here.,REPORT.md,STATIC_CONCERN_UNCONFIRMED,WORKING_ITEMS PKG07/10,Inject nativeerror on default and editedmodel; inspect provenance and consumerstatus
I1-R-10,Precision and summary coverage,UNKNOWN,MEDIUM,DEL05-02/03 productpublication,Sixdecimal rounding precedes combinations; firstcase fixedgrid summary not globalcontinuous or allcase envelope; no new precisionpolicy evaluated.,REPORT.md,EXPLICIT_VERIFICATION_GAP,HELP_HUMAN then WORKING_ITEMS PKG05,Independent cancellation/factor bounds and requested summary interpretation
