RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-030-03-001,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,PKG-030,Transformer TXP-8200-1 - STEP DOWN DISTRIBUTION TRANSFORMER - 2.5MVA 13.8kV/600/347V,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,This deliverable is a mandatory Gate 5 EPC anchor deliverable under PKG-030; it implements the construction work package node in the project decomposition.,Datasheet.md,Datasheet.md > Identification table,Parent package PKG-030; workbook ID 30 / row 32; WBS 01,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: PKG-030 confirmed in PACKAGE_REGISTER.csv row 32 of Gate 7 snapshot.
v3.1,DEP-030-03-002,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0031,Scope Item SOW-0031 — Transformer TXP-8200-1 vendor-owned Electrical package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,This deliverable covers scope item SOW-0031 per the Gate 7 decomposition.,_CONTEXT.md,_CONTEXT.md > Covers Scope Items,Covers SOW-0031,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0031 confirmed in SCOPE_LEDGER.csv; deliverables list includes DEL-030-03.
v3.1,DEP-030-03-003,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Provide the 04-25 Deepcut facility scope,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-001 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-001 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-004,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-004,Execute each electrical and mechanical equipment package as a vendor-owned package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-004 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-004 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-005,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-005,Provide and integrate the facility electrical power basis,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-005 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-005 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-006,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-006,Provide and integrate controls instrumentation and communications,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-006 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-006 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-007,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,Provide civil structural site and construction-support scope,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-008 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-008 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-008,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-009,Carry sour-service safety relief flare and regulatory requirements into package scopes,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-009 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-009 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-009,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-010,Maintain operability maintainability commissioning turnover and controlled open-item closure evidence,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_DELIVERABLE_MAP.csv,This deliverable supports objective OBJ-010 per the Gate 7 objective-deliverable map.,_CONTEXT.md,_CONTEXT.md > Supports Objectives,,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-010 confirmed in OBJECTIVE_DELIVERABLE_MAP.csv for DEL-030-03.
v3.1,DEP-030-03-010,PKG-030,DEL-030-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-030,DEL-030-02_package-datasheet,,Package Datasheet,,Accepted Package Datasheet (DEL-030-02) is a prerequisite for field execution of the construction steps planned by this deliverable.,Procedure.md,Procedure.md > Prerequisites,"accepted Package Datasheet (DEL-030-02) … prerequisite for executing the construction steps",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Explicitly stated as field-execution prerequisite in Procedure.md. Note: prerequisite for field execution phase; not required for authoring this deliverable.
