CandidateTerm,Synonyms,Definition,SourceRefs,Notes
agent instruction architecture,,"A coherent engineered system made of agent instruction files, governance documents, and binding contracts.",@repo/docs/thesis/07_se_design_analysis.md:L0007|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0002;@repo/docs/thesis/07_se_design_analysis.md:L0565|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0047,
systems engineering disciplines,SE disciplines,"Disciplines analyzed as architecture, configuration management, verification and validation, safety, requirements, control theory, formal methods, and human factors.",@repo/docs/thesis/07_se_design_analysis.md:L0015|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0002;@repo/docs/thesis/07_se_design_analysis.md:L0526|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0045,
four-pillar philosophical framework,four pillars,"Ontology, epistemology, praxiology, and axiology.",@repo/docs/thesis/07_se_design_analysis.md:L0009|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0002;@repo/docs/thesis/07_se_design_analysis.md:L0546|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
ontology pillar,Ontology,"The commitment to stable, inspectable state.",@repo/docs/thesis/07_se_design_analysis.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0005;@repo/docs/thesis/07_se_design_analysis.md:L0550|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
epistemology pillar,Epistemology,"The commitment to evidence-first, auditable knowledge.",@repo/docs/thesis/07_se_design_analysis.md:L0013|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0002;@repo/docs/thesis/07_se_design_analysis.md:L0551|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
praxiology pillar,Praxiology,"The commitment to bounded, gate-controlled execution.",@repo/docs/thesis/07_se_design_analysis.md:L0141|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0014;@repo/docs/thesis/07_se_design_analysis.md:L0552|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
axiology pillar,Axiology,The commitment to non-delegable professional responsibility.,@repo/docs/thesis/07_se_design_analysis.md:L0080|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0009;@repo/docs/thesis/07_se_design_analysis.md:L0553|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
instruction root,,Release-managed agent operating system distributed with the application.,@repo/docs/thesis/07_se_design_analysis.md:L0027|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004,
working root,,User-controlled filesystem directory where agents read and write project state.,@repo/docs/thesis/07_se_design_analysis.md:L0027|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004,
source truth,authoritative project record,Human-accepted deliverable content structurally isolated from derived output.,@repo/docs/thesis/07_se_design_analysis.md:L0029|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004,
tool roots,,"Designated zones for derived output such as aggregation, estimates, reconciliation, change, and schedule artifacts.",@repo/docs/thesis/07_se_design_analysis.md:L0029|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004,
K-WRITE-1,write-scope enforcement,"Every agent declares write scope in its header block, and no agent may write outside that declared zone.",@repo/docs/thesis/07_se_design_analysis.md:L0029|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004;@repo/docs/thesis/07_se_design_analysis.md:L0184|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0018,
production unit folder,production unit,The atomic unit of work in the Chirality architecture.,@repo/docs/thesis/07_se_design_analysis.md:L0035|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0005;@repo/docs/thesis/07_se_design_analysis.md:L0555|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0046,
interface contracts,agent interfaces,"Identity, dependency, coordination, and brief contracts that define interfaces between agents.",@repo/docs/thesis/07_se_design_analysis.md:L0045|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0006;@repo/docs/thesis/07_se_design_analysis.md:L0528|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0045,
brief contract,INIT-TASK briefs,Structured input for Type 2 agents with validated enumerations.,@repo/docs/thesis/07_se_design_analysis.md:L0052|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0006;@repo/docs/thesis/07_se_design_analysis.md:L0056|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0006,
configuration management,CM,Discipline of establishing and maintaining integrity and traceability of a system's configuration items throughout the lifecycle.,@repo/docs/thesis/07_se_design_analysis.md:L0062|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0007;@repo/docs/thesis/07_se_design_analysis.md:L0530|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0045,
version control as event store,git commit log,The git commit log is an append-only record of state transitions.,@repo/docs/thesis/07_se_design_analysis.md:L0066|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0008;@repo/docs/thesis/07_se_design_analysis.md:L0072|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0008,
content-addressed approval,baseline control mechanism,"Approvals bind to a specific git SHA, and content change after approval voids the approval.",@repo/docs/thesis/07_se_design_analysis.md:L0076|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0009;@repo/docs/thesis/07_se_design_analysis.md:L0078|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0009,
stale items,staleness,Downstream dependent deliverables affected by upstream changes and requiring human triage before being current.,@repo/docs/thesis/07_se_design_analysis.md:L0084|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0010;@repo/docs/thesis/07_se_design_analysis.md:L0086|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0010,
immutable snapshots,append-only snapshot pattern,Task-agent outputs to tool roots are timestamped folders that are never subsequently modified.,@repo/docs/thesis/07_se_design_analysis.md:L0092|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0011;@repo/docs/thesis/07_se_design_analysis.md:L0094|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0011,
verification and validation,V&V,Verification checks conformance to specifications; validation checks fitness relative to stakeholder needs.,@repo/docs/thesis/07_se_design_analysis.md:L0100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0012,
V-model,classic V-model,A decomposition-down and integration-with-verification-up structure.,@repo/docs/thesis/07_se_design_analysis.md:L0104|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0013;@repo/docs/thesis/07_se_design_analysis.md:L0254|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0024,
