AtomicUnitID,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
HBA-RT003-00001,1,CLAUDE.md provides guidance to Claude Code when working with code in this repository.,@repo/CLAUDE.md:L3|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0001,72a53ac909e6,IN,SEC-RT003-0001,UNIT-RT003-0001,,
HBA-RT003-00002,2,Chirality is a filesystem-native agent operating system for deliverable-heavy professional work.,@repo/CLAUDE.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,509d7f21ab0c,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00003,3,The repository contains the private canonical source tree for Chirality.,@repo/CLAUDE.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,8e1ee91deaf1,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00004,4,"The private canonical source tree contains instruction architecture, agent contracts, skills, deterministic tools, domain workspaces, and public-package tooling.",@repo/CLAUDE.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,35146cf3b121,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00005,5,Chirality tooling produces the sanitized public `chirality-app` package.,@repo/CLAUDE.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,89725b6d8fcd,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00006,6,The core Chirality design principle is that the filesystem is the database.,@repo/CLAUDE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,bef1194a5f96,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00007,7,Authoritative project state lives in git-tracked plain files.,@repo/CLAUDE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,3d1d3e3f27a4,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00008,8,Agents propose and humans decide.,@repo/CLAUDE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,58b5cd8a427f,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00009,9,"No agent may certify, approve, sign, or issue work for reliance.",@repo/CLAUDE.md:L9|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0002,a5fe774f1cd5,IN,SEC-RT003-0002,UNIT-RT003-0001,,
HBA-RT003-00010,10,Orientation starts with `INIT.md` as the bootstrap and document map.,@repo/CLAUDE.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,4fda3513a4b8,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00011,11,"`AGENTS.md` is the agent index, matrix, and governance integration rules reference.",@repo/CLAUDE.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,b59f14ac2013,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00012,12,`docs/DIRECTIVE.md` contains the founding philosophy.,@repo/CLAUDE.md:L17|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,3dcb21c63e48,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00013,13,"`docs/SPEC.md` defines physical structures, file formats, and folder layouts.",@repo/CLAUDE.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,736e1c5cb07a,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00014,14,"`docs/TYPES.md` defines stable IDs, enums, and lifecycle states.",@repo/CLAUDE.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,a10c75384c0c,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00015,15,`docs/CONTRACT.md` contains the 21 K-* binding invariants.,@repo/CLAUDE.md:L20|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,853128e53427,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00016,16,`skills/README.md` contains the skill system contract.,@repo/CLAUDE.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,ae2480aaf996,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00017,17,`tools/REGISTRY.md` is the deterministic tool index.,@repo/CLAUDE.md:L22|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0003,f1146dbd82b5,IN,SEC-RT003-0003,UNIT-RT003-0001,,
HBA-RT003-00018,18,Type 0 agents are canonical standards.,@repo/CLAUDE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,a66a6c9fd4c2,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00019,19,Type 1 agents are interactive personas that open in WORKBENCH.,@repo/CLAUDE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,d99170368a6c,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00020,20,Type 2 agents are bounded task shells that open in PIPELINE.,@repo/CLAUDE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,2ca1a287fd65,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00021,21,`TASK` is the canonical Type 2 execution shell.,@repo/CLAUDE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,f7364b1e37af,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00022,22,`TASK` hydrates skills via `TaskSkill: <name>`.,@repo/CLAUDE.md:L26|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,85475a435a76,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00023,23,Skills are method packs for recurring task shapes.,@repo/CLAUDE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,419f71284d93,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00024,24,"A skill is used when role, write scope, and interaction model stay the same but the method changes.",@repo/CLAUDE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,bb87835be4ed,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00025,25,"A new agent should not be created when a skill covers the role, write scope, and interaction model.",@repo/CLAUDE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,ddd1c387d1cb,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00026,26,Skills live under `skills/<name>/`.,@repo/CLAUDE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,97831fea10bb,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00027,27,"Each skill requires `SKILL.md`, `BRIEF_SCHEMA.md`, `TOOL_POLICY.md`, and `QA_CHECKS.md`.",@repo/CLAUDE.md:L28|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,935c4bd76ae1,IN,SEC-RT003-0004,UNIT-RT003-0001,,
HBA-RT003-00028,28,A derivative package is assembled from accepted upstream truth.,@repo/CLAUDE.md:L30|domains/chirality/_Decomposition/source_review_html/SRC-CLAUDE.html#SEC-RT003-0004,cb5ff4325e71,IN,SEC-RT003-0004,UNIT-RT003-0001,,
