EdgeID,ConsumerDeliverableID,TargetDeliverableID,DAGStatus,LocalStatus,Disposition,Confidence,PrimaryEvidence,ContraryEvidence,RepairRoute,ChildAgreement
DAG-002-E0522,DEL-08-01,DEL-02-05,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-02-05 _STATUS.md:16-20; core/project_persistence/service.py:93-170,252-330,464-477; report_generator/src/lib.rs:233-261,536-541","Migration/container residuals remain",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0523,DEL-08-01,DEL-05-03,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-05-03 _STATUS.md:11-16; stress_recovery/src/lib.rs:59-109,327-362,490-540","Rule allowables and professional validation remain outside the slice",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0524,DEL-08-01,DEL-05-04,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-05-04 _STATUS.md:13-17; analysis_status.schema.yaml:94-117,160-195; report_generator/src/lib.rs:23-33,610-625","Future acceptance-runtime negative remains",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0525,DEL-08-01,DEL-06-04,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-06-04 _STATUS.md:17-22; rule_pack_lifecycle/src/lib.rs:204-252,372-449; report_generator/src/lib.rs:284-304,577-597","Adapter/runtime and binary-partition residuals remain",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0526,DEL-08-01,DEL-08-02,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-08-02 _STATUS.md:12-19; audit_manifest/src/lib.rs:245-254,289-368,416-468","Lifecycle remains IN_PROGRESS",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0527,DEL-08-01,DEL-08-03,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-08-03 _STATUS.md:12-17; report_sections/src/lib.rs:259-330,346-388,404-476; report_renderer/src/lib.rs:841-880","Lifecycle remains IN_PROGRESS",ORCHESTRATOR_REFRESH,3/3
DAG-002-E0528,DEL-08-01,DEL-01-04,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-01-04 _STATUS.md:11-15; docs/PROFESSIONAL_BOUNDARY.md:49-58,81-150; report_generator/src/lib.rs:320-350,610-625","Owner-class legal/release/acceptance choices remain",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E003,DEL-10-05,DEL-08-04,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-08-04 _STATUS.md:13-20; commit 723c95b0f; result_envelope_binding.rs:369-383,487-514","export-results consumer is still stubbed",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E004,DEL-10-05,DEL-10-04,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-10-04 _STATUS.md:18-25; core/runner/headless/Cargo.toml:11-17; docs/BUILD_AND_RELEASE.md:20-41,133-170","Hosted/public CI and signing remain gated",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E005,DEL-10-05,DEL-02-02,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-02-02 _STATUS.md:19-24; DEL-10-05 _REVIEW.md:31; headless/src/lib.rs:316-327,413-422","Broader unit policy and normalization validation remain",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E006,DEL-10-05,DEL-02-05,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-02-05 _STATUS.md:14-20; DEL-10-05 _REVIEW.md:34; headless_runner.schema.yaml:417-458",".opsproj and migration residuals remain",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E007,DEL-10-05,DEL-08-02,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-08-02 _STATUS.md:6-19; headless/src/lib.rs:366-379,917-928; result_envelope_binding.rs:464-514","Full report-package assembly is separate",ORCHESTRATOR_REFRESH,3/3
DEP-10-05-E008,DEL-10-05,DEL-04-06,TBD,TBD,SATISFIED_IN_FACT_BUT_STALE,HIGH,"DEL-04-06 _STATUS.md:6-16; solver/diagnostics/src/lib.rs:283-301,544-567; headless/src/lib.rs:394-447","Lifecycle remains IN_PROGRESS",ORCHESTRATOR_REFRESH,3/3
