RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-040-03-001,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,PACKAGE,PKG-040,,PKG-040,600V ELECTRICAL BUILDING (860-1),/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,DEL-040-03 is the mandatory EPC Construction Work Package deliverable within PKG-040; it implements the PKG-040 package node in the decomposition tree.,Datasheet.md,Datasheet.md > Identification table,Parent package PKG-040 — 600V ELECTRICAL BUILDING (860-1),EXPLICIT,ACCEPTED,ACCEPTED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Parent package anchor from DELIVERABLE_REGISTER and Datasheet Identification table.
v3.1,DEP-040-03-002,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0041,SOW-0041 Scope Item,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-040-03 traces to scope item SOW-0041 per the DELIVERABLE_REGISTER and workbook row 42.,Datasheet.md,Datasheet.md > Identification table,Scope item SOW-0041,EXPLICIT,ACCEPTED,ACCEPTED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Scope item traceability from Datasheet Identification table and DELIVERABLE_REGISTER.
v3.1,DEP-040-03-003,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-040,DEL-040-01_scope-of-work,,Scope of Work,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-040_600V-ELECTRICAL-BUILDING-860-1/1_Working/DEL-040-01_scope-of-work_Scope-of-Work,"The Construction Work Package must confirm package identity, scope boundary, and responsibility model against the Scope of Work; CWP-040-001 and CWP-040-004 both reference identity and vendor/EPC scope split that originates in DEL-040-01.",Specification.md,Specification.md > Requirements > CWP-040-001 and CWP-040-004,Verify deliverable ID… against workbook row 42 PACKAGE_REGISTER and DELIVERABLE_REGISTER,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification CWP-040-001/004 requires cross-check against Scope of Work identity and responsibility model.
v3.1,DEP-040-03-004,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-040,DEL-040-02_package-datasheet,,Package Datasheet,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-040_600V-ELECTRICAL-BUILDING-860-1/1_Working/DEL-040-02_package-datasheet_Package-Datasheet,"Procedure Step 8 requires a cross-document consistency check confirming that Datasheet attributes appear in Specification requirements; the Construction Work Package consumes the Package Datasheet technical basis (building type, voltage class, interfaces, grounding, cable, lighting, HVAC, heaters).",Procedure.md,Procedure.md > Steps > Step 8,Confirm that Datasheet attributes appear in Specification requirements where applicable,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Step 8 explicitly requires consistency check against Datasheet.
v3.1,DEP-040-03-005,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-040,DEL-040-04_vendor-engineered-equipment-package,,Vendor Engineered Equipment Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-040_600V-ELECTRICAL-BUILDING-860-1/1_Working/DEL-040-04_vendor-engineered-equipment-package_Vendor-Engineered-Equipment-Package,"CWP-040-013 and Procedure Step 7 require vendor IFC drawings and equipment lists before final equipment ratings and settings can be confirmed in the work package. Specification CWP-040-005 also requires the building module installation to match vendor-supplied IFC drawings.",Specification.md,Specification.md > Requirements > CWP-040-013,"shall not assume final equipment ratings or settings before... vendor IFC drawings for 860-1",EXPLICIT,IFC,IFC,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification explicitly names vendor IFC drawings as a required input gate before finalizing equipment ratings.
v3.1,DEP-040-03-006,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-040,DEL-040-05_vendor-document-turnover-package,,Vendor Document Turnover Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-040_600V-ELECTRICAL-BUILDING-860-1/1_Working/DEL-040-05_vendor-document-turnover-package_Vendor-Document-Turnover-Package,"Procedure Step 7 requires vendor data sheets for 860-1 MCC, transformers, UPS, panelboards, SCR heater control panels, and supporting equipment as inputs to the construction work package. These are produced under the Vendor Document Turnover deliverable.",Procedure.md,Procedure.md > Steps > Step 7,Confirm or list as open: vendor IFC drawings equipment lists vendor data sheets for 860-1 MCC transformers UPS panelboards SCR heater control panels,EXPLICIT,SUBMITTED,SUBMITTED,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Step 7 explicitly names vendor data sheets as required construction inputs.
v3.1,DEP-040-03-007,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,DOCUMENT,,,CIV-235633-5002,Plot Plan CIV-235633-5002,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Sources/DBM-Deepcut/4-25_Deepcut_DBM.md,"CWP-040-011 states the CWP shall NOT treat building coordinates, road geometry, and inter-unit spacing as final until plot plan CIV-235633-5002 is received and reviewed. This is an explicit constraint on construction scope finalization.",Specification.md,Specification.md > Requirements > CWP-040-011,shall NOT treat building coordinates… as final until plot plan CIV-235633-5002 is received and reviewed,EXPLICIT,IFC,TBD,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification CWP-040-011 explicitly blocks finalization of coordinates on receipt of plot plan.
v3.1,DEP-040-03-008,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,EXTERNAL,,,GEOTECH-REPORT,Geotechnical Assessment Report,location TBD,"CWP-040-012 states the CWP shall NOT treat geotechnical or topographical design parameters as final construction criteria until the geotechnical assessment and topographical survey are completed. Bearing capacity, lateral pile design, LPILE curves, dynamic criteria, and pavement design remain TBD.",Specification.md,Specification.md > Requirements > CWP-040-012,NOT treat geotechnical or topographical design parameters as final construction criteria until the geotechnical assessment and topographical survey are completed,EXPLICIT,ACCEPTED,TBD,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification CWP-040-012 explicitly blocks geotechnical/topographical parameters until report is received.
v3.1,DEP-040-03-009,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,EXTERNAL,,,ELEC-STUDIES-040,Electrical Studies (HAC/load/short-circuit/relay/arc-flash/load-flow),location TBD,"CWP-040-013 states the CWP shall not assume final equipment ratings or settings before completion of the required electrical studies: hazardous-area classification, load analysis, short-circuit, relay coordination/arc-flash, and load-flow. These are external prerequisite deliverables not yet assigned a deliverable ID in the decomposition.",Specification.md,Specification.md > Requirements > CWP-040-013,not assume final equipment ratings or settings before completion of the required electrical studies,EXPLICIT,ACCEPTED,TBD,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification CWP-040-013 makes electrical studies a hard gate for finalizing equipment ratings.
v3.1,DEP-040-03-010,PKG-040,DEL-040-03_construction-work-package,Construction Work Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-040,DEL-040-06_epc-vendor-package-review-and-acceptance,,EPC Vendor Package Review and Acceptance,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-040_600V-ELECTRICAL-BUILDING-860-1/1_Working/DEL-040-06_epc-vendor-package-review-and-acceptance_EPC-Vendor-Package-Review-and-Acceptance,"The Specification Verification section states the Construction Work Package is ready for controlled review when identity fields, interface checklist, and responsibility split are complete; this review is performed in DEL-040-06. The CWP is the handover artifact into the vendor acceptance and review process.",Specification.md,Specification.md > Verification,Construction Work Package is ready for controlled review when… identity fields match… all twelve PKG-040 interface facts are carried,EXPLICIT,ACCEPTED,ACCEPTED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Specification Verification section identifies CWP readiness criteria for controlled review executed by DEL-040-06.
