KnowledgeTypeID,Name,ParentCategoryID,Description,IntendedUsers,WhenUsed,CanonicalSchema,SourceBasis,AssignmentBasis,MappedUnitCount,SubjectCount,Status,Notes
KTY-01-01_Epistemic-Warrant,Epistemic Warrant Foundations,CAT-001,"Reusable guidance for claims, evidence, warrant states, epistemic labels, and evidence-over-plausibility reasoning.","Domain authors, reviewers, auditors, and engineers relying on AI-mediated outputs.","Used when a workflow must decide whether a claim is warranted, provisional, uncertain, or inadmissible.",Guidance / Playbook,CAT-001 scope; Chirality framework; epistemic architecture thesis sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,703,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-01-02_Professional-Accountability,Professional Engineering Accountability,CAT-001,"Guidance for responsible charge, regulated practice, public welfare, and human accountability boundaries.","Licensed professionals, reviewers, and operators governing engineering use.","Used when AI-assisted work intersects professional obligations, review authority, or public welfare.",Guidance / Playbook,Professional engineering and APEGA mapping sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,817,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-01-03_Philosophical-Framework,Philosophical Framework,CAT-001,"Reference structure for the ontology, epistemology, praxiology, and axiology used by Chirality.",Domain architects and reviewers tracing the conceptual basis of the system.,Used when explaining the domain's structural theory or interpreting philosophical claims.,Reference,Philosophical framework thesis source and Chirality framework source.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,576,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-01-04_Human-AI-Reliance,Human-AI Reliance Boundaries,CAT-001,"Guidance on where agents can support work and where professional judgment, review, and human reliance remain controlling.","Operators, domain owners, auditors, and professional reviewers.","Used when deciding whether an AI-mediated output can be relied on, escalated, or rejected.",Guidance / Playbook,"Literature review, epistemic architecture, and professional-practice sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,86,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-02-01_Agent-Authority-Model,Agent Authority Model,CAT-002,"Reference model for agent types, roles, epistemic postures, and authority boundaries.","Agent authors, workflow designers, and reviewers.","Used when classifying an agent, interpreting its role, or checking authority boundaries.",Reference,"AGENTS.md, TYPES, HELPS_HUMANS, architecture thesis sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,961,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-02-02_Instruction-Precedence,Instruction Precedence and Invariants,CAT-002,"Governance rules for precedence layers, invariants, and conflict resolution.","Agents, workflow owners, and reviewers.","Used when checking whether instructions are valid, complete, and non-conflicting.",Checklist,Agent instruction architecture and invariant-catalog sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,121,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-02-03_Snapshot-and-Closure-Rules,Snapshot and Closure Rules,CAT-002,"Governance rules for derivative packages, immutable snapshots, handoff state, sequencing, and closure.","Orchestrators, decomposers, auditors, and publishers.",Used at phase boundaries and when a derivative package consumes accepted truth.,Checklist,AGENTS.md governance integration rules and DECOMP_BASE.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,16,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-02-04_Human-Gated-Governance,Human-Gated Governance,CAT-002,Rules that distinguish human approval authority from agent execution and proposal authority.,"Human operators, orchestrators, and auditors.","Used when a workflow reaches a decision, approval, or authority boundary.",Guidance / Playbook,"HELPS_HUMANS, architecture, and implementation thesis sources.",Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,12,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-03-01_Decomposition-Gate-Lifecycle,Decomposition Gate Lifecycle,CAT-003,"Procedure structure for intake, normalization, categories, KTYs, coverage, publication, and phase handoffs.","DOMAIN_DECOMP, PROJECT_DECOMP, SOFTWARE_DECOMP, and auditors.",Used when running or auditing a decomposition phase.,Procedure,DECOMP_BASE and DOMAIN_DECOMP instruction sources.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,1714,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-03-02_Source-Intake-and-Skeletons,Source Intake and Skeletons,CAT-003,"Procedures and structures for source admission, skeletons, dispatch units, and review surfaces.",Domain decomposers and atomization dispatch coordinators.,Used before atomization or when source boundaries change.,Procedure,DOMAIN_DECOMP and build_source_skeleton outputs.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,29,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
KTY-03-03_Atomization-and-Ledger,Atomization and Domain Ledger,CAT-003,"Rules for atom extraction, stable atomic IDs, Domain Ledger rows, ContentHash discipline, and vocabulary seeds.","Atomization workers, decomposers, and ledger validators.","Used when generating, merging, or validating atom ledgers.",Procedure,domain-source-atomize skill and merge_source_atomizations outputs.,Gate 3 category partition plus deterministic keyword/source rules over accepted UnitStatement text.,65,2,ACCEPTED_GATE4,Accepted by GATE4_KTY_20260615T042414Z; PRD/DBM association basis recorded where applicable.
