CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Open Mechanics,,"Public analytical mechanics implemented by the solver: geometry, stiffness, loads, stress recovery, units, reports.",@repo/docs/TYPES.md:L106|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,May be shipped publicly.
Protected Standards Data,,"Code text, tables, figures, code-derived formulas, allowables, SIF/flexibility tables, protected dimensional tables.",@repo/docs/TYPES.md:L107|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Must not be shipped publicly unless explicit redistribution rights exist.
User-Supplied Code Data,,"Values, formulas, allowables, SIFs, flexibility factors, load combinations, and interpretations entered by the user.",@repo/docs/TYPES.md:L108|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,May be stored in private project/rule-pack files.
Mechanics Solve,,"A solved numerical model with displacements, reactions, forces, moments, and mechanical stresses.",@repo/docs/TYPES.md:L109|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Not equivalent to a code check.
Rule-Pack Check,RulePack Check,A user-defined expression/comparison applied to solver outputs.,@repo/docs/TYPES.md:L110|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Not equivalent to professional authentication.
Professional Approval,,Human acceptance for reliance by a competent/responsible professional.,@repo/docs/TYPES.md:L111|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Outside software authority.
Centerline Model,,A 3D line-element representation of the piping centerline and components.,@repo/docs/TYPES.md:L112|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Default global analysis model.
Frame Kernel,FrameKernel,"The code-neutral 3D frame mechanics core that owns DOF ordering, element stiffness, transforms, assembly, boundary-condition reduction, and a bounded solve interface.",@repo/docs/TYPES.md:L113|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008;@repo/docs/TYPES.md:L163|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0010,Consumes unit-checked numeric inputs; does not perform rule checks or professional approval.
Solver Diagnostic,SolverDiagnostics,"A deterministic mechanics-solver finding for singularity, invalid topology/restraints, numeric invalidity, conditioning, nonconvergence, or unresolved solver configuration.",@repo/docs/TYPES.md:L114|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008;@repo/docs/TYPES.md:L167|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0010,"Not a rule-pack result, code-compliance statement, or professional acceptance."
Local FEA Handoff,,A transfer package for local shell/solid analysis.,@repo/docs/TYPES.md:L115|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,"Specialized workflow, not the default global solver."
Plugin Manifest,,"A declared extension metadata record that requests entrypoints, permissions, provenance, privacy posture, checksums, sandbox requirements, and no-bypass constraints.",@repo/docs/TYPES.md:L116|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,A manifest grants nothing by itself.
Extension Point,,"A governed boundary where a plugin or adapter may request to import, export, validate, report, emit diagnostics, or expose user-owned rule-pack metadata.",@repo/docs/TYPES.md:L117|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Exact loader and transport remain TBD.
Domain Surface,,"The model, persistence, unit, analysis-boundary, rule-pack metadata, result, report, or diagnostic surface touched by an extension entrypoint.",@repo/docs/TYPES.md:L118|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Must be declared in the plugin manifest.
No-Bypass Constraint,,"A mandatory control that plugins and adapters must preserve, including units, provenance, privacy, protected-content, diagnostics, hashes, rule sandboxing, reports, solver boundaries, and human acceptance boundaries.",@repo/docs/TYPES.md:L119|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0008,Cannot be waived by plugin code.
RulePack,Rule-Pack,"User-owned schema-governed artifact defining required inputs, declarative formula slots, user-supplied value slots, user-rule check definitions, provenance, redistribution status, diagnostics, checksums, and professional-boundary flags.",@repo/docs/TYPES.md:L173|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0010,Schema defines structure only.
HUMAN_APPROVED_FOR_PROJECT,,A human has recorded project-specific acceptance outside the solver core.,@repo/docs/TYPES.md:L62|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0005;@repo/docs/TYPES.md:L227|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0010,Human record only; not an automatic software status.
MECHANICS_SOLVED,,Numerical mechanics solve completed; solver result only.,@repo/docs/TYPES.md:L57|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0005,Automatic software-emitted status.
RULE_INPUTS_INCOMPLETE,,Mechanics may be solved but rule-pack required values are missing; a rule-pack finding.,@repo/docs/TYPES.md:L58|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0005;@repo/docs/TYPES.md:L176|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0010,Rule-pack readiness status.
HUMAN_REVIEW_REQUIRED,,Result requires competent engineering review before reliance.,@repo/docs/TYPES.md:L61|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-TYPES.html#SEC-PD038-0005,Always true for professional use; automatic status.
