RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-001-04-001,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-0001,Scope decision SOW-0001 — Earthworks for foundations (WBS 01),_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-001-04 implements SOW-0001: carry the workbook-defined Civil package Earthworks for foundations as a distinct flat project package for WBS 01.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv DEL-001-04 row — ScopeItem column,SOW-0001,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: SOW-0001 is the parent scope decision node for PKG-001 and DEL-001-04 per Gate 7 SCOPE_LEDGER.csv and DELIVERABLE_REGISTER.csv.
v3.1,DEP-001-04-002,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-001,Project Objective OBJ-001 — 04-25 Deepcut facility scope,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-001-04 traces to OBJ-001 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv DEL-001-04 row — OBJ column,"OBJ-001; OBJ-008",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-001 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-001-04.
v3.1,DEP-001-04-003,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-008,Project Objective OBJ-008 — Civil/structural/site scope,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/OBJECTIVE_REGISTER.csv,DEL-001-04 traces to OBJ-008 per Gate 7 OBJECTIVE_DELIVERABLE_MAP and DELIVERABLE_REGISTER.,_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,DELIVERABLE_REGISTER.csv DEL-001-04 row — OBJ column,"OBJ-001; OBJ-008",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: OBJ-008 listed as objective trace in DELIVERABLE_REGISTER.csv for DEL-001-04.
v3.1,DEP-001-04-004,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,"Geotechnical assessment report (bearing capacity; lateral pile data; LPILE curves; dynamic design criteria; pavement parameters; geotextile need)",,The production package treats geotechnical parameters as open; work cannot close geotechnical line items until geotechnical assessment report is accepted.,Datasheet.md,Datasheet.md — Conditions — Geotechnical dependency,"Bearing capacity, lateral pile design, LPILE curves, dynamic design criteria, pavement design, pavement layer thicknesses, and geotextile need are TBD pending geotechnical report.",EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet.md Conditions and Specification REQ-005 explicitly identify geotechnical assessment as required external input before closure. TargetLocation TBD — document not yet in _Sources.
v3.1,DEP-001-04-005,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,"Topographical survey and existing grade-surface file",,The production package treats grading drainage and retention-pond design as open; work cannot close topographical line items until grade-surface file is accepted.,Datasheet.md,Datasheet.md — Conditions — Topographical dependency,"Existing ground model, grading, drainage, and retention-pond design are TBD pending survey completion and grade-surface delivery.",EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet.md Conditions and Specification REQ-005 explicitly identify topographical survey/grade-surface as required external input. TargetLocation TBD — document not yet in _Sources.
v3.1,DEP-001-04-006,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,CIV-235633-5002,Plot plan CIV-235633-5002 (final equipment placement and coordinate-level layout),,The production package treats coordinate-level layout road/access geometry spacing verification and drawing conflict checks as TBD pending CIV-235633-5002.,Datasheet.md,Datasheet.md — Conditions — Plot plan dependency,"Final equipment placement, coordinate-level layout, road/access geometry, spacing verification, and drawing conflict checks are TBD pending CIV-235633-5002.",EXPLICIT,INITIALIZED,INITIALIZED,PENDING,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Datasheet Conditions and Guidance explicitly name CIV-235633-5002 as the governing plot plan. TargetLocation TBD — drawing not in _Sources.
v3.1,DEP-001-04-007,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,"Gate 7 decomposition registers (DELIVERABLE_REGISTER.csv; PACKAGE_REGISTER.csv; SCOPE_LEDGER.csv; OBJECTIVE_DELIVERABLE_MAP.csv; INTERFACE_REGISTER.csv)",_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/,The production package confirms package identity deliverable identity and interface flags from Gate 7 decomposition registers per Procedure Steps 1–4.,Procedure.md,Procedure.md — Prerequisites and Steps 1–4,Accepted Gate 7 PROJECT_DECOMP snapshot required for package identity deliverable identity and interface flag confirmation.,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Prerequisites explicitly require accepted Gate 7 snapshot. Satisfied — snapshot accepted per GATE-07_Final_Published_2026-05-24.
v3.1,DEP-001-04-008,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,"Workbook Packages row 2 — 26020-Packages_Interfaces_4_export (WBS 01; CoA 26020-01-42-001; interface flags)",_Sources/26020-Packages_Interfaces_4_export.md,The production package reads package identity WBS CoA tracking number discipline and interface flags from workbook Packages row 2.,Procedure.md,Procedure.md — Step 1 and Step 2,Workbook row 2: WBS 01; CoA tracking number 26020-01-42-001; package name Earthworks for foundations; Civil discipline.,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Steps 1 and 2 explicitly require reading workbook row 2 for package identity and interface flags. Confirmed in _Sources/26020-Packages_Interfaces_4_export.md Packages sheet row 1.
v3.1,DEP-001-04-009,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DOCUMENT,,,,"DBM SEC-11 — 4-25_Deepcut_DBM.md (civil scope; governing standards; grading/drainage; piles/foundations; external dependencies)",_Sources/DBM-Deepcut/4-25_Deepcut_DBM.md,The production package extracts applicable civil basis from DBM SEC-11 for civil scope governing standards grading drainage roads piles/foundations and external dependencies per Procedure Step 5.,Procedure.md,Procedure.md — Step 5,Extract applicable DBM civil basis from SEC-11 including civil scope governing standards geotechnical/topographical assumptions grading and drainage principles roads piles/foundations and external dependencies.,EXPLICIT,INITIALIZED,INITIALIZED,SATISFIED,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Step 5 explicitly names DBM SEC-11 as required civil basis source. Specification REQ-003 through REQ-008 confirm scope of required civil criteria.
v3.1,DEP-001-04-010,PKG-001,DEL-001-04_epc-civil-discipline-production-package,EPC / Civil Discipline Production Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-001,DEL-001-01_scope-of-work,,Scope of Work,PKG-001/1_Working/DEL-001-01_scope-of-work_Scope-of-Work/,The production package consumes the Scope of Work for package identity and civil interface scope basis per DEL-001-01 enabling link and Guidance notes.,Guidance.md,Guidance.md — Principles — Preserve workbook facts; treat Gate 7 registers as accepted decomposition truth,Package identity and interface categories from workbook and Gate 7 confirmed via DEL-001-01 anchor.,EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DEL-001-01 Dependencies.csv DEP-001-01-011 explicitly enables DEL-001-04. Guidance confirms Scope of Work basis drives integration narrative for civil discipline production package.
