SectionID,SourceDoc,SourcePrefix,Path,Depth,Title,LineStart,LineEnd,PageFirst,PageLast,HtmlAnchor,ContentHash,InScope,IsFrontMatter,IsBackMatter,FigureRefs,TableRefs,EquationRefs,AssetIDs,Text
SEC-ED055-0001,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,Source Pack: SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,1,Source Pack: SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,1,8,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0001,45562e45eb2b,False,False,True,,,,,"Grouping: `GROUPED_DELIVERABLE`  RepoGlob: `execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections/`  Source truth remains the original repo component files listed under each component heading. This generated markdown is a DOMAIN_DECOMP review and worker substrate only."
SEC-ED055-0002,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,"Component: execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections/Datasheet.md",2,"Component: execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections/Datasheet.md",9,10,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0002,49dc9aab2483,True,False,False,,,,,
SEC-ED055-0003,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,"Datasheet: DEL-08-06 State, comparison, and handoff report sections",3,"Datasheet: DEL-08-06 State, comparison, and handoff report sections",11,12,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0003,ab968b6fd300,True,False,False,,,,,
SEC-ED055-0004,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,Identification,4,Identification,13,25,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0004,ef7959eba0a3,True,False,False,,,,,"| Field | Value | Source | |---|---|---| | Deliverable ID | DEL-08-06 | `_CONTEXT.md` | | Name | State, comparison, and handoff report sections | `_CONTEXT.md` | | Package ID | PKG-08 | `_CONTEXT.md` | | Package name | Reporting, Audit, and Reproducibility | `_CONTEXT.md`; `execution/_Decomposition/SOFTWARE_DECOMP.md` PKG-08 | | Type | BACKEND_FEATURE_SLICE | `_CONTEXT.md`; `docs/_Registers/Deliverables.csv` row DEL-08-06 | | Scope coverage | SOW-024 | `_CONTEXT.md`; `docs/_Registers/ScopeLedger.csv` row SOW-024 | | Objective support | OBJ-007, OBJ-016, OBJ-017, OBJ-018 | `_CONTEXT.md`; `execution/_Decomposition/SOFTWARE_DECOMP.md` objective map | | Implementation evidence | TBD | No product code was inspected or created in this setup pass. |"
SEC-ED055-0005,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,Attributes,4,Attributes,26,39,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0005,7e242147bf6b,True,False,False,,,,,"| Attribute | Current source-grounded value | Source | |---|---|---| | Deliverable purpose | Implement report sections generated from model states, analysis runs, comparisons, and handoff manifests without implying professional validation. | `_CONTEXT.md`; `docs/_Registers/Deliverables.csv` row DEL-08-06 | | Anticipated artifacts | State/run report sections; comparison report section; handoff manifest report section. | `_CONTEXT.md`; `docs/_Registers/Deliverables.csv` row DEL-08-06 | | Report content basis | Auditable calculation reports include inputs, sources, warnings, assumptions, results, rule-pack checksums, and limitations. | SOW-024 in `_CONTEXT.md`; `docs/_Registers/ScopeLedger.csv`; `docs/SPEC.md` section 9 | | State/run basis | Immutable model states, analysis runs, and deterministic comparisons are first-class product records for design iteration and review. | `execution/_Decomposition/SOFTWARE_DECOMP.md` OBJ-016; rows DEL-14-01 through DEL-14-05 | | Handoff basis | Handoff packages support downstream modeling and professional validation workflows without automatic professional approval states. | `execution/_Decomposition/SOFTWARE_DECOMP.md` OBJ-017; rows DEL-15-01, DEL-15-03, DEL-15-04 | | Professional boundary | Reports are decision support and must not declare code compliance, certification, sealing, approval, authentication, endorsement, or professional reliance. | `docs/CONTRACT.md` OPS-K-AUTH-1; `docs/SPEC.md` section 9 | | IP/data boundary | Public report artifacts must not copy protected standards text, protected tables, proprietary formulas, proprietary engineering values, private project data, private rule-pack payloads, private library content, or real secrets. | `docs/CONTRACT.md` OPS-K-IP-1 and OPS-K-REPORT-2; `docs/SPEC.md` section 9; `docs/IP_AND_DATA_BOUNDARY.md` sections 3 and 7 | | Hash/provenance basis | JSON payload hashes use the accepted JCS-compatible canonical JSON basis where applicable; reports preserve stable references, checksums, source notes, privacy classification, review state, and provenance. | `_CONTEXT.md` Architecture Basis; `docs/SPEC.md` sections 4.4 and 9 | | Upstream dependency mirror | 22 ACTIVE approved DAG-006 rows are present as local evidence. | `Dependencies.csv`; `_DEPENDENCIES.md` |"
SEC-ED055-0006,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,Conditions,4,Conditions,40,50,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0006,9342547f4221,True,False,False,,,,,"| Condition | Value | Source | |---|---|---| | Lifecycle state at four-doc pass start | OPEN | `_STATUS.md` | | Context envelope | M | `_CONTEXT.md`; `docs/_Registers/ContextBudgetQA.csv` row DEL-08-06 | | Package exclusion | PKG-08 does not authenticate or certify engineering work. | `_CONTEXT.md`; `execution/_Decomposition/SOFTWARE_DECOMP.md` PKG-08 | | Public/private content posture | Private rule packs, material libraries, component libraries, owner requirements, project values, and private templates remain user-controlled unless intentionally exported or contributed with documented rights. | `docs/IP_AND_DATA_BOUNDARY.md` sections 6 and 7 | | Missing engineering values | Missing solve-required or rule-check-required values remain explicit findings, not defaults. | `docs/CONTRACT.md` OPS-K-DATA-2; `docs/SPEC.md` sections 4.3 and 9 | | Runtime/code locations | TBD | No deliverable-specific implementation files are defined by the accessible sources. |"
SEC-ED055-0007,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,Construction,4,Construction,51,60,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0007,d9120b3b014d,True,False,False,,,,,"| Construct | Description | Source | |---|---|---| | State/run report sections | Report-facing sections that reference immutable model states and analysis runs, including hashes, warnings, assumptions, diagnostics, source notes, and relevant result/report payload references. | `_CONTEXT.md`; `docs/SPEC.md` section 9; `Dependencies.csv` rows DAG-002-E0861 and DAG-002-E0862 | | Comparison report section | Report-facing section for deterministic model-state and/or analysis-run comparison records using stable IDs, mappings where required, units, diagnostics, and tolerance/profile references when available. | `execution/_Decomposition/SOFTWARE_DECOMP.md` SOW-073; `Dependencies.csv` rows DAG-002-E0863 through DAG-002-E0865 | | Handoff manifest report section | Report-facing section that references handoff package manifest data, units, entity IDs, library/rule references, unresolved assumptions, warnings, target mapping metadata, unsupported-target flags, and external-prover boundary metadata when available. | `execution/_Decomposition/SOFTWARE_DECOMP.md` SOW-074 and SOW-075; `Dependencies.csv` rows DAG-002-E0866 through DAG-002-E0868 | | Integration surface | ASSUMPTION: this deliverable consumes report generator, audit manifest, report-section, result export, protected-content linter, redaction/export, state/run/comparison, and handoff records through schema-first service boundaries. | `Dependencies.csv`; `_CONTEXT.md` Architecture Basis; exact API names are TBD. | | Test surface | TBD: expected tests should verify section assembly, boundary wording, protected-content avoidance, provenance/checksum preservation, unit metadata handling, and missing-data reporting. | `execution/_Decomposition/SOFTWARE_DECOMP.md` AB-00-08; concrete test paths are TBD. |"
SEC-ED055-0008,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,References,4,References,61,75,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0008,ae655b1739ae,True,False,False,,,,,"- `_CONTEXT.md` - deliverable identity, scope, objectives, architecture-basis injection, and package boundaries. - `_REFERENCES.md` - accessible governing reference list for this folder. - `_DEPENDENCIES.md` and `Dependencies.csv` - approved DAG-006 local mirror and evidence surface. - `execution/_Decomposition/SOFTWARE_DECOMP.md` - accepted revision 0.7 package, deliverable, objective, scope, and architecture-basis entries. - `docs/_Registers/Deliverables.csv` - row DEL-08-06. - `docs/_Registers/ScopeLedger.csv` - row SOW-024 and related source rows SOW-071 through SOW-075. - `docs/_Registers/ContextBudgetQA.csv` - row DEL-08-06. - `docs/CONTRACT.md` - invariants for IP/data, professional authority, reports, units, rules, and agents. - `docs/SPEC.md` - section 4.3 analysis boundary, section 4.4 persistence/hash basis, and section 9 reporting and audit. - `docs/DIRECTIVE.md` - founding intent, non-negotiable product principles, scope, and stop rules. - `docs/IP_AND_DATA_BOUNDARY.md` - public/private data and report boundary policy. - `docs/TYPES.md` - schema/object registry entries for report, report section, result export, audit manifest, checksum, states/runs, comparisons, and handoff-related references."
SEC-ED055-0009,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,"Component: execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections/Guidance.md",2,"Component: execution/PKG-08_Reporting, Audit, and Reproducibility/1_Working/DEL-08-06_State, comparison, and handoff report sections/Guidance.md",76,77,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0009,811c44abc47c,True,False,False,,,,,
SEC-ED055-0010,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS,ED055,"Guidance: DEL-08-06 State, comparison, and handoff report sections",3,"Guidance: DEL-08-06 State, comparison, and handoff report sections",78,79,,,SRC-DEL-DEL-08-06-STATE-COMPARISON-AND-HANDOFF-REPORT-SECTIONS.html#SEC-ED055-0010,45b90fd9d05e,True,False,False,,,,,
