AtomicUnitID,SourceDoc,SourcePrefix,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes,CategoryID,CategoryAssignmentStatus,CategoryAssignmentMethod,CategoryAssignmentConfidence,CategoryCandidateIDs,CategoryAssignmentRationale,KnowledgeTypeIDs,SubjectIDs,DecisionRef,OpenIssue,PrimaryKnowledgeTypeID,PrimarySubjectID,AssociatedCategoryIDs,AssociatedKnowledgeTypeIDs,AssociatedSubjectIDs,CrossCategoryAssociationRationale,Gate4AssignmentStatus,Gate4AssignmentMethod,Gate4AssignmentConfidence,Gate4CandidateSubjectIDs,Gate4AssignmentRationale
HBA-DG027-00001,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,1,The amendment purpose is to extend Chirality App so it can safely orchestrate deterministic domain engines without becoming those engines.,@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L8|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0001,9aa2703ec7bf,IN,SEC-DG027-0001,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=0; matched=domain engine,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,HIGH,SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=10; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00002,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,2,The amendment adds a Domain Engine Integration capability to Chirality App.,@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L14|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,852ebb1c97b5,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=0; matched=domain engine,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,HIGH,SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=10; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00003,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,3,"Chirality remains a local-first desktop harness for governed agents, deliverables, filesystem-native project state, lifecycle records, dependency registers, deterministic tools, and human review.",@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,95bd37188bdf,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,LOW,CAT-010:7;CAT-009:6;CAT-004:3;CAT-006:3,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=7; second_score=6; matched=integration,project,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,TRUE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,MEDIUM,SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-01_Chirality-Piping:2;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=6; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-01_Chirality-Piping:2;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00004,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,4,"Chirality does not become a domain-specific engineering application, solver, CAD tool, stress-analysis engine, or professional prover.",@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L16|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,d86d23f2238f,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-001,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,LOW,CAT-001:6;CAT-010:5;CAT-002:2,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=6; second_score=5; matched=professional,engineer,engineering.",KTY-01-02_Professional-Accountability;KTY-07-01_DBM-Publication-Planning,SUB-01-02-01_Responsible-Charge;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,TRUE,KTY-01-02_Professional-Accountability,SUB-01-02-01_Responsible-Charge,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,MEDIUM,SUB-01-02-01_Responsible-Charge:4;SUB-01-01-01_Warrant-and-Evidence-Basis:1,Assigned by KEYWORD_SOURCE_RULES; score=4; candidates=SUB-01-02-01_Responsible-Charge:4;SUB-01-01-01_Warrant-and-Evidence-Basis:1.
HBA-DG027-00005,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,5,"The reusable integration pattern separates Chirality App, Domain Engine, and Human Operator roles.",@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,817c988c13f6,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=0; matched=domain engine,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,HIGH,SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=10; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00006,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,6,A Domain Engine is deterministic specialist software that owns its domain model and computation.,@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L25|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,e8320b4806ac,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10;CAT-002:2,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=2; matched=domain engine,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,HIGH,SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=10; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:10;SUB-10-02-02_Operation-Proposals:6;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00007,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,7,"For OpenPipeStress, Chirality orchestrates, documents, summarizes, reconciles, and governs.",@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L34|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,df2a198912c0,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=0; matched=openpipestress,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,MEDIUM,SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=6; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00008,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,8,"OpenPipeStress owns the piping model, GUI, solver, model states, analysis runs, comparisons, and handoff packages.",@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,c1e47de5b313,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10;CAT-009:3,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=3; matched=openpipestress,integration,source-default.",KTY-10-04_Chirality-Piping-and-OpenPipeStress;KTY-07-01_DBM-Publication-Planning,SUB-10-04-02_OpenPipeStress-Integration;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-04_Chirality-Piping-and-OpenPipeStress,SUB-10-04-02_OpenPipeStress-Integration,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,HIGH,SUB-10-04-02_OpenPipeStress-Integration:10;SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-01_Chirality-Piping:2,Assigned by KEYWORD_SOURCE_RULES; score=10; candidates=SUB-10-04-02_OpenPipeStress-Integration:10;SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-01_Chirality-Piping:2.
HBA-DG027-00009,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,9,An external professional stress tool validates OpenPipeStress work for reliance.,@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L36|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,345d743fb88c,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10;CAT-001:5;CAT-006:2,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=5; matched=openpipestress,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,MEDIUM,SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=6; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1.
HBA-DG027-00010,SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION,DG027,10,The responsible engineer accepts OpenPipeStress work.,@repo/docs/thesis/bigger-picture/CHIRALITY_PRD_Amendment_Domain_Engine_Integration.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-BIGGER-PICTURE-CHIRALITY-PRD-AMENDMENT-DOMAIN-ENGINE-INTEGRATION.html#SEC-DG027-0002,51bd24d1fc2b,IN,SEC-DG027-0002,UNIT-DG027-0001,,,CAT-010,PROPOSED_GATE3,SOURCE_DEFAULT_PLUS_KEYWORD_RULES,HIGH,CAT-010:10;CAT-001:2,"Assigned by SOURCE_DEFAULT_PLUS_KEYWORD_RULES; top_score=10; second_score=2; matched=openpipestress,integration,source-default.",KTY-10-02_Domain-Engine-Integration;KTY-07-01_DBM-Publication-Planning,SUB-10-02-01_Profiles-and-Protected-Paths;SUB-07-01-03_PRD-Requirements-Package,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL;GATE4_KTY_ACCEPTANCE,FALSE,KTY-10-02_Domain-Engine-Integration,SUB-10-02-01_Profiles-and-Protected-Paths,CAT-007,KTY-07-01_DBM-Publication-Planning,SUB-07-01-03_PRD-Requirements-Package,Human-directed Gate 4 refinement: PRD requirements-document material remains associated with its primary current category while also associating with CAT-007 DBM/publication-synthesis as the software/product analogue of a design basis memorandum.,ACCEPTED_GATE4,KEYWORD_SOURCE_RULES,MEDIUM,SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1,Assigned by KEYWORD_SOURCE_RULES; score=6; candidates=SUB-10-02-01_Profiles-and-Protected-Paths:6;SUB-10-02-02_Operation-Proposals:6;SUB-10-04-02_OpenPipeStress-Integration:2;SUB-10-01-01_Domains-and-Projects:1.
