NodeID,Action,DecisionClass,Owner,Dependencies,WriteScope,Notices,Gate,CanParallelize,ClosureProof
OD7-M1,Backfill D-GOV-27 EffectiveSHA and receipt/manifest,MECHANICAL,Root HELPS_HUMANS plus CHANGE,NONE,"D-GOV-27 header; one Root receipt; one tranche manifest","Pin survey governs; no notice inferred",Exact closeout candidate,YES,"EffectiveSHA equals verified PR-355 merge; validation and diff checks pass"
OD7-M2,Record D-APP-75 effective-state addendum and register correction,MECHANICAL,App decision-record owner plus CHANGE,NONE,"New D-APP-75 addendum; App decision register",NONE,Exact closeout candidate,YES,"Merge ancestry verified; hold bytes and no-repin posture unchanged"
OD7-M3,Backfill D-30 publication SHA,MECHANICAL,Piping decision-record owner plus CHANGE,NONE,"D-30 ruling header or additive closeout per live convention",NONE,Exact closeout candidate,YES,"Publication SHA re-derived; historical ruling substance unchanged"
OD7-M4,Correct Piping decomposition _LATEST revision to 0.9,MECHANICAL,Piping decomposition pointer owner plus CHANGE,NONE,"Piping _Decomposition/_LATEST.md",NONE,Exact closeout candidate,YES,"Pointer path resolves and revision equals accepted working-surface revision"
OD7-C1,Issue additive correction to false D-GOV-26 detector statement and record App disposition,COORDINATION_ONLY,Root notice issuer and App receiver,NONE,"New Root corrective notice/receipt; App response","Root to App delivery; acknowledgment tracked",Bounded coordination closeout,YES,"False statement explicitly withdrawn without corpus redesign"
OD7-C2,Deliver immediate D-30 mismatch and Root-ownership context notice to Piping,COORDINATION_ONLY,App or Root initiator and Piping receiver,NONE,"New Piping coordination notice; delivery record","Delivery required; acknowledgment tracked not gating",Bounded coordination closeout,YES,"Notice states validator failure no-repin no-successor and non-client status"
OD7-O1,Select Root successor workplan or explicit idle posture and refresh pointer/handoff,OWNER_DECISION,Owner plus HELPS_HUMANS,NONE,"Successor Root workplan; CURRENT_WORKPLAN; Root handoff; receipt",Only if selected workplan triggers one,Owner exact direction,YES,"Pointer targets owner-selected live posture and current handoff names accepted basis"
OD7-R1,Refresh stale Root responsibility and closed C-2/C-3/C-4 trace claims,MECHANICAL,Root RECONCILIATION or WORKING_ITEMS plus CHANGE,OD7-M1,"34 Root ScopeOfWork files; 45 Root _CONTEXT tails; three contracts overlap the 34","NONE",Population manifest and exact diff approval,YES,"Deterministic stale set cleared; 46 assignments unchanged; other TBD uses untouched"
OD7-A1,Record D-GOV-28 receiving disposition in SCA-APP-005,COORDINATION_ONLY,App SCOPE_CHANGE,Accepted App SCA basis,"SCA-APP-005 decision log and handoff","Disposition routed to Root",Normal SCA gate,YES,"Disposition visible without treating notice as authority"
OD7-O2,Rule a Tier-0 successor residual for D-T0-23,OWNER_DECISION,Tier-0 owner,NONE,"New Tier-0 decision and register row; receipts/index derivatives","Route to PEC Root and App",Exact owner ruling,YES,"Every D-T0-23 clause classified surviving retired-product-only or superseded"
OD7-O3,Choose interim pec.yaml profile posture,OWNER_DECISION,Tier-0 owner plus DOMAIN_ENGINE,OD7-O2,"PEC profile; index; validation; live pins; decision/receipts","PEC mandatory; App and Root if affected",DOMAIN_ENGINE Gate 2 and CHANGE,YES,"Machine posture matches retired-prototype status; no v2 grant inferred"
OD7-O4,Stage three-question Tier-0 packet for event feed auth reuse and event-contract home/transport,OWNER_DECISION,Tier-0 owner,OD7-O2,"Tier-0 packet/register; later Root DEL-02-06 and PEC SCA only if selected","Route to Root PEC App and affected clients",Exact owner choices,YES,"Each seam separately ruled or explicitly deferred with trigger and owner"
OD7-O5,Classify PEC-K-03/K-11 as PEC interface requirements or accepted external obligations,OWNER_DECISION,Owner across PEC Root and App,OD7-O4,"Initially PEC coordination/open item; later owning instruments only if selected","PEC to Root and App; acknowledgment tracked",Exact owner choice,NO,"No external authority assigned by PEC alone; optionality preserved"
OD7-O6,Retire or supersede RB-PEC-ADAPTER consumer-evidence row,OWNER_DECISION,App owner,OD7-A1;OD7-O2,"App reliance register and validation; App-to-PEC notice","Exact row disposition to PEC",App exact maintenance gate,NO,"No retired prototype claim remains current; no v2 enforcement invented"
OD7-D1,Complete OD-6 D-APP-48/49 audit and owner disposition,OWNER_DECISION,App and Root owners,Accepted App SCA boundary,"OD-6 evidence and separately ruled App/Root records","Exact result to Piping and affected consumers",OD-6 owner gate,YES,"Current-location audit and consumer identity accepted; no provenance invention"
OD7-O7,Rule Piping D-30/D-31 successor disposition,OWNER_DECISION,Piping owner,OD7-C2;OD7-D1,"New Piping decision and register row","Disposition routed to App Root Tier 0",Exact owner ruling,NO,"App-era path explicitly retired or replaced by accepted current mechanism"
OD7-S1,Reconcile DEC-063 current truth through Piping SCOPE_CHANGE,OWNER_DECISION,Piping SCOPE_CHANGE,OD7-O7,"New Piping SCA; accepted decomposition and affected derivatives","Outcome to App Root Tier 0",All SCOPE_CHANGE gates,NO,"Forward decision row reconciles current effect while historical IDs and acts remain intact"
