RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-066-04-001,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,PACKAGE,PKG-066,,PKG-066,"Tanks, Condendate (API 650) 4-25",,This deliverable implements the vendor-package production unit node within PKG-066 as defined in the GATE-07 decomposition.,Datasheet.md,Datasheet.md § Identification / ParentPackageID,ParentPackageID PKG-066,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Decomposition register row DEL-066-04 confirms PKG-066 parentage.
v3.1,DEP-066-04-002,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0205,SOW-0205,,This deliverable covers scope item SOW-0205 as declared in _CONTEXT.md and confirmed in DELIVERABLE_REGISTER.csv.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,SOW-0205,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DELIVERABLE_REGISTER.csv row DEL-066-04 lists SOW-0205.
v3.1,DEP-066-04-003,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0206,SOW-0206,,This deliverable covers scope item SOW-0206.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,SOW-0206,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DELIVERABLE_REGISTER.csv row DEL-066-04 lists SOW-0206.
v3.1,DEP-066-04-004,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0207,SOW-0207,,This deliverable covers scope item SOW-0207.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,SOW-0207,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DELIVERABLE_REGISTER.csv row DEL-066-04 lists SOW-0207.
v3.1,DEP-066-04-005,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0208,SOW-0208,,This deliverable covers scope item SOW-0208.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,SOW-0208,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: DELIVERABLE_REGISTER.csv row DEL-066-04 lists SOW-0208.
v3.1,DEP-066-04-006,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-066,DEL-066-01_scope-of-work,,Scope of Work,,Vendor requires receipt of DEL-066-01 (EPC Scope of Work) from the EPC Integrator before commencing engineering and design.,Procedure.md,Procedure.md § Prerequisites,Receipt of DEL-066-01 (EPC Scope of Work) from the EPC Integrator.,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Prerequisites section lists this as an explicit prerequisite for vendor kick-off.
v3.1,DEP-066-04-007,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-066,DEL-066-02_package-datasheet,,Package Datasheet,,Vendor requires receipt of DEL-066-02 (EPC Package Datasheet) including resolution of CONFLICT C-01 / C-02 / C-03 before proceeding with engineering.,Procedure.md,Procedure.md § Prerequisites,"Receipt of DEL-066-02 (EPC Package Datasheet), including resolution of CONFLICT C-01, CONFLICT C-02, and CONFLICT C-03.",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure prerequisites and Step 4.3 explicitly require receipt and acceptance of DEL-066-02 before fabrication release.
v3.1,DEP-066-04-008,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-066,DEL-066-03_construction-work-package,,Construction Work Package,,Vendor must align nozzle interfaces and final certified documentation set with the Construction Work Package (DEL-066-03) to support installation.,Procedure.md,Procedure.md § Purpose; Step 8.2,"align with the Construction Work Package (DEL-066-03) for installation, then submit documents",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Guidance Purpose and Procedure Step 8.2 state alignment with DEL-066-03 is required for installation support.
v3.1,DEP-066-04-009,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-066,DEL-066-05_vendor-document-turnover-package,,Vendor Document Turnover Package,,Vendor data and documentation produced under this package are delivered into DEL-066-05 (Vendor Document Turnover Package).,Specification.md,Specification.md § Requirements R-25,"Vendor data shall be delivered into DEL-066-05 (Vendor Document Turnover Package)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: R-25 explicitly directs vendor documentation output into DEL-066-05.
v3.1,DEP-066-04-010,PKG-066,DEL-066-04_vendor-engineered-equipment-package,Vendor Engineered Equipment Package,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-066,DEL-066-06_epc-vendor-package-review-and-acceptance,,EPC Vendor Package Review and Acceptance,,The physical equipment package and vendor documentation produced here are subject to EPC integration review under DEL-066-06; vendor responds to EPC comments.,Procedure.md,Procedure.md § Step 8.1,Support EPC Integrator review of integration (DEL-066-06): vendor responds to EPC comments and updates documents.,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-25,2026-05-25,ACTIVE,FACT: Procedure Step 8.1 explicitly names DEL-066-06 as the integration review deliverable that consumes vendor output.
