event_id,wave,package,deliverable,stage,category,subtype,scope_kind,affected_units,substantive_impact,detected_by,outcome,evidence_path,evidence_needle,evidence_sha256,evidence_line
APP-E001,A1,APP-PKG-00,DEL-00-02,author,BRIEF_OR_INPUT,noncanonical_package_id,child,1,NONE,tool_guard,failed_closed_then_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG00/CHECKS.md,schema guard rejected it before output,6ec86b0788b7d5c3889a78dd30a12f0e8c8afdc5fa16056f9f1713e69329f8aa,49
APP-E002,A1,APP-PKG-00,,package_checks,PROJECT_CHECK_SUBSTRATE,missing_local_server,package,1,NONE,registered_check,rerun_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG00/CHECKS.md,failed immediately with zero tests,6ec86b0788b7d5c3889a78dd30a12f0e8c8afdc5fa16056f9f1713e69329f8aa,53
APP-E003,A1,APP-PKG-01,DEL-01-02,author,EVIDENCE_PORTABILITY,generated_checkout_literal,child,1,EVIDENCE_ONLY,manager_fan_in,reversible_repair,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG01/CHECKS.md,authorized one exact three-occurrence,a85f152d6f7d05b35c325163877e4d6875daace8d2367e8b941145e0732bfd60,45
APP-E004,A1,APP-PKG-01,,package_checks,EVIDENCE_PORTABILITY,generated_check_paths,package,2,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG01/CHECKS.md,normalized after tool completion,a85f152d6f7d05b35c325163877e4d6875daace8d2367e8b941145e0732bfd60,54
APP-E005,A1,APP-PKG-01,,reconciliation,EVIDENCE_PORTABILITY,incomplete_first_normalization,package,2,EVIDENCE_ONLY,reconciliation,repaired_and_reconciled,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG01/CHECKS.md,RECON-A1-F later identified one generated workspace_root still present,a85f152d6f7d05b35c325163877e4d6875daace8d2367e8b941145e0732bfd60,56
APP-E006,A1,APP-PKG-02,DEL-02-03,verifier,BRIEF_OR_INPUT,failed_seed_inputs,child,1,NONE,tool_guard,failed_closed_then_passed,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG02/COORDINATION_NOTICE-001.md,Attempt 0 failed closed before execution,571c98d2f3034bc32e7637908ce03782915886a9bd4424b9947d85ed535cd787,10
APP-E007,A1,APP-PKG-02,,package_checks,EVIDENCE_PORTABILITY,generated_check_paths,package,2,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG02/CHECKS.md,authorizes exactly 27 checkout-root,a5f8ba4d127eaa44b92139e0db4cd9e2fca6d6db0826d4a9eac730c76f32b533,43
APP-E008,A1,APP-PKG-03,DEL-03-01,author,EVIDENCE_TERMINALIZATION,manifest_digest_cells_empty,child,1,EVIDENCE_ONLY,manager_fan_in,repaired_and_rebound,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG03/CHECKS.md,empty digest/byte cells,cef60b0742b141918fe603c2dd1ee154daaa9212dfc727f1195cb497af400ae4,44
APP-E009,A1,APP-PKG-03,DEL-03-02,author,EVIDENCE_PORTABILITY,generated_local_prefixes,package,2,EVIDENCE_ONLY,manager_fan_in,reversible_normalization,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG03/CHECKS.md,had generated local,cef60b0742b141918fe603c2dd1ee154daaa9212dfc727f1195cb497af400ae4,48
APP-E010,A1,APP-PKG-03,DEL-03-02,author,EVIDENCE_TERMINALIZATION,run_record_pending,child,1,EVIDENCE_ONLY,manager_fan_in,manager_resume_finalized,execution/_Coordination/AgentRuns/SOW-STAGE2-EXEC-20260712-01/instances/WORKING-A1-PKG03/CHECKS.md,run record was then normally finalized,cef60b0742b141918fe603c2dd1ee154daaa9212dfc727f1195cb497af400ae4,51
