CandidateTerm,Synonyms,Definition,SourceRefs,Notes
result envelope,result envelopes,Structured wrapper returned for nontrivial outputs and required for job/validation outputs at the boundary.,@repo/docs/architecture/plugin_boundary.md:L20|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L22|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
command,commands,Boundary type for mutating operations.,@repo/docs/architecture/plugin_boundary.md:L20|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
query,queries,Boundary type for read-only operations.,@repo/docs/architecture/plugin_boundary.md:L20|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
job,jobs,"Boundary type for long-running solve, export, and report work.",@repo/docs/architecture/plugin_boundary.md:L20|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
export profile,export profiles,"Identifies target-family metadata, validation posture, no-bypass controls, and unresolved TBD decisions.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L26|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
stable ID map,stable ID maps,Preserves canonical model identity when a target cannot carry canonical IDs directly.,@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
loss report,loss reports,"Records exported, omitted, approximated, unsupported, or delegated behavior to expose target limitations.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L27|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
external-run evidence,,"Optional, user-owned, hash/provenance-bound evidence for regression or handoff review.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L28|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
stress-neutral export,stress-neutral CSV/JSON exports,"Export preserving result status, units, diagnostics, provenance, hashes, and professional-boundary notices without protected rule content.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L29|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
conservative PCF export,,"PCF export using explicit target limitations, stable ID mapping, and loss reporting without hidden translator defaults.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L30|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
GLB/glTF review geometry,review geometry,"Visual review context only; not solver, FEA, validation, or acceptance geometry.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L31|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
export adapter SDK,adapter SDK,"Surfaces exposing manifests, target registries, validation checklists, diagnostics, and no-bypass constraints.",@repo/docs/architecture/plugin_boundary.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L32|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
application-service,"application-service commands, queries, or jobs",Mediating layer through which persistence and boundary effects must be routed.,@repo/docs/architecture/plugin_boundary.md:L21|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L77|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0004,
sandboxed rule-pack evaluator,rule-pack sandboxing,Constrained evaluator that prevents arbitrary code execution through rule packs.,@repo/docs/architecture/plugin_boundary.md:L23|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L75|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0004,
rule pack,rule packs,"Packaged user rules with name/ID, version, checksum, source note, public/private marking, and redistribution status.",@repo/docs/architecture/plugin_boundary.md:L100|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0006,
IP_BOUNDARY_WARNING,,Diagnostic returned when protected or proprietary content is suspected and the payload is blocked or quarantined.,@repo/docs/architecture/plugin_boundary.md:L94|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0005,
analysis_status,,"Software-emitted status value distinct from hash-bound human acceptance records (e.g. MECHANICS_SOLVED, USER_RULE_CHECKED).",@repo/docs/architecture/plugin_boundary.md:L33|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002,
provenance,,Recorded origin/history metadata required on validation outputs and boundary payloads.,@repo/docs/architecture/plugin_boundary.md:L22|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0002;@repo/docs/architecture/plugin_boundary.md:L90|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0005,
canonical JSON/JCS-compatible basis,JCS,Canonicalization basis for hashing JSON payloads.,@repo/docs/architecture/plugin_boundary.md:L98|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0006,
permission,permissions,Denied-by-default concept-level boundary tokens requested by plugin manifest or boundary request.,@repo/docs/architecture/plugin_boundary.md:L38|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0003;@repo/docs/architecture/plugin_boundary.md:L66|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-ARCHITECTURE-PLUGIN-BOUNDARY.html#SEC-PD009-0003,
