CandidateTerm,Synonyms,Definition,SourceRefs,Notes
OpenPipeStress,,A code-neutral engineering workbench organized as five separable layers.,@repo/docs/SPEC.md:L19|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0002,
domain core,Domain Core,The layer that owns mechanics and invariant enforcement.,@repo/docs/SPEC.md:L37|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0002;@repo/docs/SPEC.md:L138|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0007,
adapter,adapters,"A layer that may import/export data but may not bypass unit, provenance, or data-boundary checks.",@repo/docs/SPEC.md:L37|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0002;@repo/docs/SPEC.md:L388|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0012,
model state,immutable model state,A reproducibility and design-iteration record; changes to a state payload create a new model state.,@repo/docs/SPEC.md:L118|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0006;@repo/docs/SPEC.md:L123|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0006,
JCS-compatible canonical JSON,JCS-compatible JSON payload hash basis;canonical JSON/JCS-compatible payload,Accepted canonical JSON basis used for payload hashing.,@repo/docs/SPEC.md:L127|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0006;@repo/docs/SPEC.md:L345|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0011,
SCA-003,,Architecture decision selecting a local SQLite-backed project store/index behind application-service boundaries as the MVP storage substrate.,@repo/docs/SPEC.md:L128|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0006;@repo/docs/SPEC.md:L330|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0011,Decision ID
unit contract,,The domain-core-owned contract requiring explicit unit metadata on physical values crossing boundaries.,@repo/docs/SPEC.md:L138|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0007;@repo/docs/SPEC.md:L143|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0007,
semantic dimension vocabulary,PKG-02 semantic dimension vocabulary,"Accepted shared dimension enum including length, mass, force, pressure, stress, etc.",@repo/docs/SPEC.md:L157|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0007,PKG-02
diagnostic,diagnostics;findings;deterministic findings,An explicit recorded finding for missing/invalid data rather than a silent default.,@repo/docs/SPEC.md:L107|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0005;@repo/docs/SPEC.md:L317|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0010,Recurring framing: never silent defaults
provenance,,"Source attribution metadata required on governed records (source, license, certification, redistribution, review, privacy).",@repo/docs/SPEC.md:L105|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0005;@repo/docs/SPEC.md:L745|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0023,
rule pack,rule packs;RulePack;rule-pack,Private or user-owned design-basis check artifact; public project ships schemas and invented examples only.,@repo/docs/SPEC.md:L83|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0004;@repo/docs/SPEC.md:L581|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0021,
SIF,stress intensification factor;flexibility factor;flexibility-factor,"User-supplied stress-intensification/flexibility input, not a public default.",@repo/docs/SPEC.md:L234|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0009;@repo/docs/SPEC.md:L434|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0016,
frame kernel,frame-kernel,"The first solver slice defining six-DOF node ordering, two-node frame element stiffness, transformation, assembly, and dense solve.",@repo/docs/SPEC.md:L421|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0015,core/solver/frame_kernel
six degrees of freedom,six-DOF;6-DOF,"Per-node DOF set Ux, Uy, Uz, Rx, Ry, Rz.",@repo/docs/SPEC.md:L411|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0014,
active-set method,active set,"Iterative method for nonlinear supports recording active/inactive states, gaps, lift-off, friction, convergence.",@repo/docs/SPEC.md:L460|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0018;@repo/docs/SPEC.md:L462|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0018,
stress recovery,,"Recovery of code-neutral mechanics stress components (axial, bending, torsional shear, pressure membrane) from element force resultants.",@repo/docs/SPEC.md:L556|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0020;@repo/docs/SPEC.md:L568|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-SPEC.html#SEC-PD036-0020,
