AtomicUnitID,SourceDoc,SourcePrefix,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes,CategoryID,CategoryAssignmentStatus,CategoryAssignmentMethod,CategoryAssignmentConfidence,CategoryCandidateIDs,CategoryAssignmentRationale,KnowledgeTypeIDs,SubjectIDs,DecisionRef,OpenIssue,PrimaryKnowledgeTypeID,PrimarySubjectID,Gate4AssignmentStatus,Gate4AssignmentMethod,Gate4AssignmentConfidence,Gate4CandidateSubjectIDs,Gate4AssignmentRationale
HBA-PD037-00001,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,1,"OpenPipeStress treats routine global piping analysis as a 3D centerline/frame problem, and the model has a defined boundary where it stops.",@repo/docs/theory/centerline_analysis.md:L19|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,80e3d0b29bb7,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00002,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,2,"The intent of these notes is educational: to give users and contributors a shared mechanics vocabulary for the model, solver results, rule-pack checks, validation evidence, and local FEA handoff boundary.",@repo/docs/theory/centerline_analysis.md:L21|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,6542a27909c5,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00003,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,3,"This document is not a design-code guide and does not reproduce protected standards text, protected examples, standards tables, material allowables, SIF tables, flexibility-factor tables, copied code formulas, proprietary vendor data, private owner data, or private rule-pack values.",@repo/docs/theory/centerline_analysis.md:L25|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,271aab252a31,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00004,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,4,Mechanics statements in the document are project-derived unless a source is identified in the source notes.,@repo/docs/theory/centerline_analysis.md:L29|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,04655586cac2,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00005,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,5,"Public-source support added for this revision is claim-limited: open mechanics and finite-element sources support general statics, frame, and FEA context, not code-specific piping practice.",@repo/docs/theory/centerline_analysis.md:L30|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,88faed3256be,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00006,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,6,External public sources for the detailed history of classical piping flexibility practice remain TBD.,@repo/docs/theory/centerline_analysis.md:L33|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,05ff49835ec0,TBD,SEC-PD037-0002,UNIT-PD037-0001,,Source notes flag TBD-public-history; persona to rule on historical-source provenance at Gate 2.,,,,,,,,,,,,,,,,,
HBA-PD037-00007,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,7,"OpenPipeStress outputs are software evidence for review; a mechanics solve, user-rule check, report, or agent draft is not professional acceptance for a project-specific piping design.",@repo/docs/theory/centerline_analysis.md:L36|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0002,3fb201f3084b,IN,SEC-PD037-0002,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00008,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,8,"The centerline idea is a practical abstraction: a piping system can be represented by its connected centerline, with components, supports, anchors, loads, and restraints attached to that line.",@repo/docs/theory/centerline_analysis.md:L42|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0003,f3997922894e,IN,SEC-PD037-0003,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00009,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,9,"Instead of making every global study a wall-by-wall continuum model, the global model asks how the connected run moves, what reactions develop, and what force and moment resultants are recovered at engineering stations.",@repo/docs/theory/centerline_analysis.md:L44|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0003,1339484af6be,IN,SEC-PD037-0003,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
HBA-PD037-00010,SRC-DOCS-THEORY-CENTERLINE-ANALYSIS,PD037,10,"Open educational statics sources support the ordinary mechanics vocabulary used here: forces, moments, equilibrium, internal reactions, and internal resultants.",@repo/docs/theory/centerline_analysis.md:L49|domains/chirality-piping/_Decomposition/source_review_html/SRC-DOCS-THEORY-CENTERLINE-ANALYSIS.html#SEC-PD037-0003,10b9118ce3bb,IN,SEC-PD037-0003,UNIT-PD037-0001,,,CAT-019,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-019:1,Assigned by G3BR-002: product doc SRC-DOCS-THEORY-CENTERLINE-ANALYSIS -> CAT-019.,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-19-01_Architecture-and-ADR-Reference,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS:1,Source-routing: doc/content-kind -> KTY-19-01_Architecture-and-ADR-Reference; unit -> SUB-19-01-09_DOCS-THEORY-CENTERLINE-ANALYSIS.
