CandidateTerm,Synonyms,Definition,SourceRefs,Notes
unit contract,unit system contract;core/units contract,"Software contract for unit-aware calculations, schemas, imports, exports, and rule evaluations.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L29|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0005;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Guidance.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0011",
dimensional signature,dimension signature;dimension-signature representation,"Stable identifier or vector supporting equality and compatibility checks across calculations, schemas, imports, exports, rule evaluation, and reports.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Guidance.md:L38|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0015;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L35|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0033",Exact basis TBD
quantity,quantity model;quantity contract,Domain type/schema concept with a numeric magnitude and explicit unit reference unless explicitly dimensionless.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L58|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Procedure.md:L40|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0027",
conversion registry,conversion factor registry;conversion family,Deterministic registry with explicit source/provenance metadata for each conversion family.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L61|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Procedure.md:L48|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0027",
dimensionless classification,unitless field;ratio;percentage;coefficient,"Explicit classification of dimensionless fields, ratios, percentages, coefficients, and unitless-where-unit-required cases.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L62|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L46|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0033",Categories TBD
offset quantity,offset and reference quantity;gauge versus absolute pressure;temperature scale versus interval,"Quantities requiring more than multiplicative scaling, needing explicit semantics.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Guidance.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0016;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L57|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0034",
canonical JSON,JCS-compatible canonical JSON;canonical calculation representation,Canonical JSON/JCS-compatible basis used where unit-bearing JSON payloads are hashed.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0005;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Procedure.md:L56|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0027",
unit diagnostic,structured diagnostic;result envelope,"Structured diagnostic for unit mismatch, unknown unit, ambiguous offset/absolute quantity, missing unit, and unitless-where-unit-required cases.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L63|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L41|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0033",Code names TBD
JSON Schema 2020-12,,"Baseline for public schemas and interchange definitions for quantities, units, dimensions, and unit-bearing fields.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0005;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L40|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0033",
dimensional algebra,dimension exponent rules;operation rules,Operation rules where addition/subtraction/comparison reject incompatible dimensions and multiplication/division/exponent produce derived dimensions.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Datasheet.md:L58|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0007;@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-02_Unit system and dimensional-analysis core contract/Specification.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-02-02-UNIT-SYSTEM-AND-DIMENSIONAL-ANALYSIS-CORE-CONTRACT.html#SEC-ED014-0033",
