AtomicUnitID,SourceDoc,SourcePrefix,LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes,CategoryID,CategoryAssignmentStatus,CategoryAssignmentMethod,CategoryAssignmentConfidence,CategoryCandidateIDs,CategoryAssignmentRationale,KnowledgeTypeIDs,SubjectIDs,DecisionRef,OpenIssue,PrimaryKnowledgeTypeID,PrimarySubjectID,Gate4AssignmentStatus,Gate4AssignmentMethod,Gate4AssignmentConfidence,Gate4CandidateSubjectIDs,Gate4AssignmentRationale
HBA-ED013-00001,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,1,"DEL-02-01 (Canonical domain model schema) is in Package PKG-02 (Domain Model, Units, and Core Schemas) and has deliverable type DATA_MODEL_CHANGE.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L6|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0004",3f6005383d4d,IN,SEC-ED013-0004,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00002,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,2,DEL-02-01 maps to scope item SOW-041 and deliverable objective OBJ-001.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0004",1e39de5964f0,IN,SEC-ED013-0004,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00003,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,3,The primary artifact target for DEL-02-01 is schemas/model.schema.yaml; the secondary artifact target is a docs/TYPES.md update.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0004",df97fce802e5,IN,SEC-ED013-0004,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00004,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,4,The current drafting basis for DEL-02-01 is _CONTEXT.md accepted revision 0.7 and SOFTWARE_DECOMP.md revision 0.7.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L15|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0004",e58b67cbd473,IN,SEC-ED013-0004,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00005,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,5,DEL-02-01 source posture uses public governance/register sources only; no protected standards or code data is introduced.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L16|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0004",c6c4b3b35139,IN,SEC-ED013-0004,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00006,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,6,The schema baseline for DEL-02-01 is JSON Schema 2020-12.,"@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0005",9f3230b3fa8a,IN,SEC-ED013-0005,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00007,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,7,"Canonical object families in scope are Project, Model, Node, Element, Material, Component, Load/LoadCase, Result, and Report.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0005",98455f22b9da,IN,SEC-ED013-0005,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00008,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,8,"Adjacent referenced object families are Section, Support/Restraint, Combination, and RulePack references.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0005",6845ddd8ba7d,IN,SEC-ED013-0005,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00009,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,9,"Required cross-cutting fields are stable identity, units where values are dimensional, and provenance where engineering reliance may be affected.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L25|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0005",6b1468d12d81,IN,SEC-ED013-0005,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
HBA-ED013-00010,SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA,ED013,10,"Result/report records must preserve warnings, assumptions, diagnostics, and provenance, and must make no certification or compliance claims.","@repo/execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema/Datasheet.md:L26|_Decomposition/source_review_html/SRC-DEL-DEL-02-01-CANONICAL-DOMAIN-MODEL-SCHEMA.html#SEC-ED013-0005",83aa6b23ef8a,IN,SEC-ED013-0005,UNIT-ED013-0001,,,CAT-003,PROPOSED_GATE3,SOURCE_ROUTING,HIGH,CAT-003:1,Assigned by G3BR-001: PKG-02 deliverable -> CAT-003.,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,GATE3_CATEGORY_PROPOSAL;GATE4_KTY_PROPOSAL,FALSE,KTY-03-01_Datasheet-Reference,SUB-03-01-01_DEL-02-01,ACCEPTED_GATE4,SOURCE_ROUTING,HIGH,SUB-03-01-01_DEL-02-01:1,Source-routing: doc/content-kind -> KTY-03-01_Datasheet-Reference; unit -> SUB-03-01-01_DEL-02-01.
