RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEL-097-06-A001,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,PACKAGE,PKG-097,,SOW-0201,Tanks Condendate (API 650) 3-25 — PKG-097 parent package node,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv,This deliverable implements the PKG-097 parent package node for the Tanks Condensate (API 650) 3-25 package as the EPC Vendor Package Review and Acceptance deliverable.,Datasheet.md,Datasheet.md > Identification table > ParentPackageID,"ParentPackageID: PKG-097; PackageName: Tanks, Condensate (API 650) 3-25",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: ParentPackageID=PKG-097 explicit in Datasheet identification table and confirmed in DELIVERABLE_REGISTER.csv DEL-097-06 row. Decomposition resolved at GATE-07_Final_Published_2026-05-24/DELIVERABLE_REGISTER.csv.
v3.1,DEL-097-06-A002,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,SOW-0201,"Scope ledger node: Carry PKG-097 as vendor-responsible Mechanical package, EPC integrates",/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-097-06 traces to SOW-0201: carry the workbook-defined vendor-responsible Mechanical package PKG-097 as a distinct flat project package.,Datasheet.md,Datasheet.md > References > Decomposition snapshot GATE-07 / DELIVERABLE_REGISTER.csv row DEL-097-06,"SOW-0201; SOW-0202; SOW-0203; SOW-0204 from DELIVERABLE_REGISTER.csv DEL-097-06 row",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Scope ledger IDs SOW-0201–SOW-0204 appear in DELIVERABLE_REGISTER.csv DEL-097-06 row Requirements column.
v3.1,DEL-097-06-A003,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,SOW-0202,"Scope ledger node: Basic scope — supply four 3800 bbl Condensate Product Storage Tanks",/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-097-06 traces to SOW-0202: basic scope for four 3800 bbl C5+ Condensate Product Storage Tanks.,Datasheet.md,Datasheet.md > Attributes > acceptance target package,"Four (4) × 3,800 bbl Condensate Product Storage Tanks per 26020-Package_Requirements.docx heading 49 Basic Scope",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0202 in DELIVERABLE_REGISTER.csv DEL-097-06 row; basic scope text confirmed in Datasheet.md Attributes.
v3.1,DEL-097-06-A004,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,SOW-0203,Scope ledger node: Major included equipment — Modified API 650 tanks with PVRV/EPRV/VRU/blanket gas,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-097-06 traces to SOW-0203: major included equipment specification for modified API 650 tanks.,Specification.md,Specification.md > R-2.2,"R-2.2: vendor SHALL deliver four × 3,800 bbl C5+ Condensate tanks built to Modified API 650 with Devchem 253 coating and PVRV/EPRV/VRU/blanket gas",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0203 in DELIVERABLE_REGISTER.csv DEL-097-06 row.
v3.1,DEL-097-06-A005,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,WBS_NODE,,,SOW-0204,Scope ledger node: Scope notes and open items — operating/design envelope and by-others exclusions,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,DEL-097-06 traces to SOW-0204: operating/design conditions and scope exclusions.,Specification.md,Specification.md > R-2.4,R-2.4: preliminary throughput 94940 kg/h and operating envelope atmospheric / 0–40 °C / −40 °C to 60 °C design to be verified,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: SOW-0204 in DELIVERABLE_REGISTER.csv DEL-097-06 row.
v3.1,DEL-097-06-E001,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-097,DEL-097-01_scope-of-work,,Scope of Work,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-097_Tanks-Condendate-API-650-3-25/1_Working/DEL-097-01_scope-of-work_Scope-of-Work,DEL-097-01 Scope of Work is a required upstream input: the EPC acceptance must verify conformance against the accepted SOW.,Procedure.md,Procedure.md > Prerequisites,"DEL-097-01 Scope of Work — accepted EPC SOW for the package",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly lists DEL-097-01 as required upstream input. Specification R-2.1 states EPC SHALL verify vendor conforms to the EPC Scope of Work.
v3.1,DEL-097-06-E002,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-097,DEL-097-02_package-datasheet,,Package Datasheet,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-097_Tanks-Condendate-API-650-3-25/1_Working/DEL-097-02_package-datasheet_Package-Datasheet,DEL-097-02 Package Datasheet is the governing technical datasheet against which EPC reviews vendor conformance.,Procedure.md,Procedure.md > Prerequisites,"DEL-097-02 Package Datasheet — accepted EPC technical Datasheet (governing for conformance checks)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly lists DEL-097-02. Specification R-2.1 states EPC SHALL verify vendor conforms to Package Datasheet. Step 2.4 directs reviewer to evaluate against DEL-097-02.
v3.1,DEL-097-06-E003,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-097,DEL-097-03_construction-work-package,,Construction Work Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-097_Tanks-Condendate-API-650-3-25/1_Working/DEL-097-03_construction-work-package_Construction-Work-Package,DEL-097-03 CWP is required for installation and turnover context during vendor package acceptance.,Procedure.md,Procedure.md > Prerequisites,"DEL-097-03 Construction Work Package — accepted CWP (governing for installation/turnover context)",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly lists DEL-097-03. Specification scope states acceptance covers conformance to EPC Construction Work Package.
v3.1,DEL-097-06-E004,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-097,DEL-097-04_vendor-engineered-equipment-package,,Vendor Engineered Equipment Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-097_Tanks-Condendate-API-650-3-25/1_Working/DEL-097-04_vendor-engineered-equipment-package_Vendor-Engineered-Equipment-Package,DEL-097-04 is the vendor's engineered/designed/supplied package that is the primary object of the EPC review and acceptance.,Procedure.md,Procedure.md > Prerequisites,"DEL-097-04 Vendor Engineered Equipment Package — vendor's engineered/designed/supplied package",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly lists DEL-097-04. Specification scope states acceptance set covers the vendor engineered equipment package (DEL-097-04). Step 1.1 confirms upstream deliverable status check includes DEL-097-04.
v3.1,DEL-097-06-E005,PKG-097,DEL-097-06_epc-vendor-package-review-and-acceptance,EPC Vendor Package Review and Acceptance,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-097,DEL-097-05_vendor-document-turnover-package,,Vendor Document Turnover Package,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/PKG-097_Tanks-Condendate-API-650-3-25/1_Working/DEL-097-05_vendor-document-turnover-package_Vendor-Document-Turnover-Package,DEL-097-05 Vendor Document Turnover Package provides the vendor document register and submittals required for the EPC document review step.,Procedure.md,Procedure.md > Prerequisites,"DEL-097-05 Vendor Document Turnover Package — vendor document register and submittals",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT: Procedure.md Prerequisites explicitly lists DEL-097-05. Step 2.1 directs EPC to retrieve vendor document register from DEL-097-05. Specification R-1.1 confirms vendor document review log covers items in DEL-097-05 register.
