RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-087-02-001,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,PKG-087,,,PKG-087 — Incinerator (WBS 02),/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/PACKAGE_REGISTER.csv,This deliverable implements the decomposition node for PKG-087 Incinerator as the mandatory EPC Integrator Package Datasheet anchor deliverable.,Datasheet.md,Datasheet.md § Identification table,"Parent Package ID: PKG-087; Mandatory Gate 5 EPC anchor deliverable",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — confirmed in PACKAGE_REGISTER.csv row PKG-087 and DELIVERABLE_REGISTER.csv row DEL-087-02
v3.1,DEP-087-02-002,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0111,SOW-0111 — Incinerator package as distinct flat project package (WBS 02),/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,This deliverable traces to scope item SOW-0111 which defines the Incinerator as a distinct project package.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,Covers Scope Items: SOW-0111,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — SOW-0111 confirmed in SCOPE_LEDGER.csv; DeliverableID(s) includes DEL-087-02_package-datasheet
v3.1,DEP-087-02-003,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0112,SOW-0112 — Incinerator basic scope and process function,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,This deliverable traces to scope item SOW-0112 which defines the Incinerator basic scope and process function.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,Covers Scope Items: SOW-0112,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — SOW-0112 confirmed in SCOPE_LEDGER.csv
v3.1,DEP-087-02-004,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0113,SOW-0113 — Incinerator major included equipment,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,This deliverable traces to scope item SOW-0113 which defines the major included equipment.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,Covers Scope Items: SOW-0113,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — SOW-0113 confirmed in SCOPE_LEDGER.csv
v3.1,DEP-087-02-005,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,SOW-0114,SOW-0114 — Incinerator scope notes and open items,/Users/ryan/ai-env/projects/chirality/projects/west-doe-combined/_Decomposition/PROJECT_DECOMP/_GateSnapshots/GATE-07_Final_Published_2026-05-24/SCOPE_LEDGER.csv,This deliverable traces to scope item SOW-0114 which defines scope notes and open items.,_CONTEXT.md,_CONTEXT.md § Covers Scope Items,Covers Scope Items: SOW-0114,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — SOW-0114 confirmed in SCOPE_LEDGER.csv
v3.1,DEP-087-02-006,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-087,DEL-087-01_scope-of-work,,DEL-087-01 — Scope of Work (Incinerator),,This datasheet is produced from the same package definition basis as DEL-087-01 (Scope of Work); the SoW establishes the scope boundary and responsibility assignment from which the datasheet technical handoff content is derived.,Specification.md,Specification.md § Out of scope,"Construction work package content (DEL-087-03), vendor-engineered-equipment package content (DEL-087-04) ... are separate sibling deliverables",EXPLICIT,INITIALIZED,INITIALIZED,TBD,MEDIUM,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — Specification.md explicitly names sibling deliverables; SoW (DEL-087-01) establishes package scope boundary this datasheet depends on for its scope definition
v3.1,DEP-087-02-007,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-087,DEL-087-03_construction-work-package,,DEL-087-03 — Construction Work Package (Incinerator),,"DEL-087-03 Construction Work Package carries the execution detail for EPC-by-others items (DCS integration, foundations, MCC electrical supply) declared as out-of-scope boundaries in this datasheet.",Guidance.md,Guidance.md § Considerations — EPC-by-others items,"EPC-by-others items. DCS integration, foundations, and MCC electrical supply are explicitly EPC scope. Construction work package (DEL-087-03) ... carries the execution detail",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — Guidance.md explicitly states DEL-087-03 carries EPC-by-others execution detail derived from this datasheet boundary declarations
v3.1,DEP-087-02-008,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-087,DEL-087-04_vendor-engineered-equipment-package,,DEL-087-04 — Vendor Engineered Equipment Package (Incinerator),,"This datasheet is the mandatory EPC Integrator technical handoff document for third-party vendor engineering and design; DEL-087-04 (Vendor Engineered Equipment Package) is anchored by the EPC Scope of Work and this Package Datasheet.",Guidance.md,Guidance.md § Purpose,"It exists so a third-party package vendor ... can engineer, design, and procure the single-train incinerator package on a single, source-grounded basis",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — DELIVERABLE_REGISTER.csv row DEL-087-04 notes it is anchored by the EPC Scope of Work and Package Datasheet
v3.1,DEP-087-02-009,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-087,DEL-087-06_epc-vendor-package-review-and-acceptance,,DEL-087-06 — EPC Vendor Package Review and Acceptance (Incinerator),,DEL-087-06 EPC Vendor Package Review and Acceptance is reviewed against this Package Datasheet as one of the three anchor deliverables.,Specification.md,Specification.md § Out of scope,EPC vendor package review and acceptance (DEL-087-06) — these are separate sibling deliverables,EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — DELIVERABLE_REGISTER.csv row DEL-087-06 states review against EPC SoW; Package Datasheet; and Construction Work Package
v3.1,DEP-087-02-010,PKG-087,DEL-087-02_package-datasheet,Package Datasheet,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,EXTERNAL,,,,,,"The incinerator is a shared-interface system under the current 03-25 / 04-25 allocation; exact service split and owner interface remain an open interface item requiring resolution across the facility boundary.",Datasheet.md,Datasheet.md § Attributes — Facility allocation context,"Shared-interface incinerator governed by current 03-25/04-25 allocation; exact service split and owner interface carried as open interface items",EXPLICIT,INITIALIZED,INITIALIZED,TBD,HIGH,EXTRACTED,2026-05-26,2026-05-26,ACTIVE,FACT — DBM-Comp_and_Liquids/3-25_Comp_and_Liquids_DBM.md Exclusions and Emissions sections; open interface item not closed by this datasheet
