CapabilityID,Answer,ClaimKey,Reason
CAP-SOLVER-001,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-002,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-003,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-004,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-005,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-006,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-007,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-008,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-009,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-010,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-011,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-012,NOT_MINE,,Support-family solver preparation is DEL-04-03 engine work; row 16 only cites it as historical closure evidence
CAP-SOLVER-013,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-014,NOT_MINE,,Nonlinear support solve belongs to the solver; row 13 covers only authoring
CAP-SOLVER-015,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-016,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-017,NOT_MINE,,Friction solve belongs to the solver; row 13 covers only authoring
CAP-SOLVER-018,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-019,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-020,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-021,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-022,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-023,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-024,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-025,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-026,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-027,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-028,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SOLVER-029,NOT_MINE,,Solver engine/data capability (PKG-04); not palette or vocabulary coverage
CAP-SEC-001,NOT_MINE,,Security control (PKG-12 area); no palette or vocabulary claim
CAP-SEC-002,NOT_MINE,,Security control (PKG-12 area); no palette or vocabulary claim
