CandidateTerm,Synonyms,Definition,SourceRefs,Notes
binding invariants,,Enforceable constraints that agents and tooling and human processes must respect.,@repo/docs/CONTRACT.md:L0003|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0001;@repo/docs/CONTRACT.md:L0005|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0001,Authoritative catalog term
enforcement point,,Where and how compliance is checked.,@repo/docs/CONTRACT.md:L0005|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0001,
Invariant IDs,K-* identifiers; K-* ID,Identifiers using the K-* form are stable and never reused.,@repo/docs/CONTRACT.md:L0007|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0001;@repo/docs/CONTRACT.md:L0015|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0003;@repo/docs/CONTRACT.md:L0017|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0003,
stable invariants,,The catalog lists 21 stable invariants across 10 subsections.,@repo/docs/CONTRACT.md:L0015|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0003,
packages containing deliverables,,Project decomposition form with flat packages containing deliverables.,@repo/docs/CONTRACT.md:L0047|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0004,
Deliverable IDs,,Stable identifiers that persist across path changes.,@repo/docs/CONTRACT.md:L0048|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0004,
binding approval records,,Approval records that only humans author.,@repo/docs/CONTRACT.md:L0054|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0005,
approved SHA,specific git SHA,The specific git SHA to which an approval binds.,@repo/docs/CONTRACT.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0005;@repo/docs/CONTRACT.md:L0096|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0011,
Non-binding guidance,,Guidance allowed outside approval records.,@repo/docs/CONTRACT.md:L0056|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0005,
Type 2 agent execution,,Agent execution blocked until context is sealed and gate-approved by a human.,@repo/docs/CONTRACT.md:L0062|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0006,
ghost inputs,No ghost inputs,Inputs outside folder contents and declared references.,@repo/docs/CONTRACT.md:L0063|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0006,
declared references,,Allowed context component paired with folder contents for Type 2 agents.,@repo/docs/CONTRACT.md:L0063|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0006,
_DEPENDENCIES.md,,Deliverable-local authoritative dependency file.,@repo/docs/CONTRACT.md:L0069|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0007,
Dependencies.csv,,Deliverable-local authoritative dependency file.,@repo/docs/CONTRACT.md:L0069|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0007,
central dependency graph,,A dependency authority that the contract says does not exist.,@repo/docs/CONTRACT.md:L0069|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0007,
_Reconciliation/,,Location for on-demand dependency aggregation.,@repo/docs/CONTRACT.md:L0069|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-CONTRACT.html#SEC-DG001-0007,
