CandidateTerm,Synonyms,Definition,SourceRefs,Notes
Nonlinear support active-set solver,active-set solver,Iterative activation method for nonlinear support behavior in the global 3D centerline/frame solver.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L38|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007,
active-set,active-set state;active-set iteration loop;active-set matrices,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Guidance.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0012,
one-way supports,one-way restraints;one-way support behavior,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0027,Nonlinear support behavior category
gaps,gap;gap closure/opening,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0029,Nonlinear support behavior category
lift-off,,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0027,Nonlinear support behavior category
friction,friction behavior;friction defaults,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L45|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007,Nonlinear support behavior category
convergence reporting,convergence state;non-convergence reporting,"Reporting of convergence state, active-set state, and unresolved non-convergence.",@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L46|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0027,
3D centerline/frame model,3D centerline/frame solver;3D centerline/frame mechanics boundary,The primary mechanics model for global piping analysis.,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L20|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L30|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0006;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L11|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0027,
result-envelope,result-envelope discipline;result-envelope integration,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L46|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Guidance.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0012,Follows AB-00-03
convergence tests,convergence/non-convergence regression cases,,@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L47|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0007;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Specification.md:L14|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0027,
TBD,,"Deferral marker for numerical tolerances, friction defaults, and exact data contracts until an authorized implementation brief.",@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Guidance.md:L11|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0012;@repo/execution/PKG-04_Solver Core and Numerical Methods/1_Working/DEL-04-04_Nonlinear support active-set solver/Datasheet.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-04-04-NONLINEAR-SUPPORT-ACTIVE-SET-SOLVER.html#SEC-ED029-0005,Explicit deferral marker
