RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEL-16-01-A001,PKG-16,DEL-16-01,Structured model operation schema,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,SOW-069,All GUI and agent edits represented as structured model operations,execution/_Decomposition/SOFTWARE_DECOMP.md#SOW-069,DEL-16-01 implements SOW-069 as its explicit scope item.,_CONTEXT.md,## Scope Coverage,SOW-069,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-11,2026-06-16,ACTIVE,FACT: explicit scope anchor from sealed context and decomposition revision 0.5.; legacy_anchortype=IMPLEMENTS_NODE; legacy_direction=UPSTREAM; legacy_dependencytype=OTHER; legacy_targettype=WBS_NODE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DEL-16-01-A002,PKG-16,DEL-16-01,Structured model operation schema,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,OBJ-015,Controlled model authoring objective,execution/_Decomposition/SOFTWARE_DECOMP.md#OBJ-015,DEL-16-01 traces to objective OBJ-015.,_CONTEXT.md,## Objective Support,OBJ-015,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-11,2026-06-16,ACTIVE,FACT: explicit objective trace from sealed context and decomposition revision 0.5.; legacy_anchortype=TRACES_TO_REQUIREMENT; legacy_direction=UPSTREAM; legacy_dependencytype=OTHER; legacy_targettype=REQUIREMENT; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0730,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-01,DEL-00-01,Architecture decision record baseline,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-01_Architecture decision record baseline,DEL-16-01 needs DEL-00-01 architecture decision context as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-01,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0730; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0731,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-02,DEL-00-02,Repository and module boundary architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-02_Repository and module boundary architecture,DEL-16-01 needs DEL-00-02 repository and module boundary architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-02,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0731; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0732,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-03,DEL-00-03,Application service command-query-job model,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-03_Application service command-query-job model,DEL-16-01 needs DEL-00-03 command/query/job model architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-03,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0732; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0733,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-04,DEL-00-04,Persistence and schema versioning architecture,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-04_Persistence and schema versioning architecture,DEL-16-01 needs DEL-00-04 persistence and schema versioning architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-04,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0733; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0734,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-06,DEL-00-06,"Diagnostics, warning, and result-envelope contract","execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-06_Diagnostics, warning, and result-envelope contract",DEL-16-01 needs DEL-00-06 diagnostics and result-envelope architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-06,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0734; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0735,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-07,DEL-00-07,API boundary and adapter contract map,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-07_API boundary and adapter contract map,DEL-16-01 needs DEL-00-07 API boundary architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-07,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0735; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0736,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DELIVERABLE,PKG-00,DEL-00-08,DEL-00-08,Layered software test and acceptance strategy,execution/PKG-00_Software Architecture Runway/1_Working/DEL-00-08_Layered software test and acceptance strategy,DEL-16-01 needs DEL-00-08 layered test and acceptance architecture as a predecessor.,_CONTEXT.md,## Architecture Basis Injection,AB-00-08,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,SATISFIED,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0736; dependency type normalized from ARCHITECTURE_BASIS to PREREQUISITE for local dependency-extract enum compliance.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=PREREQUISITE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=SATISFIED; legacy_origin=EXTRACTED; legacy_status=ACTIVE
v3.1,DAG-002-E0823,PKG-16,DEL-16-01,Structured model operation schema,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-02,DEL-02-01,DEL-02-01,Canonical domain model schema,"execution/PKG-02_Domain Model, Units, and Core Schemas/1_Working/DEL-02-01_Canonical domain model schema",DEL-16-01 needs DEL-02-01 because operation records reference canonical model/domain contracts.,Specification.md,## Requirements / DEL-16-01-R007,preserve references to the canonical model/domain contracts,EXPLICIT,SEMANTIC_READY,SEMANTIC_READY,TBD,HIGH,EXTRACTED,2026-05-03,2026-06-16,ACTIVE,Preserved from approved DAG-002 active edge DAG-002-E0823; dependency type normalized from DOMAIN_MODEL to INTERFACE.; legacy_anchortype=NOT_APPLICABLE; legacy_direction=UPSTREAM; legacy_dependencytype=INTERFACE; legacy_targettype=DELIVERABLE; legacy_explicitness=EXPLICIT; legacy_satisfactionstatus=TBD; legacy_origin=EXTRACTED; legacy_status=ACTIVE
